trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.7232708468002585,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.7216117216117216,-0.6149576060851598,-4.214134187246044,0.7,1,3,65,256,256,169,1
32,0.7113984055160527,-1.5848752380191016,-5.0,0.4521586452472624,3,1,256,0,223,126,1
29,0.7104718810601164,-2.7447395463173088,-3.0979184548413494,0.7,1,0,213,0,75,124,1
43,0.7098901098901099,-3.2028912793523814,-1.0,0.5582761722612875,1,0,203,256,48,0,1
8,0.7089635854341738,-2.314624865890914,-1.6839503030560974,0.0965253393642532,4,1,151,156,256,10,1
20,0.7079077784960138,-3.429438723750469,-4.460215118078286,0.0,4,1,170,256,104,82,1
39,0.7049666020254255,-1.6807717793268844,-5.0,0.05513329519038473,4,1,131,138,16,161,1
37,0.7003878474466709,-0.6246557328902145,-5.0,0.7,0,3,256,256,256,78,1
27,0.6997091144149967,-1.088774248144488,-3.4717576007036346,0.0,2,3,142,0,32,256,0
40,0.6995259642318465,-3.7121873570485615,-3.3153397556577584,0.13636512268454712,4,2,256,55,201,182,1
21,0.6929110105580694,-2.8188001182633373,-4.815228072536782,0.07467206414870455,2,2,8,70,17,256,0
19,0.6919198448610214,-3.631252872631716,-2.194506906672713,0.46420770568416403,4,0,244,68,201,142,1
22,0.6917905623787977,-1.588097147161526,-4.617533751957858,0.0,0,3,90,256,125,256,0
44,0.6912949795302736,-3.0233955497831766,-5.0,0.7,4,0,256,0,157,130,1
31,0.6890971773324714,-1.9576997146600017,-1.4201181110148706,0.7,2,3,153,256,101,182,1
7,0.6865977160094808,-3.2776629885864224,-3.846300626996342,0.11451860508721122,4,1,256,12,256,250,1
4,0.6846584787761258,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.6835380305968541,-2.428905673187872,-3.7160321045235944,0.2780326644964127,1,0,60,8,256,180,1
33,0.6831501831501832,-3.980061541639027,-5.0,0.5077997138039506,1,2,256,45,146,136,1
16,0.681307907778496,-0.7241202984094213,-2.416253589015567,0.0,1,3,55,232,216,164,1
6,0.6775048480930834,-2.4858952802168304,-1.0,0.0,4,3,256,0,49,256,1
18,0.6759426847662142,-0.9995797488808562,-2.0183693512912684,0.7,4,1,116,143,139,151,1
47,0.674488256841198,-2.7392310235395794,-4.006015267983629,0.0,4,2,256,60,184,70,1
46,0.6734539969834088,-0.5764497636514938,-5.0,0.7,1,3,252,256,256,153,1
24,0.6727644904115493,-0.6135333333052633,-5.0,0.7,0,3,196,256,138,150,1
2,0.672010342598578,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.6702650290885586,-1.0751276574479118,-2.6213740476807352,0.4744636334218914,1,1,203,77,234,20,1
30,0.6685412626589098,-3.0785870315172064,-2.408084521696502,0.0,4,0,134,256,64,68,1
26,0.6672484378366731,-4.0,-3.001985177512736,0.7,0,3,237,196,0,0,1
34,0.6501616031027796,-0.7160093991730418,-5.0,0.0,2,0,256,0,96,85,1
1,0.6470157293686706,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.6375781081663434,-3.057331259750879,-1.8209163604945142,0.3678014914914143,1,3,22,51,256,26,1
42,0.6224089635854342,-3.4883675342820153,-3.829629544165684,0.7,2,1,167,0,131,28,1
36,0.6003232062055592,-1.7750072646830355,-4.834630656550395,0.0,2,0,130,256,256,17,1
23,0.5986425339366516,-1.8568724233920317,-3.567944109651976,0.0,0,1,8,256,88,149,0
11,0.5781081663434604,-3.605629273721799,-2.599903639521621,0.5931026984625877,2,0,8,131,256,104,1
5,0.5764490411549235,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
38,0.5741650506356388,-2.7528163227231497,-4.748511416343785,0.7,0,0,256,10,198,220,1
35,0.5728614522732169,-0.5980645741609196,-3.562261788598364,0.08059055207458178,2,2,8,161,225,132,0
50,0.545830639948287,-3.975837063040655,-2.1104948315944805,0.6886218990758148,3,0,164,33,149,8,1
49,0.5351648351648352,-1.2933922302940668,-3.100683444300406,0.0,0,2,135,45,124,247,0
45,0.5336134453781513,-4.0,-1.0,0.366388328296276,1,2,39,0,0,172,1
28,0.5281404869640164,-0.6699260145513231,-3.470901195835479,0.7,2,3,11,256,40,256,1
41,0.5258564964447318,-3.0408210367876283,-1.0,0.5498917004948851,0,1,8,116,167,256,0
10,0.5,-0.30455301183775374,-2.390688633338085,0.7,4,2,162,129,256,0,0
25,0.5,-0.3,-2.6547193065375065,0.7,0,2,120,256,208,109,1
12,0.5,-0.3,-5.0,0.7,0,0,143,256,256,256,1
48,0.5,-0.4054282229563264,-2.188154048118322,0.4066349642370244,1,2,107,256,256,162,1
14,0.42346477052359405,-2.613622260137822,-4.353996296573031,0.7,3,1,219,105,240,51,0
