trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
7,0.8766786993624054,-0.3,-5.0,0.0,4,3,256,0,256,93,1
21,0.8756552286903724,-0.3,-5.0,0.1754824155700376,3,3,166,75,111,146,1
32,0.8751573240391132,-0.4837133229474109,-4.800104094384005,0.135021510335265,2,1,240,231,35,199,1
3,0.8748945410287263,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.8704687219064217,-3.2119700065298455,-5.0,0.4447450908119909,2,0,102,112,256,256,1
37,0.8685739180946849,-2.8373608614746635,-5.0,0.5093910965936809,2,0,12,123,219,38,1
13,0.8671355268799358,-0.4515165603326481,-5.0,0.21402210732600546,4,1,256,0,184,0,1
14,0.8668589131847918,-1.9707239496623323,-2.908812129789582,0.3129027068919067,3,2,78,114,0,147,1
38,0.8656971356651869,-3.2724548095712223,-4.229012244500909,0.17596138154549149,2,2,140,225,181,240,1
36,0.8656003208718863,-0.8356960364791188,-5.0,0.0,2,3,235,67,256,0,1
44,0.8641895910266517,-0.9104502949881259,-5.0,0.17667383970480569,0,1,239,217,158,0,0
50,0.8640236228095654,-4.0,-4.6626808998806375,0.041937045986233365,3,2,88,8,170,76,1
1,0.8638991466467505,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.8638161625382073,-0.3,-4.512582788524067,0.17596254127254385,0,1,168,130,256,73,0
45,0.8637193477449068,-1.6165178132377163,-5.0,0.3832736973622831,1,0,40,0,52,77,0
23,0.8632214430936476,-4.0,-5.0,0.3364536812714554,2,2,90,0,0,211,1
16,0.8626128929643307,-1.7801334642355449,-2.546780952925827,0.5025100768507097,4,0,250,224,256,158,1
49,0.8619075280417132,-3.3784299496605366,-4.914853327621595,0.15352752948846968,2,0,192,0,256,155,1
33,0.8615755916075405,-2.467674708148995,-3.1589011545912165,0.3332498496826702,0,1,156,205,120,155,1
31,0.861326639281911,-1.61199483522295,-5.0,0.3859991363541948,3,0,25,145,88,240,0
41,0.861063856271524,-3.2300276511419224,-4.845706054201098,0.005048358932469302,2,1,52,119,196,91,1
6,0.8606904277830796,-1.246297922635633,-5.0,0.32422420955843645,1,0,19,0,140,104,0
35,0.8606904277830796,-1.7160719547487688,-5.0,0.488160248183118,0,1,23,149,239,189,1
30,0.8595009888939601,-3.733822792089963,-4.973005199511714,0.06526076386758761,3,0,159,0,53,242,0
4,0.8577168305602809,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.8571912645395073,-3.293574453646867,-5.0,0.7,2,0,232,256,122,132,0
20,0.8567210212577624,-3.780579132429161,-2.698688221699131,0.03366215248863373,0,0,172,0,0,190,0
19,0.8563337620845607,-3.8806674446979987,-3.053784039618929,0.4969541562946514,1,0,135,256,256,158,0
39,0.8544527889575813,-2.625947336110154,-1.0,0.03978883288958605,3,2,153,7,198,52,1
40,0.8544112969033097,-3.8678019873371405,-1.0,0.15655661744808563,0,0,36,114,249,0,1
8,0.8527101226781738,-1.78282076549675,-1.0,0.023890138337395436,2,3,183,201,256,149,1
43,0.8511334246158527,-1.6285781973624185,-5.0,0.6474125336705776,0,0,101,145,55,113,0
26,0.850607858595079,-0.3,-5.0,0.7,4,0,158,256,0,256,1
34,0.8466661134392763,-0.71084498968838,-1.0,0.4288628119206725,3,1,29,252,4,256,1
42,0.8454628438653998,-3.99609324583932,-1.0,0.12213935581444187,2,1,186,72,191,236,1
9,0.8424892466426013,-1.3345675808647166,-1.7973233385656444,0.14534452153277042,2,3,235,91,157,201,0
27,0.8409402099497945,-0.3,-1.0,0.0,4,3,8,0,0,256,1
5,0.8407327496784366,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.8380772582050536,-0.3,-1.299314051103814,0.2750039592968672,4,1,52,0,256,201,0
24,0.8379804434117533,-4.0,-1.0,0.3011227576495863,1,3,256,0,0,256,1
11,0.8358436026167656,-3.979577487413405,-5.0,0.5348550690844424,0,0,8,17,0,178,0
2,0.8267222660193907,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.8237486687965923,-4.0,-5.0,0.3287375747369434,0,3,130,256,0,256,0
28,0.8197861776136537,-0.3,-1.0,0.1422116479926451,4,0,256,0,256,28,1
48,0.8193090189895302,-0.3,-5.0,0.5417059364567248,0,2,98,180,50,99,1
22,0.8131336182454394,-4.0,-1.0,0.4129502698897621,0,1,256,256,256,89,0
25,0.8057134558732003,-4.0,-5.0,0.7,2,3,8,241,0,72,1
29,0.5063897763578274,-0.3803853652218643,-5.0,0.0,1,0,8,0,153,240,0
10,0.5,-0.5992028518151797,-3.6652501141560694,0.24814036681193205,1,0,219,19,255,1,0
47,0.5,-0.4087138560679646,-1.2948963592005205,0.6708356484419788,0,2,250,103,253,102,1
