trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.8824184335366444,-2.3761404842070295,-5.0,0.4381475437310438,4,0,256,256,256,0,1
3,0.866596130174405,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.8664578233268331,-3.617252368017793,-5.0,0.1861628482152391,2,0,256,11,149,11,1
6,0.8646598343083965,-0.41236585809207993,-5.0,0.5003951481534786,2,3,55,0,256,42,1
19,0.8633735806259768,-3.3883085938150375,-1.327434515836445,0.13370234044382515,4,0,182,226,157,209,1
31,0.8623916020082155,-0.3,-4.490650886493704,0.5266236710782568,1,3,256,118,237,70,1
42,0.8623777713234582,-2.3946085957389007,-5.0,0.0,2,0,256,203,133,256,1
49,0.8619905121502566,-0.3,-5.0,0.5024013320403008,4,3,21,256,127,222,1
43,0.8618383746179274,-1.8821427385122362,-2.6556670973962504,0.10286363368902046,3,3,244,256,98,34,1
50,0.8598190946433757,-1.3486848959882618,-5.0,0.6465280136469986,0,3,28,210,221,11,1
32,0.8588509467103717,-1.1985333012592823,-5.0,0.7,1,0,256,256,229,256,1
23,0.8547847253917541,-3.5082512538728765,-4.992843409529534,0.5923027021837798,4,0,38,136,0,164,1
45,0.8533186728074906,-2.5732620787379674,-1.0,0.0374409522337529,4,0,8,256,256,256,1
29,0.8524888317220586,-4.0,-5.0,0.0,4,0,256,152,256,97,1
14,0.8503450755846922,-0.3,-5.0,0.7,4,3,256,0,256,0,1
8,0.8499854777810049,-4.0,-1.0,0.0,4,0,256,256,247,256,1
33,0.8496535413468321,-3.165658674980293,-5.0,0.0,3,0,129,33,76,27,1
4,0.8469288964496633,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.8467352668630624,-1.9015378442054751,-2.572520471830189,0.7,0,3,14,127,256,42,1
30,0.845545827973943,-2.21133790088336,-5.0,0.1351375348698366,4,1,256,0,0,193,1
10,0.8442388282643875,-0.3,-5.0,0.7,2,3,8,0,188,0,1
13,0.8428765058158029,-0.3,-5.0,0.0,4,3,8,0,256,256,1
1,0.8410785167973667,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
38,0.8410646861126094,-0.3,-5.0,0.7,0,0,256,256,256,256,1
34,0.8408157337869797,-0.5542609382538712,-5.0,0.35289416646170596,4,2,243,93,256,196,1
18,0.8389624220295147,-3.1491563405827216,-4.750898676935903,0.4175652020369609,1,3,256,6,256,0,1
15,0.8378836286184528,-4.0,-5.0,0.7,0,2,8,30,256,109,1
22,0.8345919256462386,-4.0,-5.0,0.7,4,0,105,0,256,0,1
20,0.8345227722224527,-0.4919844492977834,-2.4168532653829677,0.6071925255308178,3,0,246,203,138,228,1
17,0.8336237777132346,-4.0,-5.0,0.7,2,0,256,256,256,256,1
46,0.8325795610140659,-0.3,-2.206736142680981,0.0596121807470508,0,3,152,0,45,179,0
12,0.8320055875966419,-0.3,-1.0,0.0,0,3,8,0,256,0,1
48,0.8312172385654815,-0.3,-2.0362022009091056,0.7,3,0,256,44,158,127,1
11,0.8304012281648063,-2.7374643103925056,-1.4967716297249334,0.004644018430273652,3,0,64,77,0,171,0
5,0.8303873974800492,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
27,0.8282851333969545,-4.0,-1.0,0.0,4,0,8,256,0,256,1
40,0.828188318603654,-4.0,-1.6320952161751516,0.4235671315243977,4,3,103,227,0,142,1
2,0.8278010594304523,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.8277319060066664,-3.1025000453768823,-5.0,0.7,1,3,28,13,0,213,0
21,0.8267637580736622,-3.9514073610680245,-3.131209543450512,0.026050567090879943,0,3,54,46,185,38,1
39,0.8257126260321148,-4.0,-1.0,0.13193421192415505,0,3,186,181,256,16,1
28,0.8246753246753247,-1.6132876902447562,-1.0,0.0,3,0,239,0,0,256,0
26,0.8145927554873242,-4.0,-1.0,0.0,4,1,77,0,0,256,0
41,0.8052708739609699,-4.0,-1.4882231848074259,0.07867400413469584,4,3,229,216,33,53,0
44,0.80502192163534,-4.0,-4.952303939283676,0.2136188104269179,2,3,246,109,42,255,0
47,0.790077866755183,-1.9149435433139157,-1.0,0.22997206167965403,3,3,8,52,186,140,0
37,0.7891235495069362,-4.0,-1.0,0.546009727036213,2,3,191,254,52,63,1
7,0.6621094560391685,-0.4167682696111581,-3.508998348247997,0.04681775995260427,0,2,157,123,256,83,0
24,0.5457588205192039,-0.7252766940707072,-5.0,0.7,1,2,256,198,124,0,0
25,0.5095846645367412,-0.3,-1.0,0.01972576558730431,2,3,256,256,65,256,0
