trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
16,0.7013758865248227,-1.0666708283840571,-3.2631683593499736,0.25153592038216427,3,0,251,11,161,252,1
37,0.6943120567375886,-2.7262717740124485,-4.47272566186176,0.7,1,0,197,217,203,231,1
39,0.6892340425531915,-3.1631059072089744,-4.236915281173806,0.5418018207719938,4,0,255,107,256,247,1
17,0.6866524822695036,-2.3166137953617714,-1.741262539917047,0.5971959569532873,0,0,67,232,47,50,1
8,0.6848652482269504,-2.602197665440425,-5.0,0.7,2,2,188,166,245,0,0
42,0.6837163120567376,-2.9500230831513683,-4.098541117924774,0.7,2,2,35,104,40,157,0
14,0.6834184397163121,-3.356365831693352,-4.515100195411374,0.7,3,2,154,164,26,190,0
31,0.683177304964539,-2.0002789455529184,-4.012359899174768,0.5778554830628917,3,1,122,142,200,177,1
36,0.6830780141843972,-2.940593339718182,-3.9383787466095725,0.4798856645814823,2,2,221,128,188,157,0
3,0.6830496453900708,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
15,0.6828510638297873,-3.563661724033073,-5.0,0.6407907159833813,3,2,192,256,225,188,0
24,0.6801276595744681,-2.3608742119487682,-3.399293513881532,0.43337476188031837,2,2,215,245,133,23,0
35,0.677886524822695,-4.0,-3.5053299133894544,0.5302254804454937,2,2,141,207,119,255,0
45,0.6771205673758866,-1.7970134709657972,-3.367411190840411,0.6064788672228453,2,0,231,59,201,256,1
41,0.6726382978723403,-1.4623144251760292,-2.9706746500684202,0.06324254017788937,3,2,256,171,224,228,1
6,0.6707659574468086,-3.931007630265303,-4.795361943214915,0.6999817073523799,4,1,255,229,175,206,0
1,0.6707659574468084,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.6655177304964539,-1.4667754424750044,-4.39056721940539,0.614134777255431,2,0,52,165,191,256,1
2,0.6593049645390071,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
26,0.6587234042553192,-3.5948735396738827,-3.7320655548575354,0.09412469092662766,3,3,151,184,8,256,0
19,0.6580283687943262,-1.238338761836736,-3.26430916495232,0.48035401396252864,0,0,30,215,209,109,1
32,0.657886524822695,-0.997772486186248,-2.466411510152026,0.3950006467686417,4,0,153,0,220,182,1
48,0.6563546099290779,-2.9727157119107357,-3.1699935640326444,0.7,3,0,105,52,222,123,1
33,0.6541985815602838,-2.583516848019493,-4.316557545000684,0.5155553052565277,4,1,27,251,171,36,0
30,0.6530212765957446,-2.508543905615382,-1.7736922369746497,0.35925793486251273,4,0,132,233,93,48,1
10,0.6524397163120568,-2.85457559541921,-3.0668705136849788,0.538227841404676,4,1,37,174,67,250,1
25,0.6464539007092198,-0.9538860781547349,-3.348851938374279,0.5757554634538984,2,1,256,56,252,66,0
40,0.6461702127659574,-1.3130379586734264,-2.9637308612592608,0.517834488100408,4,0,256,28,129,157,1
28,0.644695035460993,-1.9283574673750272,-3.2324122768407957,0.05742138008587394,2,0,256,123,0,203,1
13,0.644354609929078,-3.1815891140786308,-5.0,0.3311306864733252,1,2,169,182,254,68,1
43,0.6402695035460994,-3.345042400216942,-4.375328338139119,0.7,4,3,184,219,256,112,0
5,0.6339716312056738,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
29,0.6308510638297873,-3.423699595735406,-3.2898271317816556,0.23667576884906918,0,0,256,156,102,65,1
49,0.6297446808510638,-3.0013525320911896,-4.6974881177192165,0.7,2,3,210,49,229,35,0
23,0.6286382978723404,-1.0321161264705592,-3.7809626784802655,0.0,2,3,78,79,168,29,1
4,0.6271063829787235,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
34,0.6269503546099291,-3.702803744631859,-5.0,0.6551962102070507,1,0,73,10,120,210,1
7,0.6202411347517731,-0.3,-1.0,0.7,0,0,256,0,256,256,0
20,0.6055177304964539,-3.5590790648133126,-1.2319736453599677,0.29407267988027985,2,0,256,33,180,78,1
18,0.6008652482269503,-1.558331513905871,-5.0,0.008571284156237955,4,3,220,19,205,209,1
44,0.5963829787234043,-3.8910325300734976,-3.820672227255216,0.47147080470275654,2,1,202,200,256,37,0
12,0.584581560283688,-1.4814153207772316,-2.325206048254709,0.3255374190627834,3,2,214,126,27,129,0
27,0.5800992907801419,-2.249540367222985,-1.309913603502534,0.0831692899523494,1,3,68,92,19,256,1
38,0.5541702127659573,-3.197469849546425,-4.816416302959703,0.7,0,1,238,222,19,236,1
11,0.5157021276595745,-1.4329073586422547,-5.0,0.7,2,0,222,59,172,35,0
9,0.5,-0.3,-5.0,0.7,0,0,211,115,106,237,0
22,0.5,-1.065336491866614,-1.0,0.0,3,2,8,174,39,142,1
21,0.5,-0.3,-4.447049210791672,0.2117439488747508,3,0,145,33,154,184,1
46,0.5,-1.68031931936412,-4.346242759438841,0.6091451146734409,1,2,237,192,167,228,0
47,0.3758297872340426,-2.959979541298023,-2.81601911223285,0.6468313519696663,0,1,90,112,92,54,0
