trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.8955455329170083,-1.889765171295779,-5.0,0.6135862338546799,3,3,8,256,0,0,1
31,0.8949252507411846,-1.89317398587631,-2.1250524669698745,0.7,4,3,8,256,0,8,1
33,0.8942524022792742,-1.890204799493962,-5.0,0.7,4,3,8,256,0,166,1
43,0.8935795538173636,-0.9893085510403679,-4.0352647085710345,0.7,0,3,23,0,37,256,1
30,0.8934008284446686,-1.8769791939363274,-3.4312028177024074,0.7,3,3,8,256,0,34,1
44,0.8933377489013646,-1.7734756881936606,-5.0,0.7,3,3,68,256,0,40,1
34,0.8931485102714524,-1.8882035250375426,-5.0,0.7,3,3,8,256,0,0,1
37,0.8925177148384111,-1.8892353846385195,-5.0,0.7,4,3,8,256,0,0,1
46,0.8923179629512816,-1.7729322497984623,-5.0,0.7,0,3,129,256,0,44,1
21,0.892212830379108,-2.4124483309851144,-5.0,0.7,0,0,8,256,0,63,1
36,0.8920341050064131,-1.889600248809471,-5.0,0.7,0,3,8,256,0,0,1
8,0.8916451144893711,-2.1915785762966493,-2.172055522680278,0.5811691709800112,3,3,22,237,70,0,1
3,0.8916346012321537,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.8904255766521584,-1.9540669426680286,-4.9113095518124235,0.7,0,3,8,0,129,256,1
23,0.8901522319645072,-2.167461811946889,-5.0,0.6556611396618958,4,3,208,256,0,248,1
48,0.8895634895603355,-1.7699278684275521,-4.641735790805622,0.7,3,3,8,244,0,211,1
27,0.88871191572573,-1.736363368267655,-5.0,0.7,2,3,8,24,0,14,1
28,0.888259845665384,-1.8196040520843035,-1.7378865130398942,0.0,3,3,8,256,0,0,1
29,0.8882177926365147,-1.1511343553034634,-2.7938429790113832,0.7,1,3,8,256,0,222,1
32,0.8877972623478205,-1.890029572014483,-1.0,0.7,4,3,8,256,0,3,1
47,0.8860310351353056,-1.7571301327149156,-4.919651291613766,0.7,0,3,206,256,0,133,1
42,0.8859259025631322,-1.2646044374718324,-5.0,0.7,4,3,8,256,109,207,1
41,0.8858207699909586,-1.9493918449676286,-5.0,0.7,4,2,8,256,0,0,1
50,0.8856210181038289,-1.775874812358614,-5.0,0.7,1,3,8,256,0,0,1
26,0.8849586828991358,-2.3363578069492528,-5.0,0.7,0,3,8,0,0,256,1
4,0.8847799575264408,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.882882314598709,-2.5261269258551264,-1.0,0.0,4,3,183,125,256,256,1
17,0.8827403856262748,-1.216338673086816,-1.0,0.1412092821058744,0,3,256,246,0,256,1
11,0.8822147227654071,-4.0,-1.0,0.0,4,0,8,256,256,256,1
7,0.8814682815029753,-1.8747728467131717,-2.5664067328274274,0.27733311123554744,4,0,216,94,169,226,1
19,0.8801436110935891,-2.233284908160152,-1.8058211806514128,0.0,4,0,199,0,132,0,1
1,0.879723080804895,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
45,0.8786612418259425,-4.0,-5.0,0.0,4,0,8,0,0,256,1
49,0.8700719106793666,-0.9912314628277894,-5.0,0.7,4,2,8,256,0,0,1
40,0.8664974032254672,-4.0,-3.251247290057801,0.7,3,2,55,256,161,66,1
38,0.8650308038436467,-1.897207791702911,-5.0,0.6544455263289359,3,3,8,256,0,0,0
22,0.8627862234277424,-1.2223644564987595,-1.0,0.30760220553020284,0,3,256,0,256,205,1
14,0.8616192518766166,-1.6658213452473833,-4.728111106280595,0.0,4,0,8,0,256,132,1
15,0.8598004583780147,-1.608805931386732,-1.0,0.7,0,0,256,256,0,256,1
6,0.8514108791185685,-4.0,-5.0,0.5119930848112596,2,3,58,0,254,43,1
2,0.849749784478227,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
12,0.8465747807985871,-3.0999966036171145,-4.935270913468603,0.6748377351311253,1,1,172,50,83,256,1
5,0.8452606236464181,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
9,0.8445036691267689,-4.0,-3.0374451502356656,0.049556196501301296,4,3,99,225,161,2,0
24,0.8405506844130448,-1.110901003128005,-4.952662546989721,0.0,4,0,167,256,0,39,1
39,0.8399198889800038,-4.0,-1.0,0.7,4,0,206,256,256,0,0
18,0.837049769759667,-4.0,-3.614448892482093,0.0,0,3,30,188,71,0,0
13,0.7250257574801826,-0.3,-1.0,0.7,4,0,8,256,256,0,1
16,0.7006087175928846,-2.6679558673770734,-1.0,0.07312264907585717,4,0,256,138,18,256,0
10,0.5,-0.3,-2.3905295818384453,0.6664108097841903,4,2,162,129,256,0,0
