trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.6670006464124112,-4.0,-5.0,0.0,1,1,95,254,108,193,1
21,0.6642857142857143,-4.0,-1.0,0.0,1,2,101,191,0,218,1
45,0.6581663434604612,-4.0,-5.0,0.0,1,2,101,134,37,197,1
41,0.6577354018530488,-4.0,-2.112221268108598,0.0,1,1,100,104,91,192,1
48,0.6493751346692522,-4.0,-4.844290281435869,0.0,0,0,101,117,256,256,1
9,0.6492889463477699,-0.479134755946343,-4.615740596244855,0.20814953198478256,1,3,130,82,177,239,1
36,0.6492243051066581,-4.0,-4.011340445998511,0.0,1,2,114,256,20,166,1
33,0.6477591036414565,-4.0,-2.1724766970809553,0.1747395047840378,1,0,91,225,0,76,1
20,0.6421137685843568,-2.6623965100558906,-1.0,0.0,0,1,92,0,0,256,1
28,0.6417690152984271,-1.3889589189640899,-5.0,0.22541098446968358,3,2,107,231,256,186,1
30,0.6392480068950657,-2.546047566164367,-2.8433727622714224,0.0,0,1,105,246,74,191,1
11,0.6364899806076276,-3.52496873121298,-1.7419006322570185,0.35644230439044294,1,3,100,73,0,256,1
18,0.6364253393665158,-2.5977882769789127,-1.1674305010036932,0.0,3,3,89,52,81,129,1
26,0.6351540616246498,-0.3,-4.324463188261431,0.2749970360900614,0,1,113,3,256,53,1
19,0.6350678733031674,-3.3319486759234778,-1.914927520584524,2.4286128663675298e-18,3,0,8,148,13,251,1
16,0.6323960353372118,-0.8999861357984007,-4.927337330378541,0.022077724433752017,3,3,8,67,256,182,1
42,0.6282051282051282,-4.0,-5.0,0.0,0,3,37,125,174,253,0
34,0.6264274940745529,-4.0,-2.6659655524001233,0.0,3,2,8,256,38,174,1
47,0.6247468218056453,-4.0,-4.923351055933243,0.28425495999549144,4,0,133,256,210,52,1
29,0.6234970911441499,-4.0,-1.0,0.6314421717296028,1,2,105,239,256,211,1
14,0.6217948717948718,-0.3,-4.064319167495101,0.4994083542756099,2,3,148,212,208,249,1
15,0.6206744236156001,-4.0,-4.818859783188675,0.3938325606418271,1,3,80,207,54,213,1
31,0.6140163757810817,-2.8937138097271564,-5.0,0.7,0,0,89,48,230,0,1
46,0.6138655462184874,-4.0,-5.0,0.0,0,1,96,256,24,54,1
38,0.6050743374272787,-2.6478552483756275,-5.0,0.0,0,0,8,256,0,256,1
39,0.6034906270200389,-4.0,-5.0,0.0,2,1,256,149,79,46,0
22,0.6033828916181857,-3.494381434143513,-3.620885947339894,4.8572257327350596e-18,0,3,8,252,86,165,0
3,0.6013682396035338,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.5997737556561087,-2.907605330788324,-4.7124555085911854,0.6592932458619134,1,3,178,118,240,125,1
2,0.5990196078431372,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.5973604826546003,-0.3,-5.0,0.0,3,3,42,256,211,165,0
4,0.5959599224305108,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.5918875242404654,-4.0,-4.702964100127329,0.48185110406353443,4,0,8,256,40,139,1
17,0.5916074121956474,-3.961002934774774,-4.8440235494379955,0.345693329995295,4,2,8,19,73,223,1
23,0.5910040939452704,-3.7811462014914823,-1.0,0.0,1,3,141,236,9,256,1
1,0.5895819866408101,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.5877828054298642,-4.0,-5.0,0.0,0,1,91,196,152,224,0
12,0.586608489549666,-3.757074664731825,-2.173986968865478,0.4968597071853191,2,2,144,233,0,256,0
5,0.5860805860805861,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.5849493643611291,-4.0,-1.0,0.036383463678285634,0,0,68,0,0,256,1
13,0.5847662141779788,-0.3,-3.0117129206165005,0.7,0,3,104,97,0,256,1
8,0.5765244559362206,-3.5321697503223044,-3.7472222084160993,0.0,3,1,133,84,226,8,0
43,0.5693708252531782,-2.0551211793604445,-5.0,0.7,2,3,8,12,8,176,0
49,0.5491165697048049,-0.3,-1.0,0.7,4,1,185,158,221,256,1
7,0.5,-1.2658317794362506,-1.1531895219723793,0.699842487463584,0,1,238,246,161,143,0
10,0.5,-0.7273056906940449,-3.5514756910422305,0.2933855169902188,2,2,255,133,215,182,1
24,0.5,-0.3,-1.0,0.0,3,0,8,75,32,86,1
32,0.5,-0.7982821724814708,-1.0,0.23650264132609827,0,1,105,227,216,164,0
27,0.4515513897866839,-4.0,-1.0,0.4058373339488132,1,1,8,72,202,2,0
37,0.4082202111613876,-4.0,-5.0,0.0,2,3,197,0,64,165,0
