trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.8729789911898538,-2.0024988375582637,-5.0,0.3557693436343131,3,3,256,256,183,0,1
40,0.8696319654786109,-1.762880554161785,-5.0,0.7,4,3,256,256,256,0,1
17,0.8694245052072529,-2.139040138407233,-3.6601193161362016,0.13666493381351946,1,3,256,143,172,215,1
44,0.8691893835663804,-1.7864908743485821,-5.0,0.4928208027561074,4,3,256,256,251,256,1
28,0.8687468016541499,-1.4742805337382876,-4.135533659861927,0.7,2,3,238,203,4,62,1
3,0.8676956696126026,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8663817545606682,-1.9561022730171835,-5.0,0.2548134636867636,0,0,8,0,0,0,1
47,0.8652199770410633,-1.2736409375659368,-5.0,0.7,1,3,256,109,161,164,1
30,0.8650816701934912,-2.286184828115144,-4.291631734507877,0.29310079253923516,4,0,149,256,256,256,1
11,0.8643486439013595,-2.3074192949872963,-3.9147991843397323,0.06504478184121355,2,3,181,210,256,237,1
45,0.8636432789787423,-2.162269574635319,-1.0,0.0,4,0,8,37,254,230,1
14,0.8634773107616558,-2.048219804401275,-5.0,0.0,1,3,256,256,168,256,1
38,0.8630900515884541,-2.2335989540471264,-5.0,0.41252930371814706,0,3,256,256,256,0,1
6,0.8627996072085529,-0.7142231753356656,-5.0,0.12011736828466436,4,3,256,28,231,1,1
18,0.8618314592755487,-3.49598073067953,-3.6757982574952703,0.058875469658178865,0,2,8,0,154,217,1
13,0.8616239990041907,-3.207453768646616,-4.994290274545876,0.1393056675738419,3,0,208,177,4,22,1
16,0.8615410148956475,-4.0,-5.0,0.0,1,3,147,256,256,256,1
29,0.8592866132802235,-1.4876658018621498,-5.0,0.4418894460630369,2,1,256,81,256,256,1
25,0.8591621371174087,-1.8848960862165827,-3.2819386350333835,0.7,4,0,115,119,256,256,1
46,0.857198179881886,-4.0,-5.0,0.0,1,0,256,107,201,53,0
42,0.8553725294939352,-2.5168137368640044,-1.0,0.4981637104479419,1,1,256,226,92,104,1
15,0.854667164571318,-4.0,-4.3918888823963815,0.3247767188556189,0,2,256,256,140,256,1
35,0.8517765514570625,-1.5119347848770261,-3.1533684656394674,0.7,1,0,8,0,15,0,1
32,0.8502690068185277,-3.7257081057014583,-1.8956128786880675,0.0,3,3,256,106,45,146,1
19,0.8478624676707744,-3.058151309475416,-1.0,0.19704665415121964,3,0,8,223,176,151,1
26,0.8456633887943793,-0.88224057458573,-2.282704721262968,0.0,2,3,211,12,256,144,1
43,0.8440175373082721,-3.429093926747313,-5.0,0.26531191914323504,4,3,256,0,256,256,1
23,0.8439622145692434,-4.0,-1.8687008901617315,0.11523868931487158,0,0,8,217,160,55,1
27,0.842579146093523,-2.2417489378324627,-2.9785377227734737,0.7,4,3,8,52,207,134,1
50,0.840463051325671,-2.403348090489785,-1.0,0.25693412003814203,4,0,256,256,256,100,1
41,0.8390108294261649,-1.3575669253737006,-5.0,0.7,4,1,256,143,233,199,0
1,0.8380841735474323,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.8366042902784118,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.8331466190891111,-3.279139831263593,-1.0969594441772852,0.0,0,0,256,104,220,256,1
34,0.8176147601067729,-0.5710957323105577,-2.4628070052450255,0.0,4,3,75,243,210,61,0
21,0.8097036084256533,-0.3,-1.5274850337578156,0.009894443878987422,1,0,256,171,0,200,1
33,0.8082790478956612,-2.4224009597039498,-3.1241398723291676,0.7,0,0,23,39,173,212,0
48,0.8068544873656694,-2.536869816383283,-5.0,0.49952649330047544,3,1,8,140,98,234,1
2,0.8064948895619822,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.8061352917582949,-2.8190151307145577,-4.802092710270011,0.7,4,1,256,101,71,256,1
20,0.8048213767063607,-4.0,-5.0,0.6048543498865541,4,1,243,73,235,153,1
5,0.8033000013830685,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.8015296737341465,-2.621891143005824,-1.0,0.6368447054273448,0,2,256,237,256,141,1
22,0.8014328589408461,-2.600766806156848,-5.0,0.0,0,3,241,243,108,30,1
10,0.800257250736484,-1.0527213045634558,-2.599603651853233,0.11328724940954749,0,2,65,79,53,55,0
7,0.7999529756718254,-3.854472752746889,-3.5472101336487607,0.5099073504776809,3,3,249,109,256,231,0
9,0.7897320996362529,-3.5673616959864605,-4.860011885994467,0.36004325336127685,1,1,45,215,65,209,0
8,0.7823880060301786,-0.3,-1.5832939388256442,0.1079425909946977,4,1,184,49,256,256,1
12,0.7703968023456842,-3.2452141268049415,-1.004019784600613,0.589438406490005,1,3,224,31,255,157,0
24,0.5287539936102237,-0.3,-3.9673074138780464,0.6998824130545512,3,0,19,68,135,86,1
