trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.6675035460992909,-3.2343354231842816,-3.358922337704098,0.4942897193758304,0,2,110,87,157,256,1
17,0.6490354609929077,-2.9416431014716986,-1.4134438410443613,0.12538205869889935,0,3,8,230,0,112,1
18,0.6423971631205674,-1.2313764825418674,-4.531685852605265,0.38991374917769,0,0,47,256,82,51,1
8,0.6380283687943263,-3.1694084611639335,-3.9087106475975713,0.26270119492894817,0,2,255,221,245,56,1
22,0.6370638297872341,-0.6869228571410853,-4.982277847986781,0.21524800460053017,0,3,125,256,160,60,1
3,0.6254893617021277,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.6253758865248228,-3.10728162500023,-4.2455246251197485,0.06502790656900415,0,1,112,160,157,211,1
20,0.6251489361702127,-3.6368335789073214,-1.9564979198810137,0.1593690036694153,0,1,210,256,0,203,1
37,0.6206950354609929,-2.7212350935479943,-2.2309956811187748,0.3922519236378315,0,3,90,170,0,179,1
29,0.6199716312056738,-0.6505403760311608,-2.928198601649293,0.623874466741623,0,1,108,0,152,14,1
2,0.619418439716312,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.6185957446808511,-3.219929893303866,-4.336894292805043,0.54088548488113,3,2,23,203,105,0,1
15,0.6170354609929078,-3.1808805227158485,-1.3217107450181222,0.271958828151138,0,0,207,155,141,256,1
44,0.6153900709219858,-3.2024491607853713,-2.772125223323219,0.3891741004089057,2,2,172,47,163,151,1
19,0.614113475177305,-2.1709303103232562,-3.246935002574484,0.014257448189812961,0,0,256,0,0,145,1
32,0.6140567375886525,-4.0,-4.406976682969795,0.6079859252785186,0,3,8,0,122,115,1
30,0.6133475177304963,-4.0,-3.644751514804006,0.34973895120643517,4,1,33,3,256,54,1
9,0.6125248226950355,-3.360777083681285,-1.0,0.3407293001228939,4,3,34,110,0,256,1
7,0.6097446808510639,-0.9317549266512555,-4.196098542540753,0.0,1,3,224,222,61,208,0
39,0.6095744680851064,-4.0,-4.5127964524477315,0.0,0,2,8,115,0,0,1
40,0.6088652482269503,-4.0,-4.579715934740741,0.6983620076108372,0,3,240,244,256,0,1
12,0.6071063829787234,-2.941720848162241,-3.399487421546301,0.09540808599143165,0,2,230,214,0,51,0
21,0.6068510638297873,-2.3445264177131473,-2.51807706401856,0.0011251036480235323,2,1,8,214,0,61,0
47,0.6067943262411347,-3.247301540676365,-1.7843621889571235,0.539675841796173,3,2,137,220,152,170,1
25,0.6058297872340426,-2.3705768552828,-5.0,0.08835774338491002,0,3,97,256,139,0,1
38,0.6056879432624114,-4.0,-1.7871415084993596,0.0,0,2,256,49,0,256,0
23,0.6044539007092198,-0.7923640406868606,-2.1213578584672614,0.43862184971965823,0,2,22,0,0,206,1
16,0.603872340425532,-2.711783323530865,-2.3451656128024356,0.3084441334954358,4,3,256,47,0,256,0
43,0.6038439716312056,-3.271354690766038,-4.882744620411316,0.609787066064511,1,3,38,241,147,166,0
5,0.6025390070921985,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.600609929078014,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.5977163120567376,-2.465748391888804,-2.60485911091568,0.14134479223463686,0,0,75,248,156,25,1
41,0.5966382978723405,-3.2330177205993564,-1.3099486750604226,0.27982545323631625,0,3,109,20,228,173,0
45,0.5956737588652481,-3.255319757832824,-1.0958438322948987,0.6208522108025427,0,0,34,164,160,115,1
26,0.594822695035461,-4.0,-1.9652155300948566,0.6477189872569816,1,2,98,256,170,256,1
46,0.5934893617021276,-3.2300397119282787,-2.984498335657969,0.6015195204174278,1,2,174,49,202,172,0
14,0.5930070921985816,-4.0,-4.72079995966764,0.3859626155629485,0,3,8,12,212,256,1
49,0.5879007092198583,-3.5412212078647185,-1.4153403248849208,0.5557856259947564,3,1,149,143,157,184,1
28,0.583049645390071,-0.3,-2.568726591352556,0.3687042989863245,0,3,41,237,0,245,0
35,0.5774893617021277,-2.9763920746784605,-3.3531731071107878,0.025956826952282144,3,0,41,11,251,66,1
4,0.5648936170212765,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.5498297872340425,-2.908779753590265,-3.5011028641716795,0.1859909268658709,3,1,11,11,31,165,0
34,0.5315886524822695,-3.228694398280957,-1.842259338149518,0.6694893244609796,2,0,256,0,45,256,1
42,0.5181702127659575,-2.9755512257009054,-4.323543246288136,0.544684484609353,0,3,36,129,32,99,1
10,0.5,-0.3,-5.0,0.38044777733326024,4,0,256,32,256,256,1
31,0.5,-0.3,-4.5951280955815985,0.6144580108126682,4,2,194,140,0,52,0
24,0.5,-0.44934231148726234,-4.346388994218841,0.6936649890097348,0,0,164,256,256,250,1
27,0.5,-0.3,-4.402775261681929,0.25140360985331334,3,2,245,256,155,0,1
11,0.49065248226950353,-0.3,-1.2129983992020175,0.09139318434965271,1,1,192,0,148,5,0
6,0.3940425531914894,-3.3083581308748293,-3.891280821013561,0.7,2,1,90,120,246,92,0
