trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.6393900709219859,-3.5248476007189065,-1.1498094338077425,0.3022619967609576,0,2,256,117,147,197,1
3,0.6355035460992907,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.6290921985815603,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.6289503546099291,-3.17982772325764,-1.0865202755318721,0.6787582977863701,3,2,256,63,210,244,1
10,0.6235319148936169,-4.0,-1.0,0.7,4,3,256,0,0,0,1
30,0.6215886524822695,-2.5042951926268078,-3.786970955577594,0.1845677930615231,1,0,110,45,204,125,0
38,0.6202127659574468,-3.678377400612303,-2.720253119899521,0.37928172172950864,1,1,256,200,143,118,1
17,0.6179716312056737,-1.5625719668450402,-4.8033773767935175,0.33662752878484975,3,2,256,256,196,0,1
18,0.6126099290780143,-4.0,-5.0,0.7,4,0,256,107,152,0,1
49,0.6100567375886524,-3.132393594733764,-1.6651289454234313,0.5338356923231046,2,1,256,202,174,101,1
27,0.6098297872340426,-3.783277642076267,-1.873538700479155,0.20325159327310877,2,2,105,16,98,179,1
13,0.6088368794326241,-0.8117445312549663,-4.118370794461062,0.633340937598201,0,2,248,0,99,40,1
31,0.6069929078014185,-3.7774399767346276,-3.1356682707445485,0.21416428628014225,1,0,256,151,49,5,0
22,0.6066808510638299,-2.524680996269356,-2.9131523278883287,0.48989496964624224,4,2,12,100,100,198,1
12,0.6066808510638299,-2.378469208442944,-5.0,0.7,0,3,8,256,0,0,1
25,0.606368794326241,-2.4321851342734764,-4.400959911773551,0.6335286461085736,1,3,29,49,96,0,1
39,0.605645390070922,-1.584166545236879,-1.3455911493967787,0.2777126951111789,0,2,74,178,236,60,0
32,0.6056028368794326,-0.7673427845802321,-1.741079627585905,0.0503154230850508,2,0,170,85,47,173,0
1,0.6054893617021277,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.6053191489361702,-1.1179255217488895,-2.207169448576438,0.09898816749481802,2,0,49,29,5,97,0
34,0.6053191489361702,-1.357418240600667,-3.559679969807764,0.5383360157346341,1,1,256,209,84,27,0
37,0.6050921985815603,-3.491629273690603,-4.823106396712237,0.37085102806064507,4,1,179,19,104,50,1
16,0.6048510638297873,-1.4115700299556568,-2.122692822829291,0.0,4,2,246,256,16,38,1
8,0.6047234042553192,-3.532168244856247,-3.7472197854181903,0.0,3,1,133,84,226,8,0
42,0.6045531914893617,-3.7161863801245425,-4.790821898890935,0.05771659331746938,3,2,169,107,209,165,0
9,0.6044397163120567,-2.9041751252438655,-1.0,0.7,1,3,8,256,0,256,1
40,0.6042978723404255,-3.307543592561071,-4.382874100212652,0.18211553586701293,4,2,149,196,164,52,0
19,0.6042127659574468,-3.2391113732959536,-1.2387279815743173,0.18093218644758538,0,2,188,256,248,169,1
15,0.604127659574468,-3.630031873684872,-3.36483755989555,0.7,3,2,256,0,111,167,0
48,0.6040425531914894,-3.1622205632558726,-2.4454895869278848,0.07371617305694958,0,3,111,64,136,137,0
5,0.6033333333333334,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
14,0.6032198581560284,-3.822333321145043,-3.10484175746977,0.3244440944621315,2,2,156,0,118,216,0
45,0.6031205673758866,-0.7557743558763437,-1.3877082001583827,0.07311417805536624,0,2,8,116,27,218,1
29,0.6029645390070922,-2.546127462856998,-2.6346173808804507,0.4609015251697351,1,3,162,220,219,71,1
33,0.6026241134751773,-1.6049598320397886,-2.8168735631962423,0.04947635471062436,1,3,256,179,61,59,1
11,0.6026241134751772,-0.8078609908573808,-2.0570528299030677,0.0,1,3,49,256,68,80,0
24,0.6023120567375887,-2.101796452599334,-3.3964017629390515,0.7,3,1,256,179,48,96,1
23,0.6021985815602837,-3.3990289825372164,-4.364919119580764,0.6913958616757082,1,1,82,123,167,198,1
41,0.6015177304964539,-3.359823461052404,-1.7224980164593773,0.0644958518790761,3,1,256,30,5,14,0
35,0.5866808510638298,-4.0,-1.0,0.1458626049164817,4,1,123,83,153,193,0
43,0.5789078014184397,-3.4823351835642042,-2.080947306760391,0.13267046327489457,1,3,8,249,223,67,1
44,0.5705106382978724,-3.2623354522017864,-3.850122062786844,0.03510740352114887,2,1,8,140,227,55,1
28,0.5703687943262412,-2.4969757148936678,-4.713732721743868,0.2986327606737185,0,2,256,78,193,157,1
6,0.511985815602837,-3.931010065085295,-4.795365424237843,0.7,4,1,255,229,175,206,0
7,0.5023546099290781,-0.8694048138821882,-4.112299706540232,0.6490461308708443,3,0,93,240,85,41,0
4,0.5,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
21,0.5,-0.3,-4.657239684237654,0.3454504979997625,1,0,13,89,247,24,1
20,0.5,-0.3,-1.0,0.7,0,3,8,81,0,256,1
26,0.5,-0.3,-2.3079872573285476,0.0,3,3,8,0,205,256,0
36,0.41643971631205673,-3.5916304480419683,-4.52749418651261,0.6614292966139694,2,1,49,103,27,32,0
