trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.9382030740764103,-3.0965683848736862,-3.181321370131141,0.16328137107497417,4,3,54,46,65,157,1
9,0.9381820475619757,-0.852434719702273,-2.3194556286349943,0.4232782400887651,4,0,19,63,101,176,1
10,0.9381189680186716,-1.759114112619594,-2.927476036419357,0.7,4,1,158,131,5,54,0
49,0.9379087028743245,-1.7593285903007674,-5.0,0.22371456532598852,1,3,151,0,77,0,1
50,0.937772030530499,-0.6108442369955314,-3.301470898090921,0.45092074755971173,3,3,174,37,93,35,1
8,0.9377194642444121,-1.0327164803519957,-3.319782677991354,0.3646230761851969,2,2,20,193,237,3,1
18,0.9373409869845876,-2.50690256182898,-5.0,0.5668496349403962,3,1,8,256,0,121,0
20,0.9365945457221557,-0.31662580503503834,-3.2998317617252697,0.15640837719637996,0,2,143,111,252,20,1
27,0.9363106877772871,-2.1502156068565323,-4.807681805620995,0.5628235093124279,4,2,256,224,196,82,0
48,0.9362686347484178,-2.5650778148437747,-1.4944623586417984,0.3554231369438924,0,3,205,48,22,54,0
21,0.9361372190332009,-4.0,-1.235935422516146,0.5771147064432369,4,2,36,24,198,195,0
17,0.935911184003028,-4.0,-2.6368938888937756,0.0,1,2,8,177,50,140,0
28,0.9358060514308543,-1.199686531290658,-1.0,0.7,0,3,256,0,0,94,0
24,0.9357219453731156,-2.052451277590946,-3.7652890351142974,0.692032265455962,0,3,118,23,242,256,1
31,0.9356378393153767,-2.0314000411310573,-1.0,0.07235404797232732,0,0,8,0,0,122,0
1,0.9355642465148554,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
5,0.9355327067432032,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
36,0.9355011669715512,-1.644711756065766,-5.0,0.0,0,0,256,256,135,0,0
45,0.93487037153851,-2.7226069681798926,-4.963566105926671,0.12951016942655522,4,0,89,0,256,0,0
34,0.9347757522235539,-2.736067699659598,-4.192408635959594,0.7,4,2,136,252,0,0,0
33,0.9345549738219896,-2.722523494821168,-2.4729747904332466,0.6238736382713908,2,0,155,73,199,0,1
15,0.9340082844466874,-1.9696495844196713,-3.866681057821312,0.6300581201162037,3,1,9,153,71,155,0
12,0.9337454530162536,-0.5678095486735404,-2.472095583017042,0.09239146902544358,0,3,70,189,1,59,0
32,0.9336718602157319,-2.626553438756649,-4.198583530545928,0.39484661857959763,1,3,256,256,0,208,0
25,0.9335351878719065,-2.3305309280056923,-1.9081879044688401,0.0,0,3,12,256,0,256,0
23,0.9335141613574719,-4.0,-4.737567361577043,0.7,1,0,225,248,0,95,1
2,0.933188250383734,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
29,0.9331461973548646,-3.0875808184456464,-4.692530307419948,0.25081629930161947,0,0,157,74,14,90,0
38,0.9331461973548645,-0.39310564500272926,-1.0,0.0,2,3,8,201,256,0,1
26,0.9330200382682563,-1.0157518775760122,-2.6392356727766524,0.7,3,0,41,131,65,87,1
42,0.9329569587249522,-2.5700919858301745,-1.0,0.1681861733227656,4,3,256,256,256,256,1
39,0.9329464454677349,-0.9544274815724734,-1.0,0.0,0,3,28,256,256,6,1
22,0.932294623520259,-4.0,-2.683605493985778,0.0661475940991233,2,0,69,42,53,0,0
43,0.9321369246619987,-3.6642132904591196,-1.238856628880157,0.48698641140030435,0,2,174,48,27,20,0
40,0.9320423053470427,-3.4116720838427126,-4.201329980670929,0.019894689597224666,2,1,244,100,216,64,1
46,0.9320002523181731,-2.043461755361731,-1.0,0.0,2,3,158,256,256,97,1
13,0.9314430496856536,-3.4331795622040984,-3.3500843260501307,0.39784722685913565,3,3,83,83,198,222,0
41,0.9310120061397422,-3.041179065998443,-2.056549493474766,0.16422591040508636,0,2,21,195,127,207,1
7,0.9309909796253076,-1.692655567487967,-4.599504946410726,0.0,1,1,62,231,227,2,0
14,0.9306019891082655,-0.3,-3.5412699070808733,0.2602248080878031,4,1,69,233,61,247,1
3,0.9300710696187893,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
11,0.928310099034883,-1.9681354465485899,-3.9699638500593935,0.6000397756222589,4,0,235,33,107,67,1
44,0.9279841880611452,-2.984532752519076,-1.0,0.0,2,1,124,256,0,256,0
6,0.9207090140667382,-1.1970709454065251,-3.828356937847709,0.41420922160834167,1,2,205,151,116,38,0
19,0.9203463066927395,-4.0,-2.437302763180669,0.6732453488228841,4,1,84,254,66,256,1
4,0.9190321495405707,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.5,-0.8888643469536448,-1.5867842692426222,0.28219446036901996,4,2,8,112,167,234,0
30,0.5,-0.3,-2.083817170608622,0.7,4,0,24,256,37,256,0
35,0.5,-0.3,-3.0606032398531013,0.6588841742933338,2,3,104,243,161,0,0
47,0.5,-0.8392576380724845,-5.0,0.0,0,0,8,256,167,33,0
