trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
10,0.9279894446897538,-0.3,-5.0,0.0,4,3,8,63,0,0,1
28,0.9260602619903697,-2.7555163326821255,-2.868454196787581,0.0,4,1,256,85,0,216,1
25,0.9198469269749153,-1.1222531741944746,-5.0,0.0,0,1,247,76,0,133,1
15,0.9187430349670935,-2.1806804004558713,-1.0,0.06543181937319308,4,1,146,29,0,158,1
40,0.9053176055005361,-1.039465844136199,-1.0,0.0,1,1,8,0,0,76,1
11,0.8934428814735381,-0.32076660624495323,-5.0,0.10385490087976021,4,1,197,256,198,166,0
32,0.8861939906221746,-2.2382255239686857,-5.0,0.0,0,2,256,125,0,63,1
48,0.8837128619188798,-1.4875227797309933,-2.174352702262901,0.0,4,0,100,0,122,0,1
6,0.8817573960764525,-0.3,-5.0,0.0,4,3,8,0,0,0,1
21,0.8782775079375091,-0.3,-5.0,0.277417389605883,2,3,128,65,11,29,1
30,0.8696566370192813,-0.3,-3.264395305640206,0.0,3,1,256,0,0,256,1
3,0.8642633360667802,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.8539077777076893,-3.252581431913253,-2.873496377986234,0.0,4,0,80,0,114,216,1
29,0.8530036375869973,-2.8164819515407924,-3.3848216779721003,0.0,4,2,8,48,0,170,1
4,0.8481675392670157,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.8468638953720642,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.8463697722828485,-0.4751166803018432,-5.0,0.0022505644647413266,1,3,212,248,0,124,1
36,0.8422485754536471,-3.1277550931259936,-2.8468114645264824,0.0851356834385439,4,2,200,17,0,162,1
27,0.8422117790533865,-1.4182412014341579,-5.0,0.0,1,0,64,61,256,20,1
7,0.8381168653672281,-3.31120534230831,-5.0,0.6944365265437864,2,0,256,0,256,256,1
44,0.8322504678399462,-0.3,-1.4905186407871716,0.0,4,0,47,256,36,134,1
50,0.8319455833806431,-4.0,-5.0,0.0,0,0,154,0,0,256,0
41,0.8304947538846486,-2.3454003596046626,-5.0,0.7,4,2,8,0,0,82,1
45,0.8288967387876112,-0.4570571548599913,-5.0,0.532860816312784,0,0,81,0,187,121,1
31,0.8280767047246578,-2.7938884670944795,-5.0,0.0,4,0,256,104,0,203,1
46,0.8273828297483127,-3.798754415800643,-5.0,0.0,0,0,242,0,71,254,1
34,0.8257007085935365,-0.4430008504850007,-2.3192645409091477,0.0,3,3,194,66,0,71,1
8,0.8239870476671083,-0.3,-5.0,0.0,1,3,8,0,256,0,1
19,0.8234298450345885,-0.3,-5.0,0.0,4,3,8,212,0,0,1
26,0.8223942891986795,-3.7467089212144065,-5.0,0.0,0,0,196,256,0,130,0
38,0.8169431653314829,-0.6688589622979904,-5.0,0.0,2,3,127,68,0,140,1
18,0.8158287600664438,-4.0,-5.0,0.40138773979296566,0,3,256,228,0,256,1
16,0.8106982905443766,-1.201718003289309,-1.0,0.22177998540151464,4,0,73,71,0,0,1
37,0.8087953909880359,-2.2081839691533522,-1.197310432671892,0.0,4,1,256,0,0,208,1
43,0.8065035009146535,-3.177248167511276,-5.0,0.3065424640817184,4,2,68,90,166,256,0
39,0.8059568115393512,-2.2475731425245016,-5.0,0.691766292688872,4,3,256,256,5,196,0
23,0.7780020605984146,-2.984531751216153,-1.0,0.41803087538032113,0,1,213,0,0,51,1
2,0.7392186547236064,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.7185285645198596,-4.0,-5.0,0.7,4,0,256,256,256,256,1
22,0.6878088269307596,-4.0,-1.0,0.0,4,3,8,0,0,256,1
20,0.6774637818288862,-4.0,-1.0,0.7,0,0,256,0,0,256,1
49,0.6245032485964802,-0.3,-5.0,0.2639641259883731,4,1,197,256,148,233,0
35,0.5961963035387624,-0.3,-3.6510028338111304,0.0,0,2,256,92,0,0,1
5,0.571074875417902,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
12,0.5041054269433756,-3.4175301993670906,-1.0,0.1406984196413189,0,3,107,256,256,192,0
14,0.5,-0.3004350547610293,-5.0,0.667451582384447,4,2,227,52,256,160,0
13,0.5,-0.3,-1.0,0.6050978772357829,4,3,127,228,255,139,1
24,0.5,-0.3,-1.0,0.3669792174556911,4,1,36,132,161,167,0
33,0.5,-0.3,-5.0,0.0,3,0,8,256,256,174,0
42,0.16340755692928782,-3.821834145077974,-5.0,0.0,3,3,256,256,256,0,0
