trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6370825253178194,-3.1464760337042543,-4.750321595891205,0.016597473354615058,1,0,173,44,172,120,1
37,0.6141995259642319,-1.6774624024309284,-4.596057289720846,0.6735963471277653,2,2,151,65,113,256,1
45,0.6075737987502693,-1.563824219045613,-3.21680941911025,0.42072011983283686,3,0,8,47,172,146,1
40,0.6065287653522948,-1.7243832499916225,-2.661231707083628,0.6271273494244582,1,0,201,248,230,256,1
3,0.599612152553329,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.5889894419306184,-2.9850740093090247,-4.774542789153767,0.5491450311583556,1,1,210,59,90,223,1
26,0.5832471450118509,-0.3,-4.755010895866257,0.14847609853088736,4,0,172,228,114,226,1
34,0.5799827623357036,-2.9612425467409484,-1.7128390799478708,0.6972963186937994,2,2,52,95,58,2,0
13,0.5787976729153199,-3.4240300888372293,-4.139139987808449,0.32183710667460436,2,3,239,126,256,6,1
38,0.5765998707175178,-3.3831299406098254,-2.4862251879677486,0.7,1,0,256,111,66,214,1
11,0.5758888170652876,-1.2452367847756909,-5.0,0.082968723423746,0,3,227,137,256,218,1
25,0.5739280327515621,-3.111251751955211,-4.743020489493941,0.5306447542914078,1,0,234,166,51,220,1
32,0.5714285714285715,-1.8438608708561444,-4.282551258568494,0.17932559365298822,2,2,111,0,234,0,1
30,0.57120232708468,-2.15939657323075,-1.0407417678542568,0.022029012081720544,3,1,244,69,0,136,1
10,0.5677871148459384,-1.8039432479803308,-3.840599400661632,0.7,3,3,14,73,256,236,1
22,0.5674423615600086,-2.6681678763075,-4.801002966303541,0.0003352543862574712,1,1,177,42,68,256,1
35,0.5659663865546218,-2.3262674405541173,-2.317393173212668,0.5722406550036043,2,2,44,235,185,0,0
28,0.5655354449472098,-2.933797646325346,-5.0,0.022392384889511292,2,1,123,16,255,52,1
9,0.564027149321267,-3.966562382696716,-2.5504942492262286,0.4744881346769569,2,0,110,116,256,236,0
4,0.5637362637362637,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
19,0.5588558500323206,-2.8064316185648064,-4.6771608203666295,0.5097161809593231,3,0,142,193,125,142,1
41,0.5566688213747037,-0.7177071066808205,-3.4837121486805915,3.035766082959412e-19,1,3,26,162,188,0,0
23,0.5530489118724413,-3.2379249137447266,-4.75778998972995,0.5678317307928474,2,0,247,24,117,194,1
16,0.5525964231846584,-4.0,-5.0,0.18965599112838594,0,3,215,152,247,162,1
8,0.551163542340013,-3.340052787178281,-4.082375480027513,0.4607437379910005,2,1,214,38,256,97,0
27,0.5503986209868563,-1.0929305349936294,-4.749244718494528,0.008461185249534672,0,0,164,20,212,15,1
44,0.5501616031027796,-3.2074211968295603,-4.7754731389284695,0.5861979480518422,2,0,158,143,187,160,1
43,0.5480068950657186,-2.2155088460874777,-4.6445805501504935,0.09586519678144534,3,0,188,0,196,123,1
48,0.5455505279034691,-2.8440379748093267,-4.502550338432549,0.656510856229565,2,1,98,149,170,163,1
29,0.5446886446886448,-3.042257475580751,-4.745822384456318,0.07326576857853605,2,0,191,225,1,133,1
47,0.542684766214178,-3.8167731493059733,-4.775168182693394,0.0,3,0,183,250,157,185,1
39,0.5401853048911873,-3.0477940725891233,-3.8527051041230163,0.0,1,1,8,113,195,133,1
14,0.5381921999569058,-4.0,-1.7779324542278183,0.0,2,0,231,176,256,122,1
49,0.5371902607196725,-2.762610220035982,-4.338339106492708,0.4388496288020059,4,3,237,4,50,253,1
20,0.5226459814695108,-3.8074148374342154,-4.697407087725689,0.6664727757917668,1,0,12,130,146,62,1
6,0.5166558931264814,-2.47428751906369,-3.8849568815347415,0.30681879660865174,1,1,184,46,29,118,1
33,0.5062163326869209,-2.941382968594065,-4.941419896153253,0.31654147385801773,2,1,61,254,57,2,0
46,0.5,-0.4836601202216344,-5.0,0.3998435084025649,2,0,256,43,170,9,0
7,0.5,-0.36890223642481246,-4.998587642940723,0.48774505718446654,1,0,250,115,148,192,1
17,0.5,-0.3,-5.0,0.5683153616884355,1,0,210,223,250,32,1
12,0.5,-0.5691047226932455,-5.0,0.6638024784376344,0,3,58,86,256,212,0
2,0.499612152553329,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.49543201896143074,-3.3202904822234176,-4.402144335986079,0.3388059414016446,1,1,212,83,221,188,1
5,0.49256625727213965,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.47629821159232927,-1.2686806178605896,-4.464937448357349,0.10917305748965386,4,0,120,49,153,104,1
42,0.47538246067657836,-1.9973058413700997,-2.2387816668416076,0.6994099539195051,3,1,107,134,45,77,0
31,0.4623464770523594,-3.783088951234571,-4.759336262452488,0.47186062730011413,1,1,183,243,194,148,1
1,0.45990088343029517,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
36,0.4370932988580047,-3.656771244338916,-1.3845283158483759,0.33688331888306233,0,1,45,203,9,255,0
24,0.4195539754363284,-3.1154484588898286,-4.712266382375353,0.0,2,1,243,107,237,245,0
