trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
33,0.707049645390071,-2.988183529152333,-4.877058033225301,0.5737273269884038,1,0,36,0,239,103,0
46,0.6991631205673758,-3.3545975699213653,-3.4478479753877553,0.17516175719393642,4,0,54,0,215,66,0
18,0.6968652482269503,-4.0,-3.0460079588281683,0.3660323344743316,3,0,52,67,256,185,1
12,0.6863404255319149,-3.0325091600252883,-2.6206041045799537,0.6522505965038777,0,0,249,80,256,108,1
41,0.6814609929078015,-2.967333596632187,-3.651536452090764,0.6495783745444914,2,0,235,0,115,41,0
38,0.680836879432624,-2.382208856956441,-3.928687124215456,0.619178166915225,0,0,33,0,218,82,1
49,0.6786241134751773,-0.3,-5.0,0.7,1,3,182,0,0,219,1
3,0.6780283687943263,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.6778581560283689,-0.3,-4.464941613513309,0.0,3,1,42,0,92,230,0
25,0.6752198581560285,-3.0212754530955395,-4.5696162534218265,0.6771596808054051,1,0,95,121,256,63,0
29,0.6742553191489362,-4.0,-4.789802853262075,0.22192701668035839,1,0,136,168,256,0,0
50,0.6741985815602837,-0.3,-5.0,0.40638074742498986,1,1,19,0,146,42,0
37,0.6735602836879433,-1.5312920417838782,-3.4224559140542765,0.585823190765515,4,0,43,0,230,182,0
43,0.6716595744680851,-2.781912532952587,-4.470354605552525,0.7,3,0,136,0,37,1,0
40,0.6700567375886526,-4.0,-5.0,0.3733824777447082,2,0,139,0,170,54,0
10,0.6698014184397163,-2.593910548703589,-4.295246330602632,0.5136819978249313,1,0,109,158,213,187,0
11,0.6657730496453901,-1.6688466840045049,-4.192379981148792,0.053400605834535764,2,1,65,18,256,49,0
27,0.6654042553191489,-4.0,-2.584524387673383,0.7,0,0,227,0,256,0,1
16,0.6635035460992909,-0.3,-3.0564861810165462,0.5577903195850032,3,3,166,39,256,137,1
19,0.6616879432624114,-3.047390429758552,-2.615051580466865,0.556912878283666,2,0,212,150,47,256,1
48,0.6586808510638298,-1.330418124425596,-3.152698042023858,0.0,4,1,40,0,256,238,0
35,0.6582836879432624,-3.5601894946766164,-5.0,0.44370218465213673,3,0,9,65,256,116,0
22,0.6527517730496453,-3.6037324059394757,-5.0,0.7,4,0,8,10,256,256,1
17,0.6525531914893616,-0.3,-2.286753120943865,0.12366818494886654,2,1,250,7,256,178,0
1,0.6472198581560283,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
5,0.6424397163120568,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.640354609929078,-0.8739298495407688,-3.4755352087493865,0.15677161257267452,4,3,96,150,0,191,1
20,0.6377872340425532,-4.0,-5.0,0.7,3,0,14,174,256,155,1
31,0.6284397163120568,-2.5782004242039287,-1.723732262189721,0.11704930882957697,1,1,102,47,2,0,0
34,0.6258297872340426,-4.0,-3.2347655259316808,0.2886002428561004,1,0,164,219,240,112,1
2,0.625063829787234,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.6221702127659574,-1.7732273376140828,-3.7487209163324655,0.5552182141976862,1,3,30,255,256,54,1
36,0.6135460992907802,-1.5207476848091694,-4.7520683007522635,0.24897946035725266,3,0,93,95,256,120,0
15,0.6107092198581561,-3.1330920538178066,-3.099782346789458,0.0,4,0,67,85,11,0,1
23,0.6073333333333333,-1.3504451142861558,-2.7223580716054596,0.7,2,0,58,128,108,122,0
42,0.5980283687943263,-0.3,-4.481752253419085,0.0,2,1,112,0,254,93,1
24,0.5920425531914895,-3.0493915744209925,-3.5139974580285758,0.017723213812040707,2,0,98,204,252,162,1
21,0.5812340425531914,-3.10433614542445,-1.0,0.3207027321988148,0,0,256,0,256,184,0
44,0.5714468085106382,-0.7585002287206404,-1.0037209337031343,0.7,3,1,177,0,225,19,1
6,0.5673333333333334,-3.798498480641666,-3.307783005386552,0.7,3,3,233,244,65,113,0
4,0.540695035460993,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.5377163120567376,-4.0,-4.478040309751722,0.58144758869427,1,1,22,120,256,92,1
32,0.5044964539007093,-4.0,-5.0,0.3856361098191823,4,0,31,14,211,245,1
8,0.5,-0.3,-5.0,0.7,0,0,8,256,0,0,1
39,0.5,-0.3,-4.549384500958334,0.571815614736821,0,0,45,207,239,142,0
28,0.5,-0.3,-3.927645901422515,0.19580752361410986,1,3,217,16,256,222,0
45,0.5,-0.3,-1.0,0.7,3,3,61,256,155,49,1
26,0.4493191489361702,-4.0,-1.178921559686032,0.7,0,2,231,47,111,183,0
9,0.41836879432624113,-4.0,-1.0,0.0,0,3,256,121,256,256,0
30,0.37340425531914895,-4.0,-4.660946177361329,0.3714412475765717,2,1,54,132,256,0,0
