trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.6668929110105581,-0.3,-4.9465547474231535,0.1705222532182656,0,1,67,140,27,117,1
15,0.6658586511527688,-0.7613165294766766,-4.999970213710036,0.5990401327862862,0,3,228,87,149,227,1
38,0.6517237664296487,-1.7073378714315095,-5.0,0.5780371141640857,2,1,27,82,145,172,1
3,0.6506679594914889,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.6494828700711055,-2.4708622050322244,-1.8754288646867785,0.010076127150303399,0,1,67,101,29,116,1
49,0.6462292609351433,-2.014157648701747,-5.0,0.6303276637915024,0,0,220,74,160,62,1
11,0.6451950010773541,-0.3,-5.0,0.0,4,3,256,137,0,256,1
35,0.6431911226028874,-1.6659965849975356,-5.0,0.08278185348691008,0,2,256,144,0,256,1
16,0.6395281189398836,-0.3,-5.0,0.6075002597846647,0,3,256,256,256,256,1
4,0.6394957983193278,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.629788838612368,-1.1808521991906251,-3.671117567042157,0.051027349155315066,4,1,76,0,41,87,1
14,0.6289269553975436,-3.1248089616305377,-3.549644818205935,0.6467973931792244,4,0,197,192,183,43,1
10,0.6287761258349495,-4.0,-4.1174794816351525,0.0,1,3,256,0,0,256,1
13,0.6268799827623357,-0.3,-3.677143795795261,0.037011601071922584,1,3,256,250,77,206,1
21,0.6265352294764059,-4.0,-3.2380165831987684,0.13641475000158465,4,3,75,73,203,193,1
1,0.6240249946132299,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
25,0.6210407239819004,-3.3557187033535936,-5.0,0.24283144543704,3,3,69,233,0,212,1
45,0.620846800258565,-1.8631873865858193,-5.0,0.20626856513542546,4,3,197,57,206,141,1
29,0.6177871148459383,-3.557449295977066,-4.066216960389967,0.08538887788978473,4,2,256,256,77,41,1
26,0.6149213531566473,-1.5879692736039064,-5.0,0.0,4,3,256,253,185,256,1
40,0.6106334841628959,-2.0921839826642916,-4.174086911115999,0.0014245917505815342,1,2,214,189,165,242,1
23,0.6089959060547296,-1.6294431133774134,-5.0,0.5858757566212706,1,1,155,0,12,236,1
17,0.6088881706528765,-1.7744970491478989,-4.72901352409229,0.03838355457364637,0,3,256,0,0,36,1
18,0.6001185089420383,-0.3,-4.4422249899431465,0.7,0,3,256,49,256,256,1
2,0.5996660202542555,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.5990196078431372,-0.3,-4.474771478049381,0.17408949515084904,3,3,88,117,42,97,1
12,0.5976082740788623,-3.9287048359630368,-5.0,0.6888549942746407,3,1,102,14,89,105,1
50,0.5942577030812325,-1.9412631445501627,-1.4199970877993144,0.2940390889591722,4,0,47,75,224,62,1
34,0.5929433311786253,-1.514279373427183,-5.0,0.5681883721951841,0,3,8,242,112,235,1
43,0.5857466063348417,-3.1733135512354993,-4.962115866473529,0.15419011109666222,4,1,43,121,0,192,1
42,0.583354880413704,-3.472648661971144,-5.0,0.7,2,3,60,226,158,201,1
48,0.580316742081448,-0.3,-1.0,0.039992047566564645,1,0,215,0,7,0,1
44,0.5798103856927387,-0.5097698034141529,-5.0,0.11885407618689015,0,1,193,95,169,171,1
8,0.5775371687136392,-3.59864673901059,-4.244618091532607,0.37435753708837954,1,3,142,91,70,256,0
31,0.570566688213747,-0.3,-4.43608518783176,0.09140676841516705,3,0,11,187,126,206,1
20,0.5696724843783667,-2.1800963244333227,-3.286686892907163,0.16561722106937818,3,0,96,231,0,256,1
7,0.5682719241542771,-3.954996674419444,-4.762148637982864,0.32524215323137207,3,1,121,183,199,0,0
39,0.5666989872872226,-1.0387816530590297,-5.0,0.12075140819532326,1,0,74,145,99,127,1
9,0.5651260504201681,-0.9006925000855213,-1.4647681362857545,0.4343420397225541,4,3,247,159,37,156,1
24,0.5610536522301228,-3.877852750302383,-3.2496480220467934,0.4389122519587125,4,2,100,256,245,31,0
36,0.5475005386770093,-3.6772472438357924,-4.911797950774278,0.5355689308282957,1,1,256,116,98,169,1
41,0.5420383538030598,-0.3,-4.499264841955057,0.0,4,1,8,127,161,144,0
28,0.5323529411764705,-4.0,-3.4265688325180657,0.162630245731984,4,1,8,0,81,172,0
6,0.5259750053867701,-2.120559405321676,-1.0455943594724753,0.0275320198352908,2,2,112,102,125,256,1
37,0.5,-0.5194307002304246,-5.0,0.31396285027880105,1,2,236,221,158,86,1
19,0.5,-0.4743435436955834,-3.105131176595816,0.6819984074287219,1,0,183,250,239,3,1
47,0.5,-0.3,-4.944082336520783,0.5721982208761728,1,0,60,148,128,203,0
32,0.5,-0.3,-5.0,0.0,4,2,8,256,0,0,1
30,0.48460461107519937,-4.0,-2.4660428495291966,0.2995391639687225,4,1,8,0,84,13,1
5,0.46930618401206636,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
