trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
14,0.6862269503546099,-2.629256656364812,-4.63518168909524,0.2761621329301418,4,1,89,75,46,0,1
28,0.6824822695035461,-1.6450831457586084,-4.768654953727556,0.2327064016679923,4,1,135,134,137,243,1
23,0.681290780141844,-2.5499162461196363,-4.638706354492973,0.3453109687457001,3,1,106,69,23,85,1
46,0.6787943262411349,-2.540723871829977,-5.0,0.2430076100098958,3,1,181,8,86,182,1
19,0.6762127659574468,-1.6634709065967672,-3.638143894352456,0.4268101247673953,4,1,83,59,16,158,1
22,0.6739432624113476,-3.389111956336026,-4.1865885639108535,0.43133826007424275,4,2,83,101,64,253,1
37,0.6710496453900708,-2.0268207788155683,-4.5359169163561015,0.2762013313443445,4,1,105,113,140,240,1
49,0.6703404255319149,-1.9788286810963625,-4.504462488510335,0.18653085308542902,4,1,256,123,0,114,1
39,0.6701134751773049,-1.66641520463318,-3.9752637193897136,0.0822899562954257,4,1,226,84,218,59,1
38,0.6681560283687943,-1.2224737293136094,-3.824098428614516,0.36489350556497047,3,1,205,109,53,59,1
36,0.6679574468085107,-4.0,-3.2108532418483278,0.3951016361180615,0,2,131,47,175,160,1
21,0.6621985815602838,-1.9849120072548025,-2.379082633099718,0.37510538203049637,0,1,73,98,0,44,1
16,0.6594184397163121,-2.8963779187125187,-5.0,0.2591933081820007,2,2,86,88,158,0,1
42,0.6583829787234041,-0.3,-5.0,0.6154714967806648,4,1,219,145,172,39,1
1,0.6552482269503546,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.6551631205673758,-2.6068321050150063,-5.0,0.26902080859541405,1,1,52,69,0,99,1
31,0.6546808510638297,-0.3,-4.516053970003853,0.3032284870697521,4,1,92,23,50,61,1
50,0.6537163120567376,-3.3701648487811484,-5.0,0.45770376613511643,0,2,17,111,171,91,1
11,0.6532056737588654,-1.2110182097475368,-5.0,0.3657353147890038,0,3,128,118,37,24,1
47,0.6517872340425532,-1.6527477116416787,-1.6621865545617438,0.2655529900349988,1,1,128,114,248,255,1
32,0.6501702127659574,-4.0,-3.423480891859061,0.7,0,2,126,126,70,41,1
3,0.6482127659574467,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
24,0.6465673758865249,-1.0539588248311342,-2.9707266257638394,0.45326563635572753,3,1,8,64,87,121,1
29,0.6447801418439717,-3.436238710926586,-3.3550085750369965,0.13597251493492607,4,1,147,45,181,194,1
26,0.6441843971631206,-2.7448839132009915,-3.9479107453777114,0.0,3,2,256,211,53,247,0
12,0.6393900709219859,-2.1852456633096464,-3.9912848189136705,0.6263091670202184,1,2,198,82,198,50,1
34,0.6348510638297873,-2.043913183347235,-3.3334169583198117,0.5574617202704193,0,2,37,241,91,127,1
13,0.6307517730496454,-2.2459068109452103,-1.4671675048408623,0.13730486427541883,4,2,13,16,60,185,1
18,0.6258297872340427,-2.6414577678231193,-3.857919503040275,0.1216682398371088,2,2,61,34,67,0,1
5,0.6202553191489362,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.6192198581560283,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
25,0.6139007092198582,-2.5769085096926063,-2.148618309456464,0.0,2,1,256,6,99,247,0
41,0.612113475177305,-3.4785454771287627,-1.0,0.30115906678233156,0,2,149,216,177,47,0
8,0.611872340425532,-1.5370844517138957,-2.4059884503531705,0.43969757937230686,2,0,24,161,256,53,1
35,0.5990780141843972,-0.45089776334255527,-2.314990339153905,0.7,1,0,256,88,52,210,1
33,0.5973191489361702,-2.449205791909097,-1.0,0.0,4,0,8,125,9,230,1
30,0.5944822695035461,-0.3,-2.86185899413666,0.2695475822580947,0,3,207,118,156,32,1
44,0.5875035460992908,-2.975907893070575,-5.0,0.3116400547560766,2,1,205,109,254,183,0
40,0.584695035460993,-0.787943487832131,-5.0,0.0,4,1,253,186,239,11,1
2,0.5825673758865249,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.5721843971631206,-1.4109734110458656,-5.0,0.03671149178277742,1,3,253,52,36,190,1
45,0.5686099290780142,-0.549880566550883,-5.0,0.7,4,1,225,172,181,205,0
15,0.5500851063829788,-2.9168579644145405,-1.3991777888988262,0.23929552108558055,0,3,54,218,202,0,0
27,0.5309929078014184,-3.707767922099704,-5.0,0.3172968908940583,4,3,70,0,0,192,1
20,0.5157446808510637,-2.6164445991453373,-3.4333042485004857,0.7,3,1,129,12,97,28,1
7,0.5141702127659574,-3.68291115325012,-1.0,0.6300149303986173,1,0,92,148,147,126,0
9,0.5127234042553191,-0.4879114917539109,-4.063904495410187,0.3310861324551026,3,2,196,92,20,10,1
6,0.5,-0.4578091527872439,-4.396969440799912,0.4046065816982153,2,2,50,129,20,72,0
10,0.5,-1.1120384266762744,-1.1880380518849312,0.22298756870084366,3,2,223,174,170,234,1
17,0.49921985815602843,-1.966189448628183,-5.0,0.7,2,3,8,193,0,0,1
