trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.6604397163120568,-2.875472498819872,-1.0,0.5157628548421117,1,1,217,101,235,87,1
24,0.6543687943262412,-2.8224974307847845,-1.3251612494396152,0.7,0,2,256,199,61,0,1
1,0.6491489361702127,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.645886524822695,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.643531914893617,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
18,0.6429645390070922,-4.0,-1.0,0.7,2,0,74,249,83,0,1
33,0.6409503546099291,-2.9246198646343347,-5.0,0.0,0,0,256,16,89,23,0
25,0.6381418439716311,-2.610360031496649,-1.823944711993955,0.7,0,2,256,176,45,256,1
20,0.6359290780141844,-2.989584133268643,-2.825167462413609,0.7,2,3,8,121,0,163,1
40,0.635531914893617,-3.598009478311113,-5.0,0.17366366444624853,1,2,65,256,89,65,0
42,0.6336312056737589,-1.751254712257253,-2.07423950134917,0.6366851395697475,1,1,244,256,185,69,1
32,0.6326666666666666,-3.623802389841057,-3.081093607583533,0.43722417142973324,0,0,88,238,30,0,1
30,0.632241134751773,-3.093260362925178,-5.0,0.35754209507604356,1,2,69,224,211,247,1
17,0.6252056737588653,-0.5294319461592676,-3.919646107942918,0.0,3,1,247,0,60,192,0
22,0.6246950354609929,-4.0,-4.954226842942973,0.7,1,1,256,136,256,0,1
7,0.6227517730496455,-0.3,-5.0,0.037971868648919486,2,0,8,137,102,173,1
50,0.620113475177305,-1.925624339482562,-3.499561224712144,0.7,0,0,212,27,45,62,1
27,0.6196170212765957,-2.607437691815457,-4.550700348237057,0.7,1,1,8,6,256,0,1
9,0.6172624113475177,-0.3,-5.0,0.7,1,3,8,202,0,0,1
8,0.6159574468085107,-1.2044610804741747,-4.13923301371215,0.7,2,0,208,256,222,164,1
41,0.6152765957446809,-3.467739141286455,-4.057799005277498,0.6039085966024171,1,2,87,0,27,12,0
31,0.6142836879432625,-2.9528450675248674,-1.0,0.47192902267174625,2,0,8,105,199,146,1
35,0.6140851063829788,-1.9735954445473092,-4.220201778261851,0.5319550727849317,1,3,65,256,0,0,1
16,0.6127801418439716,-2.268016836850458,-3.0630642219666746,0.022479672667011934,3,2,184,185,137,117,0
46,0.6110638297872341,-2.925427816959478,-2.771816069458404,0.7,1,3,166,256,189,124,1
13,0.6103829787234043,-0.6430641869087479,-1.0816749488966773,0.010167315167469042,1,1,41,0,43,188,1
45,0.6072482269503546,-3.58063832077392,-5.0,0.0,2,2,234,0,7,93,0
14,0.606822695035461,-0.7235481016349135,-3.39416291427838,0.004977850936432013,0,3,201,256,250,35,1
19,0.6030212765957447,-0.858275515676516,-2.8885422353441843,0.7,4,1,256,208,12,0,0
37,0.6026241134751773,-4.0,-4.211657897819808,0.5410845955228483,4,2,256,136,119,73,0
5,0.6003829787234043,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
43,0.5998014184397162,-3.0954836336828717,-5.0,0.7,0,3,71,11,3,184,0
10,0.5990780141843972,-2.3746445486630265,-1.11391524628179,0.2713908936587155,0,0,143,0,184,256,1
48,0.5982553191489363,-2.5651514746951225,-3.939380534533658,4.8572257327350596e-18,0,1,96,2,194,15,0
15,0.5961560283687943,-1.504031128236853,-1.6819045731132447,0.38385827393431365,3,0,51,37,123,97,1
28,0.5902269503546099,-1.1118360169156523,-4.676643821077874,0.7,2,0,176,172,0,168,1
23,0.5886382978723405,-1.3949733815291365,-4.795385938619987,0.0,4,2,8,53,102,256,0
34,0.5884964539007093,-0.734384036601575,-1.0,0.6405939601955603,1,3,201,6,231,44,1
12,0.5881560283687944,-1.5482482699106703,-4.048326415188861,0.0049167921250071606,2,3,216,0,169,0,1
38,0.5866524822695035,-3.2889539193925565,-1.0,0.5178102747932614,0,3,248,108,60,120,1
47,0.5849219858156028,-0.6789329484839488,-1.0,0.0,4,1,76,179,8,178,0
21,0.5813475177304965,-1.978620062119242,-1.9379013398582297,0.6885619806445366,0,0,205,46,15,15,0
39,0.5777446808510638,-4.0,-1.0,0.5010114172129304,0,2,8,190,180,95,1
44,0.5631205673758867,-0.38729944369980895,-5.0,0.0,0,0,209,24,96,243,1
49,0.5630212765957446,-0.7518429154412187,-5.0,0.7,2,0,130,145,110,166,0
6,0.5174751773049645,-0.3,-5.0,0.7,4,0,8,0,256,256,1
11,0.5,-1.7478508244782032,-1.0,0.41391562801568543,1,0,17,90,177,256,0
4,0.5,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.5,-1.3682623458653587,-1.0395343686789476,0.7,2,1,256,247,210,0,0
36,0.5,-0.3,-1.1597738501263701,0.0,0,2,230,193,29,230,0
