trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
36,0.9358375912025063,-2.0141081407704373,-1.0,0.7,0,0,256,63,256,256,1
42,0.9355642465148551,-4.0,-2.3199904857453175,0.7,1,2,256,97,223,256,1
22,0.9348178052524233,-0.8682150267335862,-1.0,0.0,4,3,8,0,33,159,1
33,0.9344603545070334,-1.398149559148011,-3.854761585121121,0.5150388913517605,0,1,27,118,0,189,1
23,0.9338716121028617,-4.0,-5.0,0.0,4,3,256,0,0,256,1
16,0.9337244265018189,-2.366738055501681,-1.0,0.7,0,2,256,0,0,0,1
28,0.9333459492419942,-1.9492185554046677,-1.0,0.10558758615506998,2,3,205,0,0,2,0
31,0.9328307996383439,-3.8346342626063104,-5.0,0.6890902535183133,0,0,256,256,0,256,1
4,0.932715153808953,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.9325995079795621,-2.326609441437923,-1.0,0.0,0,3,256,0,70,0,0
37,0.93241026934965,-1.9243191645436477,-1.8105768854206872,0.7,0,0,256,256,138,9,1
12,0.9319897390609558,-1.033484694778974,-5.0,0.7,0,1,8,256,0,143,1
1,0.9314640762000882,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.9314325364284363,-2.589725889555802,-1.5067568891911107,0.35999174716920046,2,0,215,180,144,128,0
50,0.9312538110557413,-0.7796701178946392,-4.757894899698744,0.39084645490921843,1,1,13,160,0,205,1
17,0.931127651969133,-2.202330204064501,-1.0,0.7,4,2,256,0,94,0,1
15,0.9305914758510481,-3.004246723309839,-1.0,0.7,4,3,256,0,0,0,1
34,0.9303391576778318,-2.2538184645867565,-1.0,0.0,2,3,211,0,175,0,0
5,0.9301288925334847,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.9299817069324419,-2.627297178050439,-2.432645941022274,0.5463643025518388,4,3,111,29,200,157,0
49,0.9297504152736601,-1.703263931952414,-1.0,0.7,4,1,8,187,24,132,1
32,0.9295296368720958,-0.8512352054151116,-2.0865993719755624,0.17520774771083955,4,3,256,0,10,10,1
2,0.9289619209823587,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
14,0.9287096028091424,-1.9728011818550484,-1.154379438216508,0.7,0,3,8,0,172,0,0
46,0.9284152316070565,-3.656121017759615,-2.077995367581117,0.42128679520996387,3,2,8,130,180,149,1
6,0.9283942050926218,-0.49024158704969434,-3.205546988681312,0.30228029717566546,4,1,74,21,0,46,1
43,0.9280788073761013,-4.0,-5.0,0.0,0,3,256,134,118,177,1
48,0.9279421350322757,-4.0,-1.0,0.0,1,1,46,207,54,256,1
3,0.9277318698879288,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
20,0.9270800479404528,-1.3797134432529816,-5.0,0.0,4,3,235,0,0,0,1
39,0.9258394835888055,-4.0,-1.1054411745744388,0.0,1,0,61,238,84,220,1
13,0.9252612544418513,-2.9964043777988163,-5.0,0.17001658075835221,4,3,8,112,0,256,0
21,0.9238945310035955,-3.050574800528538,-1.0,0.4761945660447961,0,0,123,256,0,0,0
24,0.9235265670009882,-2.217816352630587,-5.0,0.0,4,3,8,0,256,0,1
40,0.9228957715679472,-4.0,-5.0,0.40047040961760766,1,1,8,0,0,182,0
29,0.9191845917702223,-4.0,-1.0,0.0,4,3,256,0,0,0,0
47,0.9167139763241449,-4.0,-4.559306717956388,0.0,0,0,8,256,0,186,1
25,0.9138018040749384,-2.244401224979258,-5.0,0.0,4,3,155,77,193,0,1
41,0.9133181942429403,-0.3,-5.0,0.0,0,0,256,136,0,69,1
19,0.9064688071658361,-1.823644409029424,-5.0,0.7,0,0,8,256,87,256,0
26,0.8995668538026451,-0.3,-1.0,0.7,0,0,256,0,256,256,1
35,0.8975798481885657,-4.0,-1.0,0.7,4,3,154,0,92,0,0
18,0.8876237936037343,-1.4705767955804823,-1.0,0.7,0,0,256,256,116,0,0
30,0.8451502344456359,-4.0,-1.0,0.0,4,3,8,0,256,0,0
45,0.8082066485838644,-4.0,-1.0,0.7,4,3,8,0,0,178,1
9,0.7624634664311698,-3.9926524369640877,-1.142833676784107,0.5392309526896709,2,3,17,14,150,83,1
11,0.7320696398158077,-0.3,-5.0,0.0,4,2,256,91,105,56,0
44,0.7033789608696566,-0.3,-2.5014987743465915,0.6534857380980835,3,2,186,0,256,168,1
10,0.5,-0.3,-2.4741530771437312,0.7,4,0,256,256,256,256,0
38,0.5,-1.8208820315775105,-1.0,0.7,2,0,8,0,24,256,0
