trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.730532212885154,-2.9088108155032613,-4.2260874810755595,0.25108922281385593,3,2,65,143,103,88,0
3,0.723852617970265,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.7191338073691014,-2.6902339901697703,-4.1755834681283615,0.7,4,0,119,123,256,54,1
16,0.7181210945916828,-2.424312880447176,-3.9824135625808896,0.06234971745519359,3,3,160,106,0,1,1
13,0.7142857142857143,-2.351770689872492,-1.5411815023675186,0.11002251506251137,4,1,31,202,2,139,1
26,0.7098039215686274,-2.5016961831868842,-2.2672715379845596,0.1806166828079567,4,1,70,170,0,220,1
50,0.7092652445593622,-2.4167739717501315,-4.863359588924886,0.7,4,2,223,167,0,113,1
39,0.7080370609782375,-3.0897597649586923,-5.0,0.27147613109556573,2,2,152,59,51,154,0
1,0.7079508726567549,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.7071536306830425,-2.806023302816957,-4.748203199092703,0.19350530770576188,0,2,256,45,82,90,0
36,0.7064856711915535,-3.2508642111455015,-4.047212426532377,0.19319082814175204,4,3,204,69,203,188,0
33,0.7040077569489334,-4.0,-3.7866894488821456,0.049328646624706235,2,2,155,181,256,192,0
30,0.7034475328592975,-2.1293392724611477,-5.0,0.11096055174641986,1,0,176,161,0,128,0
42,0.7032105149752208,-2.8010602677102803,-4.125458953146192,0.4740068314999417,3,3,104,254,92,96,1
15,0.7020685197155785,-1.4814300019376878,-5.0,0.32676365894089815,3,0,8,176,0,0,1
46,0.7020038784744667,-2.925227658608976,-3.103355854975997,0.33208935857334754,0,3,240,45,183,147,0
45,0.7010558069381598,-2.2627529467417538,-2.6221894711533706,0.6563738203416146,0,0,135,101,206,79,1
40,0.7005817711700065,-2.838632851040577,-2.369578721798982,0.2106323038337291,1,1,193,0,0,130,1
23,0.6996552467140702,-1.8881921645310298,-4.516117958427349,0.26994994812294765,2,3,22,220,47,13,1
41,0.6983624218918336,-1.4744731072302546,-2.4396876121501414,0.47245157969250956,2,3,195,127,0,73,1
9,0.6979961215255333,-3.0467488775281812,-4.850608975136292,0.46346791590032405,1,0,34,117,226,13,1
10,0.6960137901314372,-2.7793669712691704,-3.4713189612321322,0.5144944880488801,2,2,238,2,256,89,1
31,0.6960137901314372,-2.2545450606329136,-2.637229156829593,0.5707343987939619,1,3,147,157,0,249,1
12,0.6944839474251239,-1.23697837378492,-4.087569956227306,0.56223494247699,3,2,188,101,154,51,1
27,0.6941822882999353,-1.5460524316081332,-4.021227989807757,0.6202111574405582,2,1,256,119,0,23,0
25,0.6941176470588236,-2.725169901665218,-4.2620285786403596,0.10000707472386236,3,0,256,16,81,244,1
7,0.6938375350140056,-4.0,-5.0,0.0,4,0,256,0,256,256,1
47,0.690777849601379,-4.0,-2.931425373083764,0.4563238375080652,4,2,51,144,206,96,0
29,0.6904546433958199,-4.0,-4.09256760616288,0.5872968859384289,4,0,30,218,0,144,0
20,0.6898297780650721,-2.4547123159773827,-5.0,0.7,4,0,256,65,159,0,1
21,0.6859082094376212,-3.1301554887019454,-5.0,0.0,0,3,256,62,0,256,1
17,0.6835595776772248,-1.912954494632149,-1.9271811810275858,0.21115008068018412,0,0,8,256,0,0,1
4,0.6780650721827192,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
18,0.6693815987933635,-3.1637619325009716,-2.1060847627231856,0.0,0,1,124,234,87,87,1
28,0.6654384830855419,-2.6754941623513124,-1.8028201999704314,0.0,3,1,8,239,0,188,1
38,0.6609782374488258,-2.9007239937761895,-1.740659524963882,0.22267552809842456,4,1,8,204,63,18,1
19,0.6040077569489335,-2.6292635782505895,-3.5937781527703745,0.5634453813297723,0,1,8,158,256,148,1
5,0.5999138116785175,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.5954966602025425,-2.5420116952284584,-1.3312149211375446,0.28479218834151543,4,1,163,121,158,89,0
2,0.5944193061840121,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
32,0.5330532212885154,-4.0,-5.0,0.6986609041305811,3,0,82,182,0,222,0
43,0.5049989226459815,-3.4969621238458704,-4.204554939269188,0.4679843693280708,2,3,56,166,162,54,0
37,0.5004740357681534,-2.5346252002708978,-4.5519838839487194,0.29305709338770425,0,1,244,219,249,146,0
14,0.5,-0.8526245533888162,-1.1705170980468775,0.07065242991269548,0,1,144,172,228,157,0
6,0.5,-0.3,-5.0,0.0,4,0,238,0,256,256,0
8,0.5,-0.3,-5.0,0.7,2,0,8,256,256,164,1
11,0.5,-0.3,-1.0,0.7,3,3,41,81,0,0,1
22,0.5,-1.6082400145129374,-1.0,0.049530737741993604,3,2,20,229,0,195,1
48,0.5,-1.337681565653401,-1.6558976592690589,0.0,4,2,75,61,160,155,1
34,0.48767507002801125,-3.2854608363410818,-3.46404519485783,0.670682074297408,3,1,252,11,0,125,1
