trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
25,0.8909104739775666,-2.163780364395331,-5.0,0.43067046710760215,4,0,256,0,256,256,1
10,0.8881581677108834,-2.029885691635624,-2.4090117833398037,0.020888499885064495,4,1,55,7,148,256,1
11,0.8872038504626365,-2.0969622782764152,-4.2974735562741335,0.2349437590393004,4,0,113,58,205,41,1
13,0.8832482746220766,-2.677397520975709,-1.992764040381552,0.0,4,3,115,124,185,28,1
19,0.8832482746220766,-1.7669535237365332,-5.0,0.0,1,0,179,139,256,105,0
4,0.8832344439373193,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.8814641162883975,-2.170937716823473,-5.0,0.13342311741527949,4,3,256,256,0,0,1
33,0.8790299157711298,-2.536817403932511,-5.0,0.0,4,1,256,13,256,256,1
24,0.8784075349570558,-0.3,-5.0,0.35793459399533495,4,3,256,256,0,0,1
17,0.8767201914166771,-3.3959057486027886,-4.406998750928042,0.0,1,0,256,29,0,163,1
7,0.8766372073081338,-3.2499773354721784,-5.0,0.0,3,1,119,100,171,232,1
45,0.8761807947111462,-4.0,-5.0,0.0,4,2,256,186,142,0,0
3,0.873027398586504,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
8,0.8708283197101087,-2.2340693703477923,-3.977137584428386,0.0,4,3,232,10,112,37,0
32,0.8699846479399195,-3.377787874843793,-3.983190255049474,0.18098717171740142,4,3,256,256,256,0,1
22,0.8663195164792608,-0.3,-5.0,0.7,4,0,256,0,256,0,1
50,0.8659184266213019,-2.754209579685351,-3.8550115395764397,0.45271787148084947,4,3,256,0,0,256,1
12,0.8658077811432444,-2.0812398043630043,-5.0,0.0,0,0,16,0,256,256,1
14,0.8656279822414008,-1.9555206870109556,-3.2879728929834746,0.7,4,3,97,123,134,235,1
1,0.8636087022668492,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.8623501099539439,-0.3,-5.0,0.7,4,3,256,256,0,0,1
36,0.8621703110521001,-0.3,-3.1699122726803326,0.41661973677800607,4,0,256,0,256,256,1
27,0.8616309143465694,-1.7941372219105287,-1.0,0.33434082486778083,4,0,256,0,0,256,1
18,0.861340469966668,-1.4756584208139323,-1.0,0.0,4,3,223,32,0,0,1
41,0.860247845870849,-0.3,-2.727409314541545,0.7,0,3,256,0,0,0,1
5,0.8585190102761987,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.8580764283639681,-4.0,-5.0,0.109831379800345,0,0,8,256,171,210,0
6,0.8579104601468819,-0.3,-1.7637241569606608,0.17196895792447525,3,3,69,0,256,246,1
39,0.8576753385060094,-4.0,-4.499752541032909,0.0,1,0,8,256,256,256,0
15,0.8533739955465195,-4.0,-1.918876633906264,0.0,4,0,113,87,182,23,0
20,0.8530143977428323,-4.0,-2.0196866197227936,0.14848324693975973,4,0,8,256,256,0,1
40,0.8486992240985851,-3.9097802064473517,-2.280530934707377,0.28746271922076366,4,1,256,0,0,0,1
43,0.8466937748087908,-0.3,-2.6932462467173757,0.0,4,0,256,256,0,256,1
47,0.8434435638908482,-4.0,-1.2103847753458865,0.2714423624620628,0,0,149,254,256,201,0
26,0.8433190877280332,-4.0,-1.0,0.0,0,0,256,256,0,256,0
21,0.8379942740965104,-0.3,-1.0,0.0,0,0,8,256,0,256,0
9,0.8373442319129221,-4.0,-5.0,0.7,4,0,8,0,256,256,1
35,0.8358505179591442,-4.0,-4.237669664258669,0.0,4,3,175,256,0,218,0
2,0.8328354286820742,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
46,0.8319087728033414,-4.0,-3.713470119814171,0.0375544756379176,4,3,256,110,254,0,0
48,0.8204984578786496,-4.0,-1.0,0.3235725344500026,4,3,256,256,0,0,0
42,0.8101669363650195,-4.0,-2.8036402886550857,0.0,0,1,256,16,0,256,0
30,0.8045516783535953,-4.0,-1.0,0.7,0,0,8,253,238,147,0
38,0.8006099331977926,-4.0,-1.0,0.0,4,3,256,0,0,0,0
29,0.7909837766067799,-0.3,-5.0,0.0,0,0,256,0,256,0,0
31,0.7450244111585964,-1.8089811268158011,-1.0,0.0,0,0,8,256,256,256,0
49,0.5817739236269588,-0.3,-2.2740446243205445,0.06050928626640529,0,0,37,232,256,256,0
16,0.5,-0.38819307692934535,-3.1523138105328967,0.5589520893522243,4,0,36,215,192,96,0
37,0.5,-0.3,-1.0,0.7,4,0,256,256,256,256,1
34,0.28892991992033523,-4.0,-5.0,0.7,0,1,256,256,82,140,0
