trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.6939432624113475,-3.618956371661776,-5.0,0.6783370684612072,2,2,225,0,115,244,0
49,0.6923546099290782,-3.9947214898124925,-3.072039702405174,0.5191516588448797,3,2,198,227,180,0,1
40,0.6904822695035461,-3.0748498287589956,-4.146621967016257,0.5424069291830514,3,0,212,162,7,0,1
7,0.6896028368794326,-2.5437763147913848,-4.976974741031481,0.04286182840991236,2,1,184,13,20,7,1
21,0.682822695035461,-2.68067632885141,-4.158021112100365,0.48917527262260907,3,1,181,97,3,10,1
35,0.676241134751773,-0.3,-5.0,0.7,2,1,240,36,0,179,1
41,0.6759574468085107,-3.0009206225767353,-4.543994371422645,0.4035916725503113,2,2,72,256,220,23,0
12,0.6753900709219858,-0.7474799912897501,-4.566730157374635,0.25072238398893076,2,2,117,217,143,127,1
50,0.6753617021276596,-1.725660026604407,-2.267068217045631,0.4678611829509291,3,1,200,214,92,0,1
22,0.674595744680851,-2.5547198088132124,-3.786755854877188,0.09812118883212294,2,0,113,8,0,96,0
15,0.6741418439716312,-0.3,-5.0,0.09244427091257999,2,1,132,142,256,247,0
32,0.674,-2.0112830432329543,-5.0,0.10198983492492282,2,3,130,130,0,148,0
8,0.6722978723404254,-0.5857681658412499,-5.0,0.42397520854757853,3,3,256,177,0,0,1
14,0.6709078014184396,-0.4548891792167784,-3.9442885901378766,0.5461451027004853,4,1,121,137,0,230,0
18,0.6693475177304964,-4.0,-3.6897726090280027,0.5597511425172405,3,2,69,154,0,110,1
1,0.6608085106382979,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.6597021276595745,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.6563262411347517,-2.2267057822184277,-5.0,0.6793517254176844,3,2,8,70,131,117,0
4,0.6519858156028369,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.651645390070922,-0.3,-4.96993985568902,0.22859934143164015,2,3,82,75,0,256,0
29,0.6471063829787235,-0.3,-5.0,0.11073047426638559,2,3,117,0,105,66,1
2,0.6443262411347518,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
24,0.641631205673759,-1.8117265690155646,-5.0,0.030466737274694598,2,0,103,256,0,147,1
16,0.640241134751773,-2.3028950438245346,-3.158358806784465,0.5681299725082599,4,2,251,98,0,105,1
46,0.6394893617021277,-1.9338299840840594,-1.3080735739374094,0.6640129333830842,2,2,96,111,44,104,1
30,0.6394468085106384,-1.0695470953779602,-4.320606422370594,0.56295815235604,3,3,160,0,192,62,1
28,0.6393333333333333,-2.4326321747157404,-5.0,0.28828680565255976,2,0,174,256,91,82,1
36,0.634595744680851,-3.661998255016123,-5.0,0.1928138786965225,2,1,214,127,139,184,0
5,0.6343120567375886,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.6306950354609929,-0.3,-5.0,0.004171364952491706,3,2,193,157,256,222,1
43,0.6303404255319149,-1.3179940384797733,-3.788070483877888,0.10124105492357516,3,2,69,146,0,135,1
42,0.6197021276595746,-3.2138905975880987,-3.2225788985806547,0.3477245615265631,0,3,79,183,142,77,0
25,0.6071347517730497,-1.373793198893559,-4.112628656999846,0.27791704720956734,2,3,42,188,225,63,1
48,0.5970070921985815,-4.0,-2.1014607628662088,0.4884805886565448,1,1,197,0,72,217,0
20,0.5814326241134752,-4.0,-2.9632030641724603,0.5483374020228663,0,1,110,237,256,246,1
31,0.5811205673758866,-1.9634729941620774,-2.375778214181859,0.7,2,1,216,20,0,136,0
13,0.5800425531914895,-1.5082750483604963,-5.0,0.01097222710007949,4,0,132,114,0,163,1
19,0.5687517730496454,-4.0,-5.0,0.28309885543174607,2,3,255,9,256,53,1
37,0.5597730496453901,-0.7147294735978744,-4.50552057547105,0.5486999767146185,1,2,187,228,102,240,0
17,0.5565815602836879,-4.0,-1.0,0.3964369665341351,0,3,233,58,256,9,0
44,0.5440141843971632,-0.6863090645828347,-3.7021549778489806,0.5562653421029475,2,2,235,37,11,68,1
10,0.5,-0.9224135606153845,-1.0,0.6842286605839201,3,2,8,244,127,4,0
45,0.5,-1.180451905336056,-5.0,0.7,4,0,234,170,58,176,0
11,0.5,-0.9729209910662484,-1.0,0.006441449006398092,1,0,8,23,39,256,1
23,0.5,-0.5448802480371371,-5.0,0.0033904710125657322,1,2,35,102,256,240,0
34,0.5,-0.3,-1.0,0.1804927598855531,4,3,230,24,256,128,0
47,0.5,-0.38865192040855856,-2.338566591460577,0.6559329490725477,3,2,237,230,170,256,0
38,0.5,-0.3,-4.616622516615658,0.4613454564586925,2,3,11,69,35,256,0
33,0.4785957446808511,-4.0,-1.0,0.0,3,1,248,134,0,179,0
9,0.45785815602836877,-3.0636641404590708,-4.9683819379636605,0.014537357351684457,1,1,249,103,115,159,0
