trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.8844855863243551,-4.0,-1.0,0.0,0,0,55,126,235,217,1
16,0.8843278874660946,-2.7630253415059247,-5.0,0.16052181222345724,4,1,241,0,57,84,1
18,0.8831293761433169,-2.5784167398192706,-4.095244125021676,0.026020836501072314,4,2,116,44,120,101,1
11,0.8818362455055826,-2.2247588357796424,-2.908115626103371,0.25924539674790614,3,0,161,50,90,34,0
43,0.8812054500725415,-3.4597499044876336,-4.3945463379637735,0.360051759434146,2,0,171,216,19,0,0
4,0.8808479993271514,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
3,0.8799859122353288,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
24,0.8770527134716879,-4.0,-5.0,0.0,4,2,198,0,27,185,1
9,0.8750341680859565,-3.102688190284773,-3.2749589662337555,0.2476468809718348,3,2,43,85,256,109,1
48,0.8740143821358733,-2.53859924430619,-2.8669479217464118,0.4602571838728682,1,3,75,72,180,62,0
36,0.8739513025925693,-4.0,-4.490113685858596,0.7,0,0,177,169,256,90,1
40,0.8733520469311802,-0.3,-3.1763605517521976,0.12599613055096112,3,1,254,182,69,252,1
22,0.8725530393826615,-1.6626443312972228,-3.348585892810469,0.0,4,0,247,0,253,256,1
5,0.8718276246346642,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.8708709182278854,-1.882640572627444,-2.1324011248097885,0.5939958356133774,3,3,245,87,109,60,0
27,0.8699457515927584,-1.9012839138319881,-3.368019635876668,0.44472792366350455,2,3,84,92,72,43,1
17,0.8697354864484115,-2.60307386424999,-2.883579149510926,0.31623042379403227,3,1,82,235,47,130,0
1,0.8692203368447613,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.8689575054143276,-1.4024644833844646,-5.0,0.18819561559996117,0,0,256,256,151,234,1
33,0.8676959145482452,-1.0037743404700272,-1.0,0.7,1,1,164,191,37,141,1
23,0.8656983956769486,-0.3,-5.0,0.0,2,3,36,256,117,94,1
37,0.864930927900082,-1.1728129702873646,-4.541450362085637,0.0,4,0,8,206,145,236,0
46,0.8646838663554743,-0.8747497525410521,-1.0,0.27582002158433444,1,1,194,114,196,256,1
42,0.8643106457242583,-0.3,-5.0,0.06613005004553338,4,2,8,33,14,0,1
15,0.8632382934880886,-2.7802763414182703,-5.0,0.5928360408904648,3,1,94,188,154,152,1
32,0.8627967366849596,-0.9201439544573078,-4.234544892966034,0.3935040916069419,0,2,256,0,69,176,1
47,0.8617664374776592,-2.0108033429861316,-1.0,0.42501729123575427,4,1,224,231,256,256,1
20,0.8603786875249689,-3.294115430210662,-1.0,0.5984567589351937,3,2,44,11,236,256,1
14,0.8598214848924493,-0.826994512435788,-2.7548523616324885,0.5682291339895308,0,2,224,21,0,111,1
8,0.8598109716352322,-0.8068142086457719,-2.395441949803665,0.4861305131697602,2,3,116,42,48,68,1
26,0.8592012027166256,-1.5754280940648306,-1.9062292445177875,0.4026634804732668,1,3,8,0,0,0,1
39,0.8585073277402804,-4.0,-5.0,0.5192759363714271,2,0,25,120,37,110,0
6,0.8583916819108897,-0.5592104767881048,-1.942684561331546,0.0,4,1,153,240,256,206,0
38,0.8579238419647175,-1.3459431676536804,-1.1468198294980136,0.5908509795386127,4,1,15,121,41,26,1
29,0.8577819129922832,-4.0,-3.073415842814873,0.0,0,1,103,54,255,168,0
44,0.8568146933282869,-3.0672230012426676,-1.0,0.20818843470228685,3,1,145,44,256,256,0
28,0.8542862549675139,-0.9268408580475263,-1.52663216769494,0.0,0,2,187,0,51,79,1
31,0.8539340608507329,-4.0,-2.44305789918792,0.189164459051176,2,3,62,108,38,201,1
2,0.8502439075674425,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
19,0.8498444037931833,-2.195816277002357,-5.0,0.4646045941738328,4,1,15,251,7,213,0
45,0.8487194852709266,-0.5108325661482742,-1.0,0.08812609010098928,4,0,58,2,0,0,1
34,0.8408240291006961,-3.0528674992674554,-2.48238206256474,0.7,1,1,153,193,0,14,1
10,0.8401511806387856,-2.2153831849801606,-1.425213503918331,0.05493364433423724,3,2,208,0,60,0,1
30,0.8334489791627242,-3.631526924697666,-2.568217191039998,0.0,4,2,126,43,149,148,1
12,0.8314777434344709,-3.051227625779977,-5.0,0.013388842703944033,4,1,150,38,126,51,0
49,0.824475914127715,-3.0930013645237358,-1.0,0.7,0,3,24,0,256,0,0
7,0.8166382808721797,-0.570270599699219,-1.0661106696589577,0.1441596632697592,2,0,202,11,203,227,0
25,0.5,-0.3,-5.0,0.5509066685664689,4,0,152,14,182,161,1
21,0.5,-0.562786666623246,-2.5258309818781237,0.6608508363076953,3,2,87,177,108,0,0
35,0.5,-1.3629276121650822,-4.388565475314261,0.7,0,2,197,106,256,9,0
