trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
8,0.6674315880198233,-3.836469806858329,-4.228154473739964,0.32207396321492576,0,2,218,74,125,0,0
1,0.6671083818142642,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.6654923507864684,-1.3518187006177529,-4.797131917444129,0.4594564320763943,0,2,68,71,123,173,1
3,0.6647597500538677,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.6645227321697911,-1.5454608778841954,-5.0,0.7,1,2,86,109,102,102,1
34,0.6635746606334841,-2.40480230504465,-2.97706950322889,0.13514841757804466,0,1,85,87,33,143,1
50,0.6634669252316311,-0.9663682945473502,-2.865540928084464,0.5252904735519596,0,1,72,234,45,101,1
38,0.6616569704804999,-2.0497586231944607,-5.0,0.42639928801006427,1,2,152,121,112,232,1
46,0.6596530920060332,-0.3,-5.0,0.5329685970667288,0,1,211,112,127,0,1
41,0.6588558500323207,-3.380996426522039,-5.0,0.7,1,2,117,234,101,128,1
23,0.6576492135315665,-3.964551416130856,-4.293052872904856,0.13754449052218737,2,2,162,27,129,38,0
49,0.6574121956474898,-2.222384270161986,-4.314620175930811,0.5040367227713336,0,2,74,1,147,178,0
12,0.6567226890756304,-2.78256143759354,-4.286953859208015,0.4519862947335001,3,3,137,0,162,0,0
21,0.6555806938159879,-1.2597889369263688,-4.875843958011341,0.7,1,0,232,122,74,150,1
32,0.6546110751993105,-1.2273748014149963,-4.1038897208872855,0.48984686225686325,0,1,256,115,97,77,1
43,0.6544817927170867,-1.6209652507209933,-4.305736761654408,0.656419742333847,3,2,186,147,91,256,1
39,0.6544386985563457,-0.9247908150093687,-4.931782022909984,0.5899138238914087,2,1,77,192,58,127,1
28,0.6484701572936867,-0.6081464589704999,-5.0,0.36097231012019265,1,2,16,101,50,60,1
20,0.6478021978021977,-2.997651938581428,-5.0,0.7,0,0,256,57,188,0,1
15,0.6452380952380952,-2.068231082119551,-4.843525646468589,0.36304050025757545,3,3,212,0,78,256,0
17,0.644979530273648,-0.5380751798311949,-4.272792142842775,0.08080516068991357,1,3,150,67,41,256,1
31,0.6447856065503124,-1.9470510132339522,-3.7409873052878746,0.18040593867750856,1,1,195,47,242,0,0
19,0.644311570782159,-2.015971984132994,-4.481556626330634,0.0669376375641724,1,1,81,84,73,83,1
27,0.6376966171083819,-1.9278381814471617,-1.144960104507526,0.06222651116723335,2,1,81,115,46,204,1
9,0.6351325145442792,-1.5409060642002106,-5.0,0.36513466997554284,3,2,127,0,53,0,1
36,0.6312540400775695,-1.1684921536624424,-2.3679035159817308,0.16813122985560242,0,1,8,77,16,225,1
4,0.6294871794871795,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
18,0.6273971126912303,-3.036770975892871,-4.765437981502629,0.28177286639184357,3,3,248,150,26,256,1
48,0.6233893557422969,-3.191970759531555,-4.988103455494499,0.13597172521527837,0,1,219,90,256,197,1
13,0.6193708252531781,-0.4603429745537717,-4.752208475530791,0.40738361549002117,3,0,117,0,157,47,1
29,0.6040185304891187,-3.727334996700233,-3.1428295429934137,0.7,0,0,223,83,137,0,1
2,0.6012820512820513,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
24,0.6003986209868563,-1.3773914381058687,-4.292823440658276,0.07172328075386952,4,0,164,218,13,12,1
11,0.5999676793794442,-3.6855762488093684,-5.0,0.5332516345256221,2,0,18,93,218,21,1
40,0.5979422538246068,-2.0447657216784805,-4.748809520989704,0.7,1,1,58,107,35,77,1
47,0.5971342383107089,-0.848742098576265,-4.248904356571195,0.6890898487731107,0,1,8,244,139,57,1
44,0.5898405516052574,-3.6455132707697167,-3.048650937920678,0.3494348910938682,1,3,18,32,2,52,1
33,0.5861775479422539,-1.8003211027387338,-3.0778551508203833,0.0,4,1,256,88,92,169,1
16,0.5844322344322345,-3.4612481199384595,-4.229747519837922,0.5711364333282104,4,3,192,256,202,124,0
10,0.5834841628959276,-3.2642457113327357,-4.083618299818609,0.4886733595647173,1,3,148,87,120,256,0
30,0.5820943762120232,-0.3,-3.6510093784643836,0.0,1,2,119,78,126,27,1
5,0.5792609351432881,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
35,0.5773432449903038,-2.8887195740378937,-3.8288203315510803,0.22186011663208693,4,1,108,24,122,0,0
37,0.5744774833010127,-2.907446886819117,-3.8492981020962684,0.4237375456702135,0,1,202,61,174,125,1
26,0.5742620124973066,-2.5582778581476164,-4.886570941888392,0.5154348483375727,4,1,172,155,201,80,1
25,0.5720642102995044,-2.5399938506974427,-5.0,0.4797873892024069,0,1,144,21,56,117,0
7,0.5718271924154277,-0.7763704911125742,-1.6486073815014781,0.4208503782069863,4,0,198,147,144,169,1
6,0.5462077138547727,-4.0,-5.0,0.7,0,3,8,256,0,0,1
22,0.5,-0.3,-4.386512089954872,0.7,2,2,8,159,227,137,1
42,0.5,-1.0308710842912134,-4.9790010987919455,0.3262292903283517,1,2,187,31,140,0,0
