trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.6720992907801417,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
32,0.666822695035461,-1.2760996963901468,-4.329937621823334,0.5536199627078899,0,3,199,1,103,42,1
11,0.663645390070922,-1.0313208958586992,-3.0363037479125596,0.7,0,3,213,224,256,173,1
34,0.6629929078014184,-1.2321978814240206,-3.602756993851022,0.6800249884716661,0,3,181,109,256,213,1
6,0.660468085106383,-1.0743992561393783,-4.999962816097661,0.3974690130954402,2,3,184,79,150,176,1
48,0.6586808510638298,-2.6897554165077135,-4.618617982770368,0.7,2,0,22,68,256,256,1
37,0.6534326241134751,-3.2761004415178765,-4.676996739274084,0.46860168375818395,0,0,69,256,66,53,1
38,0.653177304964539,-3.039582312353293,-5.0,0.35043418309605084,0,0,251,124,174,164,1
1,0.6528936170212767,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.6507375886524822,-1.3549541171674617,-3.295211545164408,0.30288580641676077,0,1,102,134,0,218,1
16,0.6496028368794327,-2.1630784027704495,-4.079872643516021,0.5336398446790745,0,3,98,116,256,205,1
10,0.6489645390070923,-0.3,-5.0,0.3201591031195819,4,3,8,0,256,0,1
36,0.6486382978723404,-3.248709545369336,-3.1558394216120265,0.37621428077294544,0,0,157,0,149,217,1
35,0.647985815602837,-2.5676104684099625,-5.0,0.55250708993692,3,0,52,21,174,203,1
26,0.644127659574468,-2.235434733124232,-3.8652543799164576,0.11705675018242098,4,2,212,256,256,118,0
15,0.6399574468085106,-2.6135408071303594,-4.383768553054275,0.1580763871641308,4,0,79,115,256,32,0
30,0.6390496453900709,-2.7645142070793742,-3.9036316868123846,0.7,4,0,76,0,256,115,1
43,0.638822695035461,-2.6383999410056096,-2.8708991711126037,0.6922150305510798,0,0,116,256,256,210,1
20,0.6385957446808511,-2.351383255481542,-2.5653430040878593,0.7,1,0,124,0,21,95,1
8,0.6364113475177304,-3.567334517502351,-1.0,0.4350209343133525,1,3,44,193,120,5,0
49,0.6347375886524823,-2.130924534733335,-4.092561840600019,0.4315291497441319,0,1,70,217,0,92,1
27,0.6329219858156029,-4.0,-1.2840012783474921,0.002928524140848903,1,2,190,256,112,193,0
25,0.6323829787234042,-3.987373071301667,-3.0789034815774374,0.1701125681283518,1,2,64,32,227,63,0
40,0.6315035460992908,-3.338286318781061,-5.0,0.11015908315200816,4,0,245,137,69,139,1
13,0.6311347517730496,-0.3,-5.0,0.7,0,3,256,0,256,256,1
44,0.6305673758865248,-2.1040358566991495,-5.0,0.19074578714768084,4,0,16,209,184,253,0
31,0.6291489361702127,-3.2797896064165215,-3.1030126663994437,0.0,3,0,176,0,256,161,0
14,0.6288936170212767,-2.72085901320937,-1.3819925300667375,0.10173359648754926,4,3,175,115,0,138,1
4,0.6270780141843972,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
19,0.625886524822695,-1.299987156161627,-1.6345852134110226,0.0,4,3,235,256,159,126,1
28,0.6242127659574468,-0.8945347067180776,-1.799072709298267,0.4593667095804574,0,0,122,122,162,253,1
29,0.622,-2.1329721325227586,-4.6665070611855635,0.46419573632655203,3,2,168,229,182,80,1
33,0.6219716312056738,-1.5499706614940005,-3.9468366121263867,0.7,4,3,172,26,209,247,1
39,0.6197021276595744,-2.839310323097946,-1.0,0.003460003230570144,0,3,72,0,159,239,0
5,0.6187943262411347,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.6186241134751773,-2.4620227164316164,-4.23285501335177,0.6485114680691262,0,1,114,256,256,59,1
9,0.6160425531914894,-4.0,-5.0,0.0,1,0,256,178,0,256,1
50,0.6131914893617021,-1.9337658815924454,-1.443880149067546,0.6138557507284479,2,1,117,178,256,256,1
41,0.6116737588652482,-2.4976575828674408,-5.0,0.6301875550735551,0,3,26,86,158,38,1
45,0.6115602836879432,-2.358895303363431,-3.1338671036788144,0.0,0,0,24,57,45,234,1
23,0.611290780141844,-2.1743021105205056,-1.413113203552177,0.12024308439968459,0,2,212,0,0,103,0
2,0.6102269503546099,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.6080425531914894,-0.861929132926762,-1.0,0.43615124059990457,0,3,76,172,231,37,1
24,0.6079716312056738,-3.0237734559504834,-2.2586973039300093,0.6385963966855811,3,1,212,256,111,132,0
22,0.6057446808510639,-0.7526938009880282,-4.27877193172095,0.0,3,2,21,0,256,54,1
12,0.5963546099290781,-4.0,-1.2921876801841865,0.4410342500060557,1,1,256,85,214,200,1
46,0.5896312056737588,-4.0,-1.1587943850899616,0.7,4,0,188,256,128,256,0
18,0.5,-1.351576171408205,-2.394589801914039,0.43677661728365147,3,2,8,171,254,151,0
7,0.5,-0.787674151496498,-5.0,0.33555340799191585,1,0,224,16,0,239,0
17,0.5,-0.3,-5.0,0.7,4,0,8,256,245,0,1
