trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.9394541516852751,-2.1272755187547308,-1.1192118410515812,0.7,0,0,47,256,254,38,1
46,0.9367101915515466,-2.387889295137442,-1.0,0.7,4,1,256,256,215,202,1
42,0.9347862654807713,-1.3884409650336766,-5.0,0.7,0,1,256,152,0,0,1
33,0.9344077882209465,-3.108920737031051,-2.193779995939397,0.08987154698495424,0,3,251,200,0,252,0
23,0.9343026556487731,-3.201828542912796,-2.5346860163683353,0.0,0,2,256,225,0,256,0
32,0.9335667276435585,-2.2626884582839275,-1.0,0.6985823021121579,4,0,194,0,0,256,1
26,0.9333880022708636,-2.3504122563958427,-5.0,0.0,0,3,256,0,0,256,0
45,0.9332933829559074,-3.296083405265093,-4.7453408131697925,0.7,3,3,135,80,215,0,1
37,0.9329884984966043,-2.612775222003192,-1.0,0.7,4,0,8,201,53,256,1
5,0.9328097731239093,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
35,0.9327887466094745,-2.8919162879695484,-3.395030491841479,0.7,4,1,256,256,256,0,1
28,0.9326100212367797,-1.9906181054980312,-1.6400351357445344,0.7,0,2,226,203,45,74,1
39,0.932473348892954,-2.3123277283998975,-4.121117247596967,0.0,0,3,256,0,0,102,0
30,0.9320107655753905,-3.5288083340733083,-3.6303226484082938,0.20809355377757963,0,3,256,223,0,256,0
41,0.9317899871738262,-0.5503239776393798,-5.0,0.6897887410295874,2,3,173,180,86,160,1
3,0.9317269076305222,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.9314745894573057,-0.3,-5.0,0.0,4,3,256,0,256,256,1
15,0.931453562942871,-1.1921742813738678,-3.751559029845086,0.6199645991639047,0,0,39,115,30,54,1
48,0.9313168905990453,-2.3475256476746327,-2.2755276931772195,0.0,1,2,115,251,55,87,0
19,0.931211758026872,-0.6824251283777545,-5.0,0.38625644721112823,2,3,256,0,237,256,1
44,0.9303706974494838,-2.4411277533440376,-2.9892840162591936,0.0,0,3,210,32,0,12,0
1,0.9298240080741816,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.9296032296726172,-3.7630443955493886,-5.0,0.7,0,0,8,256,201,0,1
31,0.929329884984966,-3.5129359554481625,-4.3971591181427385,0.13278318929830238,4,1,256,18,256,0,1
9,0.9289514077251415,-0.3,-1.0,0.0,4,0,256,0,256,256,1
4,0.9279631615467103,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.927532118000799,-2.444549901609512,-2.366262333162638,0.0,0,0,256,64,0,256,0
18,0.927111587712105,-3.213078049097103,-5.0,0.29543468203364814,0,0,8,256,256,256,1
29,0.9270905611976703,-1.891469844223428,-5.0,0.0,0,2,256,0,0,256,0
49,0.9269433755966274,-3.0766396395249562,-3.3592257833416896,0.7,2,1,169,81,250,0,1
24,0.9267961899955846,-1.914723475291673,-1.0,0.6492843796824884,0,0,256,163,0,0,0
11,0.9264492525074118,-0.5891921040609476,-2.8508374041381503,0.0,3,0,192,253,37,0,1
38,0.9255976786728064,-2.9251366501151916,-1.0,0.0,0,3,256,0,0,48,0
22,0.9255135726150676,-1.9214383439337408,-5.0,0.04774947878796332,1,3,20,256,110,0,1
2,0.923337328371076,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
34,0.920887739439433,-2.297069238065708,-5.0,0.0,0,3,243,0,0,124,1
21,0.9192476713135264,-2.0496648155056847,-3.6892056662176627,0.027014275113662847,4,3,55,256,210,256,0
40,0.9155470047730188,-3.232019241749298,-1.0621084175619573,0.0,2,3,256,59,203,152,0
50,0.9074728232300933,-3.3334409662369753,-2.2785531754047352,0.7,2,3,12,223,44,0,0
47,0.9056960827603608,-1.4535890498630049,-1.1757934288305378,0.7,3,2,110,127,92,256,0
13,0.8930906873567568,-4.0,-2.3058878520200685,0.6540710319733913,4,3,8,0,256,256,1
7,0.8928068294118884,-4.0,-1.0,0.5384873261986621,4,3,256,92,0,239,0
25,0.8920078218633698,-2.789442976512496,-4.975056018758547,0.6841714376872252,2,1,85,37,71,256,0
14,0.8862150171366093,-0.3,-1.0,0.0,0,0,256,256,0,0,1
10,0.877000147185601,-4.0,-1.97111228564797,0.7,4,3,8,33,256,0,0
43,0.8632120103450451,-2.802647120840742,-3.9064960118625054,0.0014261816782633085,4,0,8,150,170,51,1
6,0.5039267015706806,-0.3018635034507291,-4.448107467437226,0.005049839196190477,1,0,22,122,247,115,0
16,0.5,-0.4374197902425596,-1.5573183313595798,0.6927570500197693,3,2,49,204,0,89,0
20,0.5,-0.3,-2.370082691376213,0.103921190157983,4,2,256,256,95,0,0
36,0.5,-1.5155754029889406,-1.0,0.7,0,2,256,0,256,256,1
