trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.8830546450354757,-2.600163610974856,-3.2618333816857406,0.2833693169747131,4,2,133,114,75,183,0
48,0.882459925590916,-3.054031615980504,-3.8687647824495235,0.03452921461594852,4,2,99,256,0,215,1
7,0.8811460105389817,-1.90015218638194,-5.0,0.35150587045827586,4,0,31,207,244,69,0
33,0.878144751946669,-0.3,-3.3644873506430573,0.019079302019016135,2,1,256,256,0,185,1
37,0.8763605936129898,-2.4791791276899797,-4.410194398374276,0.1886306902270759,2,2,256,256,256,122,1
42,0.8758073662227016,-1.8464885232907027,-2.9419302405580754,0.055429072443882406,4,3,77,256,28,31,1
49,0.8744519591164959,-1.6886303271399017,-5.0,0.4269945227063124,0,0,83,196,199,104,0
17,0.8718102983278703,-1.643940507606115,-2.159810116508895,0.14780414139293185,2,3,121,155,19,172,1
16,0.8714507005241829,-2.453040145763058,-1.4871816668684907,0.09925897857745478,2,3,21,256,78,234,1
31,0.8688228704203146,-0.3,-5.0,0.1926261044445897,1,1,8,256,0,30,1
47,0.8676749235854668,-2.211168082725318,-3.0503843701078113,0.46374353688414816,1,2,180,256,0,256,0
26,0.867149357564693,-1.5072063725379343,-5.0,0.1465925829686189,4,3,25,0,160,119,0
6,0.8639821307552937,-1.2462910640832234,-5.0,0.32423440342568854,1,0,19,0,140,104,0
8,0.863767755141557,-0.797634776730038,-4.981797086655107,0.015791434411705996,4,3,36,28,248,86,0
3,0.862018173519771,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.861672406400841,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.8607595812068656,-0.3,-2.573249786682539,0.0,4,1,8,256,0,0,1
35,0.8607042584678367,-3.467825579399439,-2.9849763671470653,0.23508098129250848,4,3,176,201,213,219,1
39,0.8599159094366763,-1.2507625656564967,-5.0,0.7,4,0,256,84,256,256,1
20,0.8566933598882481,-2.630377690178216,-2.0800697920948723,0.6224074345623493,1,3,110,123,174,233,1
1,0.856001825650388,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
12,0.85579436537903,-1.6528859896692314,-2.9531901421816356,0.5217960229322237,3,2,143,0,220,43,1
45,0.8554900903143716,-1.9643207262253886,-4.743857736350693,0.5537756147674596,0,1,254,256,2,0,1
28,0.8533463341770051,-0.6642190543908626,-4.486798858069745,0.6349908657024673,1,3,256,52,222,233,1
18,0.8520047577555564,-1.6420663497214742,-1.8498975622026634,0.13966619941210043,3,0,197,229,256,19,0
21,0.8506216892798362,-3.9357862020927867,-1.0631121690712737,0.001617744303837993,0,3,183,80,256,249,1
15,0.8505663665408074,-1.891846928064616,-3.714096974864866,0.6240268186107408,0,1,233,256,110,221,1
43,0.8487268854680995,-2.107258354108076,-2.0183268270609815,0.5407840574525339,4,0,97,0,0,0,0
13,0.8486715627290707,-3.692291265557755,-4.522683626356139,0.6390394602093313,3,0,90,256,61,97,1
41,0.8480491819149966,-2.821555641038487,-5.0,0.5535293546009388,4,3,118,0,256,118,0
44,0.8473576476771365,-4.0,-1.94983571323344,0.16589075140178158,4,3,256,256,0,150,1
19,0.847136356721021,-3.898908879650723,-2.6082208076434,0.15376196002219245,1,0,16,20,46,222,0
5,0.8470948646667498,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8434020718365767,-2.553625953361427,-2.533341310282228,0.20157689425542738,4,1,193,0,256,36,0
50,0.8425722307511446,-2.250811754271375,-1.6311451434390491,0.0,0,3,134,256,0,145,0
14,0.840829564471737,-0.41149081924122566,-1.0,0.662031959439166,4,1,218,0,143,229,1
24,0.8398475858539756,-3.0828632022679843,-1.0,0.0,0,0,8,0,256,0,0
25,0.8389347606600003,-4.0,-1.7665638662291125,0.017409567953707076,0,0,8,17,216,106,0
30,0.8386858083343706,-0.3,-1.775672636770715,0.2229132758559439,0,3,8,0,256,163,1
36,0.8371091102720496,-0.3,-4.5131496266870545,0.09122124132003714,1,2,113,256,204,51,1
29,0.8340041215440576,-4.0,-5.0,0.34064249126001156,4,0,8,256,256,0,0
2,0.8297235246117036,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.8106371796467643,-4.0,-1.0,0.005759862362960827,1,0,256,256,256,139,0
10,0.7970761932423274,-4.0,-2.423355477980458,0.5768118542073695,0,1,226,177,208,256,0
32,0.7868345711796191,-4.0,-3.4018816169869037,0.4878743481119514,2,1,8,0,0,58,1
34,0.7279711768529659,-4.0,-5.0,0.4575306467523134,0,1,8,0,0,118,1
9,0.710406207211319,-1.2682834128289424,-1.0090697471250025,0.1533850551769271,4,0,96,92,64,17,0
11,0.709382736539286,-4.0,-3.6626439776295268,0.3913576988887166,4,1,13,256,71,131,0
22,0.6920252271689971,-0.30054422144453374,-4.53349217206646,0.2973254737812985,1,3,127,166,252,240,0
23,0.5,-0.3447327059619374,-3.213486914811459,0.14730164291139788,0,0,183,124,112,127,0
