trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.6919290780141844,-1.4306909817968299,-4.002088219198057,0.5193569366966704,2,1,100,191,144,29,0
25,0.6900567375886525,-1.1265332636093683,-1.2884131937943262,0.5080486121839045,3,1,94,237,159,5,1
26,0.6894609929078014,-1.1391348140443207,-3.7875617653500426,0.539948302863473,1,3,107,0,152,247,0
30,0.6853475177304965,-1.305304811965649,-3.0059592633312944,0.5532560222552616,2,3,64,0,176,227,0
22,0.6846099290780141,-1.0977521092996807,-3.675111305215616,0.6008423228299832,0,3,199,144,0,0,0
47,0.6783971631205674,-2.5297789892855818,-3.486772578485483,0.6320016681354977,1,2,31,13,156,170,0
39,0.6781418439716312,-1.2213438895020126,-3.217600159089609,0.3400726919274326,3,3,236,227,57,160,0
27,0.6775460992907801,-1.1129421413293041,-3.83360116069975,0.34195915828804596,1,1,256,77,61,137,0
43,0.6770921985815603,-1.4961791151076427,-3.8163305305376483,0.27538176771007367,0,3,226,12,12,256,0
31,0.6767234042553193,-1.2096096900579738,-4.44018794353899,0.5303368862237345,3,1,53,256,89,0,1
36,0.6766382978723403,-1.0029184777845859,-3.8044041939423465,0.7,0,3,214,178,67,220,0
20,0.6753617021276594,-3.1541417837005494,-4.0581493570870935,0.6450657195404313,3,3,235,149,87,0,1
48,0.6727659574468086,-0.9483552972967959,-1.4563468618529223,0.5332625670252945,2,1,96,117,141,38,1
18,0.6661560283687943,-0.8580821808059889,-4.945458963975019,0.1218078303671337,3,0,33,223,82,0,1
37,0.6653758865248228,-1.7593517907414622,-3.6271971438113337,0.578095999584843,3,3,146,116,186,252,0
1,0.6642553191489362,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.657063829787234,-1.2103443533634457,-1.835697298700547,0.48924014876128064,2,1,156,246,104,0,1
41,0.6564964539007091,-1.2793071404649288,-2.3197027299333,0.582180561054007,4,1,117,201,190,158,0
35,0.6545106382978723,-1.4835453627452635,-1.8414021197349375,0.7,0,3,172,4,16,256,0
6,0.652241134751773,-0.3,-2.2645354105652156,0.696285654483841,1,3,154,58,60,199,0
3,0.6497730496453902,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
40,0.6432198581560284,-1.1144469743640038,-4.4668483625370135,0.32471893723191314,4,3,107,17,256,31,1
42,0.6418297872340426,-1.4423405198381336,-2.139256524806493,0.7,4,3,48,120,210,12,0
2,0.6387943262411347,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.636354609929078,-1.0711282940238274,-2.705384452173781,0.10929364041644295,4,1,119,59,117,13,1
17,0.6362127659574467,-2.596591317896096,-1.43776337815738,0.6981044490006365,0,3,146,146,25,256,0
19,0.6343120567375887,-1.7099799921588263,-2.4990514802769423,0.16952753672740734,1,3,146,169,256,0,1
21,0.6319432624113475,-0.7607398981999469,-1.3849210462293113,0.2512032162660485,3,3,181,0,50,256,0
5,0.6172056737588651,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.6150780141843972,-0.5557921832261385,-4.088028346817167,0.4927123134147557,2,2,13,202,30,17,1
4,0.6134326241134752,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.6116737588652482,-0.8982038327625128,-1.8402092277891318,0.7,1,1,37,156,65,174,0
45,0.6019716312056738,-3.277113407228013,-1.210652651159359,0.3117349280691368,1,3,117,114,186,41,1
23,0.599290780141844,-3.978384127667932,-5.0,0.49706811272694645,0,3,36,254,30,0,0
34,0.5943404255319149,-3.9681256395369404,-4.395446485062089,0.190594778942342,1,3,36,73,154,239,0
8,0.589404255319149,-3.422034314230377,-3.965137981742735,0.4113646301063092,0,0,8,45,215,5,0
11,0.5727801418439716,-3.821531442776236,-1.002997460569523,0.06034177906608406,2,0,230,83,73,57,0
15,0.5632198581560284,-3.4792979506113086,-3.1977388644545437,0.6067165367603164,0,0,250,44,91,235,1
16,0.5573617021276596,-3.9635853768472504,-2.037205790879217,0.4313727500490413,1,1,196,35,32,222,1
32,0.5527517730496454,-0.31586040283829453,-3.0439415163166306,0.590602150901074,2,1,81,256,16,17,1
44,0.5471347517730497,-3.164609381922852,-1.4686837630484306,0.7,0,3,89,119,101,0,0
29,0.5366666666666666,-1.1560135012981618,-4.207027580351795,0.4036863770802315,3,2,256,51,159,115,0
9,0.5296028368794325,-1.3675528120983618,-5.0,0.621672210391522,4,0,8,100,256,147,0
7,0.504368794326241,-0.3,-4.466896168170872,0.4338235458198535,4,2,221,89,174,227,1
46,0.5010354609929079,-1.343102606460521,-1.0,0.37010221764935103,2,3,117,114,126,230,0
10,0.5,-0.4392948094715492,-1.7714585680946344,0.7,2,1,94,143,136,207,0
28,0.5,-0.9791461594944697,-1.9927582246595108,0.1887708488294722,2,2,187,18,75,206,0
24,0.5,-0.3,-2.4656126835879473,0.36055808900076836,1,3,193,11,0,124,0
38,0.5,-0.3,-1.3951833920142893,0.48806136417414425,1,1,23,134,152,121,0
49,0.5,-1.0412754840126723,-3.5478114637502074,0.6108249855418333,1,2,122,84,224,218,0
