trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.886493618452869,-4.0,-5.0,0.0,0,0,237,256,0,224,0
16,0.8854212662166993,-4.0,-1.285115531459608,0.218209946355667,4,2,256,72,214,6,1
10,0.8847484177547887,-1.852113102485649,-1.1831899753847992,0.19935438875132286,3,1,164,232,86,5,1
26,0.8838337643768793,-4.0,-1.0,0.7,4,0,256,256,0,256,1
31,0.8828560314556656,-2.7288342703268382,-2.5371432879205975,0.0,0,0,194,210,169,256,0
36,0.881909838306104,-2.862778222253609,-2.0934102675049657,0.7,4,0,256,256,0,129,0
15,0.8814682815029753,-2.779718742550485,-1.0,0.16264300455287609,4,1,162,116,81,238,1
14,0.8796705145188082,-2.0564741097679593,-1.0,0.7,4,0,173,77,229,41,1
42,0.8795128156605481,-3.6504325389532593,-1.512954502541453,0.0,0,0,122,1,256,209,0
47,0.8794392228600266,-2.1924711487001662,-1.5377841080006558,0.0,0,0,8,256,7,191,0
50,0.8792710107445488,-1.8452337206709082,-1.8994486645114366,0.7,0,0,112,256,256,0,0
37,0.8789556130280285,-4.0,-2.419895552119528,0.33764101418945247,0,0,91,256,256,256,0
32,0.878019933135684,-4.0,-1.7609289284501353,0.6773074123784211,4,0,197,256,0,0,0
30,0.8765060240963856,-2.6487569455917397,-4.516900229193215,0.6434619728953538,0,0,254,186,128,256,1
11,0.8764955108391683,-1.795609420988459,-1.736402173921709,0.19792340261228317,0,2,81,63,56,256,0
7,0.8763483252381253,-1.4746185858763114,-1.0,0.14612591112939502,4,1,9,253,100,15,1
48,0.8761380600937784,-2.610097172205433,-1.6396111004233518,0.7,4,0,256,256,256,256,1
18,0.8752549464875208,-0.3,-1.0,0.24000202941147267,3,1,244,179,66,71,1
1,0.8749185222565655,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.874182594251351,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
20,0.8737515507054395,-4.0,-4.280369497081137,0.3665790164551467,2,0,84,247,72,22,0
5,0.8736359048760487,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.8731312685296159,-1.8241222552557401,-1.0,0.2818070090842334,1,1,162,53,0,256,1
40,0.872868437099182,-0.3,-5.0,0.7,0,3,256,256,256,0,1
25,0.8728158708130954,-1.579095570528482,-1.3370899934278468,0.448551765077616,3,2,214,20,0,0,1
6,0.8723112344666624,-2.3361514195390543,-4.834556552442213,0.5120483862949152,1,0,8,256,249,38,1
41,0.8715122269181437,-0.3,-2.3538595334724426,0.7,4,3,256,65,27,0,1
17,0.869693433419542,-4.0,-1.2669437398869379,0.39725409285722396,3,1,256,143,159,200,1
34,0.8694936815324124,-3.412378978000343,-1.0,0.2692306343828496,3,3,24,135,151,29,1
8,0.8694411152463256,-0.32944672424550614,-3.6428519849750796,0.514763344204888,4,3,189,256,220,84,1
12,0.8687998065560673,-1.0317603263827113,-5.0,0.27491894115476456,4,0,116,183,154,213,1
49,0.8686789040980676,-0.3,-4.49332063485655,0.7,3,3,256,0,256,74,1
29,0.86843184255346,-2.1247324240850682,-2.603487990913785,0.14682458939695758,4,3,19,201,125,252,1
2,0.8666025357976408,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
13,0.863049054858176,-1.0908365285912716,-3.8914100535660685,0.39656751333809365,0,0,249,28,30,14,1
43,0.8628913559999158,-0.3,-5.0,0.0,0,0,8,256,256,0,1
39,0.8616981013057465,-4.0,-1.0,0.0,0,1,8,256,256,256,0
22,0.8595428835761896,-0.3,-1.8369074724580754,0.4756829622848878,1,3,54,240,4,174,0
38,0.8527355495279547,-4.0,-3.4556787197844976,0.7,4,3,256,228,256,58,1
46,0.8506434113417018,-4.0,-5.0,0.7,4,3,8,0,256,197,0
4,0.8504751992262242,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
9,0.8484251140688408,-0.6972859451851199,-1.156825583826706,0.0,0,0,8,216,243,199,1
33,0.8467324796568472,-0.3,-1.0,0.0,4,0,256,256,0,0,1
27,0.8439464664942492,-4.0,-4.913570242003832,0.7,2,3,62,256,0,0,1
21,0.8422748585966905,-4.0,-2.9924536528651964,0.0,0,3,14,98,204,103,0
45,0.8393626863474841,-4.0,-3.195324512224428,0.7,4,0,8,256,0,136,0
44,0.8368289913581025,-2.9351517334323702,-2.076896904295114,0.0,0,1,209,72,256,256,0
19,0.8135316133644526,-0.3,-1.1148115883086485,0.7,3,1,255,3,143,185,0
28,0.5,-0.3,-5.0,0.7,0,0,256,256,0,256,0
23,0.5,-0.3,-3.803226383818667,0.29098356339881654,4,3,174,70,32,147,0
