trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
22,0.6765029088558501,-1.260979535701197,-4.1241975080379945,0.4668158231732531,0,1,28,61,75,99,1
47,0.671590174531351,-1.3227535778265302,-5.0,0.27859902776857,3,1,28,181,142,192,1
36,0.6690260719672484,-1.4905195680592827,-4.184491490557226,0.5303422233947324,1,1,68,212,189,1,1
40,0.6677763413057531,-1.236184589948346,-3.9907195298125817,0.40241760576160407,0,1,110,177,51,78,1
28,0.6625404007756949,-0.7544871700912661,-3.857110933466859,0.6276667385385358,3,1,80,110,91,13,1
46,0.661872441284206,-1.7214434225323156,-3.2102416017042916,0.2524627908830522,2,1,114,210,132,86,1
1,0.6599116569704805,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.657627666451196,-4.0,-5.0,0.32747344314084736,1,0,157,203,93,0,1
9,0.6558823529411766,-2.5067361013183946,-1.3603030939835077,0.22666894523983763,3,0,256,3,0,245,1
41,0.6553436759319111,-1.3440369270065124,-1.4741131104451815,0.4094606057082828,0,1,105,184,89,181,1
44,0.6542232277526395,-1.3064387247663012,-3.519894553170853,0.5915901930406693,3,2,92,233,232,85,1
43,0.6532320620555914,-1.5538890887702954,-4.0409071021792276,0.2625241452353905,0,1,90,96,170,82,1
30,0.6528226675285499,-0.8102862828064183,-3.64377121993154,0.4862071319943998,4,1,26,84,44,163,1
45,0.6478668390433097,-1.1988186197994115,-4.638804781413915,0.3026650354750159,0,1,82,215,6,65,1
37,0.6457336780866193,-1.2091013810677271,-4.175376440903242,0.22831830936220365,3,1,46,86,3,215,1
49,0.6444193061840121,-2.3142879420442832,-2.5070321701612004,0.6928836719734812,0,2,105,42,12,18,1
4,0.6428679163973281,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.6424154277095454,-4.0,-3.574002239281719,0.019760502657491096,2,2,20,0,50,192,1
48,0.6419629390217626,-1.2846262430029447,-5.0,0.3895704868737506,4,0,30,83,91,256,1
35,0.6402822667528549,-1.103348076886007,-4.053190185370545,0.4276642683047015,4,1,110,121,101,249,1
6,0.6368131868131868,-2.7658127619057824,-1.7234255031654961,0.10678942554203731,4,3,8,29,139,52,1
33,0.6343568196509373,-0.9535982765240401,-4.064074566301556,0.5382794609488484,0,1,93,87,28,12,1
39,0.6327838827838828,-1.2434679318806698,-4.0793887724638775,0.5263949977433638,3,1,14,193,89,111,1
27,0.6293040293040293,-0.45694895503275124,-4.147069709536935,0.7,0,1,64,111,173,9,1
16,0.6279357897004956,-0.3,-5.0,0.054544810399764485,1,0,219,119,0,256,1
50,0.6270092652445594,-1.211210467136651,-4.604930880634972,0.22417377376999753,0,3,27,51,97,27,1
25,0.6253501400560224,-0.8706433260460367,-3.8017625339881627,0.14129690727103938,0,1,8,112,252,66,1
12,0.6210084033613446,-0.3,-3.9123813059653094,0.32868148340234155,3,2,48,256,162,81,1
2,0.6204374057315234,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.6153630683042448,-0.6360656857630391,-3.99298607190351,0.19567285962006134,0,0,48,78,85,103,1
19,0.6133699633699634,-3.391820927706939,-4.322407316951817,0.02292313451934656,4,1,92,214,2,0,1
23,0.6123572505925448,-1.1099880054884803,-4.413454853078157,0.484922665267813,4,1,8,12,127,148,1
34,0.6094914889032537,-1.3520448097984827,-3.5929786003264135,0.5596078310884973,1,1,42,116,72,38,1
3,0.6064748976513682,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
10,0.6058284852402499,-4.0,-1.0,0.39796549011711685,0,3,256,256,0,0,1
24,0.5986317603964663,-1.4490262361690625,-4.687059029510965,0.5995936024082462,1,1,165,60,59,16,1
21,0.5985671191553543,-2.8108727222080594,-4.1169955486274565,0.23468566615049857,2,0,159,0,91,166,1
14,0.591413488472312,-0.3,-1.5318788478463152,0.3305590819543255,2,0,104,0,39,15,1
26,0.5897866839043309,-0.36416046227667254,-4.034830122186051,0.28601123661491357,0,0,8,177,60,19,1
8,0.5886770092652447,-4.0,-1.4793359916894615,0.19371724472045757,3,1,256,100,254,0,0
5,0.5830532212885154,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
38,0.5826438267614739,-1.283830445894126,-4.159703777352254,0.6687652830409195,1,1,149,67,101,223,1
20,0.581911226028873,-2.9299652817826063,-1.5182414763400902,0.13223480690111708,3,0,226,210,135,197,1
32,0.5725597931480284,-3.9719491357073675,-4.029962981888735,0.6673385666696496,0,1,45,76,87,167,1
17,0.5704050851109674,-4.0,-1.0,0.6542013537796896,2,1,225,138,101,256,1
11,0.5691122602887309,-0.3,-1.197120444634392,0.6174128124223465,0,2,176,256,0,7,1
29,0.5689614307261366,-3.9056640243030345,-4.015734734303585,0.6362175214469341,1,1,8,197,75,164,1
42,0.5526718379659556,-1.1224526426349115,-1.1781504823336753,0.46339178666174896,1,1,12,144,60,157,1
18,0.5220749838396896,-4.0,-4.850359876449969,0.5722040977967525,2,3,33,165,0,0,1
7,0.5,-0.3,-4.471732255340621,0.4609861646697711,1,2,59,114,202,242,0
