trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
10,0.6905673758865248,-1.268120939359041,-3.307379924629615,0.3171745873650588,4,1,50,52,68,157,1
41,0.6836312056737589,-0.4868624782940332,-2.3850864409556305,0.0,1,3,147,70,256,5,0
27,0.6785673758865247,-1.0239237813508364,-5.0,0.21362806868906606,4,0,183,28,66,146,1
19,0.6777163120567375,-3.6514938121537206,-5.0,0.10145810247304006,0,1,256,175,227,90,1
37,0.676581560283688,-1.1408738436800956,-5.0,0.2671107470129835,2,1,256,146,101,8,1
31,0.6765531914893618,-4.0,-1.0,0.2758436538376483,3,2,256,205,223,155,1
3,0.676241134751773,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.6729219858156028,-3.4002518598335603,-2.5966727751884795,0.0,0,2,256,108,256,149,0
12,0.6725248226950354,-3.165075422905617,-2.60317445482667,0.24402252716156406,3,1,256,185,256,206,1
26,0.6715602836879433,-2.6578368539405117,-2.6779382157908516,0.11722303624629668,0,2,83,145,256,33,0
49,0.6711063829787235,-4.0,-1.9714114805832401,0.306379830692671,4,0,256,217,188,220,1
29,0.6711063829787234,-3.076297073048292,-5.0,0.0981240152233668,1,3,256,122,235,230,0
38,0.6684113475177305,-0.3,-4.468143939490342,0.2993587670084101,4,1,255,45,0,95,1
1,0.6629929078014185,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.6621134751773049,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.6588510638297872,-0.966062514325154,-3.0029859146489493,0.12771622501219546,0,0,173,66,155,219,1
15,0.6587092198581561,-1.5327093707985324,-3.935321153541666,0.23649835064466365,4,0,54,94,59,0,1
43,0.6584255319148936,-4.0,-2.060179321291759,0.23027490536582396,1,2,209,84,68,133,0
48,0.6551063829787235,-0.8574507878190492,-3.779363238584998,0.31713005073753336,4,0,256,183,56,61,1
17,0.6542695035460994,-1.2187535979073747,-3.831643674854483,0.3525199933242239,4,3,112,29,97,193,0
30,0.653872340425532,-1.2233414142155103,-5.0,0.23361927138170882,4,0,8,41,71,196,1
16,0.6482695035460992,-2.472063468378879,-1.6057299909031446,0.4446591309395064,4,1,127,2,256,82,1
25,0.646950354609929,-1.3319853140733495,-2.716631073813527,0.317778130811499,4,0,99,43,15,254,1
40,0.6464539007092198,-2.486509156857947,-4.444401244154131,0.13109238105190982,2,1,156,6,0,160,1
22,0.6456595744680851,-1.553000500726574,-5.0,0.0703718863871224,1,0,8,11,108,256,1
36,0.6438723404255319,-4.0,-2.3649038095019455,0.0,0,2,256,159,256,3,1
6,0.6397588652482269,-0.3,-5.0,0.0,4,3,8,0,0,0,0
33,0.63822695035461,-0.7428939734051858,-3.097175829474608,0.0,0,0,205,184,72,209,1
46,0.6360425531914894,-2.232326412709167,-3.422224104728536,0.2648802632297101,2,1,256,15,256,156,1
28,0.630822695035461,-4.0,-5.0,0.10059371337410442,0,0,8,137,256,39,0
39,0.6300283687943262,-4.0,-3.815668303519486,0.7,3,0,256,242,256,20,1
18,0.6286382978723404,-3.3787037280240035,-1.0,0.7,4,3,246,0,256,1,1
47,0.626709219858156,-0.9142835515780225,-1.3791099768094446,0.0,1,0,233,1,256,82,0
32,0.6207659574468084,-0.3,-5.0,0.21583225446291335,1,2,105,256,116,33,1
14,0.6205248226950354,-1.5658689156787724,-2.7332607849004305,0.7,1,0,223,19,150,0,1
13,0.616468085106383,-3.0651084308421725,-3.7226310216621696,0.0,1,0,256,256,256,256,1
34,0.6139858156028369,-3.704711404983787,-3.3344221223853476,0.6189853804954328,3,3,24,256,256,219,1
35,0.6075602836879432,-0.3,-1.0,0.25262951951784424,3,1,166,177,256,43,1
24,0.6073617021276596,-0.3,-3.2553579831637443,0.0,4,3,8,12,126,256,1
2,0.5911347517730496,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.5907092198581559,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.5879574468085107,-3.849423330804334,-1.191784360844239,0.035513451897630575,2,2,240,216,256,7,0
20,0.5834751773049646,-2.852011857029825,-5.0,0.7,4,3,8,42,0,256,1
11,0.5738014184397163,-1.063406683749558,-1.0018619155830306,0.45358679831586524,4,2,120,80,26,42,1
45,0.5704964539007094,-3.131498436255465,-2.1769864923409465,0.0,0,3,117,15,256,89,0
8,0.5,-0.3,-1.0,0.45445889558141017,2,2,94,136,234,253,1
42,0.5,-0.3,-4.772134194512819,0.0,3,2,18,158,256,249,0
9,0.5,-0.3,-3.4142644712521184,0.7,0,0,8,256,256,89,0
21,0.3989645390070923,-4.0,-4.041758233041756,0.7,4,1,256,0,0,0,1
7,0.39099290780141843,-3.0889437037416694,-5.0,0.5558581132866174,3,1,87,162,116,222,0
