trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.9359216972602451,-2.4708266279837945,-5.0,0.6190879577675225,1,3,210,174,0,0,1
31,0.935064866797031,-3.1664628981725174,-1.9745446738614731,0.0,0,0,8,149,0,256,0
33,0.934775752223554,-2.587842271917269,-5.0,0.5772519799164907,2,3,256,158,122,0,1
9,0.9340608507327741,-0.3,-5.0,0.0,4,0,256,0,256,0,1
4,0.9328728526672133,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.9328307996383439,-3.503578277480503,-2.501890129832236,0.33874065410565773,2,2,8,256,256,256,0
3,0.932683614037301,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.9326731007800837,-2.4338456036757705,-1.8993117436564089,0.2839202315673503,3,2,234,80,166,159,1
5,0.9319897390609558,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.9318530667171303,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
6,0.93169536785887,-1.4290726846286272,-4.011010309345268,0.3504038195495502,3,3,50,15,256,241,1
28,0.9316007485439138,-2.660350902782807,-4.29998447369658,0.7,2,0,58,42,75,0,1
42,0.931485102714523,-4.0,-3.516459094145142,0.7,0,0,256,0,229,256,1
12,0.9308437940242646,-4.0,-1.0,0.0,4,3,256,0,256,256,1
47,0.9303181311633971,-4.0,-3.340750897697884,0.7,1,0,256,126,256,0,1
15,0.9299922201896591,-4.0,-5.0,0.7,0,0,88,256,256,0,1
10,0.929897600874703,-0.3,-5.0,0.33894521631683366,2,0,124,129,210,16,1
13,0.928551903950882,-0.3,-3.7866181623576987,0.7,4,3,217,0,256,0,0
40,0.928551903950882,-4.0,-3.6554539386719416,0.7,0,0,94,0,129,256,1
24,0.9278685422317542,-0.3,-1.4087338174292814,0.1994904395433508,4,3,233,184,35,0,0
43,0.927595197544103,-0.3904102858443017,-3.3107690166573347,0.0,4,3,256,152,97,256,1
29,0.9267856767383671,-0.7123601313591661,-2.44012029656266,0.0,3,3,256,191,256,256,1
46,0.9266490043945416,-0.3,-2.755669415489308,0.7,0,3,8,42,198,256,1
17,0.926123341533674,-0.3,-2.252923435035585,0.0,3,3,256,92,158,0,1
30,0.9252507411846339,-0.8732776261885205,-5.0,0.042976235464315324,4,3,8,0,256,0,0
34,0.9237473454025527,-0.3,-5.0,0.0,4,3,256,0,64,256,1
11,0.9235475935154229,-0.3,-5.0,0.03693055286002689,4,0,187,0,256,256,1
32,0.9232427090561197,-1.0662680034719267,-3.836972828975969,0.0,4,3,256,0,194,0,1
25,0.9225908871086439,-3.2845676418091876,-2.600223168323962,0.13775779787343495,0,0,185,165,46,206,1
35,0.9219916314472549,-0.3,-1.0,0.049213510137793945,1,3,256,117,166,256,1
37,0.9209403057255199,-4.0,-1.733921086130997,0.21205213366869274,0,0,8,0,31,256,0
14,0.9203936163502177,-4.0,-1.0,0.0,4,0,8,0,256,256,1
23,0.9203725898357829,-0.6401381703834952,-5.0,0.2638014698728121,2,3,256,0,0,0,1
49,0.919142538741353,-3.4773723990337104,-2.6383702268342266,0.25586126292399736,1,1,217,230,256,21,1
44,0.9185643095943985,-4.0,-5.0,0.0,1,0,256,256,95,0,1
20,0.9145377320801531,-2.548575588899671,-1.5256276928102896,0.09224298216418964,3,0,53,186,204,1,1
8,0.9136020521878088,-4.0,-1.0,0.0,0,0,256,256,0,256,0
2,0.9064004709939234,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.904918101726277,-1.6723613248664142,-3.6268301649216474,0.16643921483181193,2,0,256,231,0,256,1
38,0.900071490149078,-0.3,-1.0,0.27939227565490765,3,0,256,0,0,256,1
45,0.897769086818478,-4.0,-4.0627243993256785,0.6805521383328288,1,3,256,256,44,0,1
26,0.897169831157089,-3.768058355306516,-1.0,0.46976307997433286,3,0,231,41,256,256,0
22,0.8955507895456171,-0.3,-1.0,0.11798593133550503,4,2,256,0,56,0,0
41,0.8926806703252801,-4.0,-5.0,0.7,0,0,8,0,162,256,1
48,0.8870035114279107,-4.0,-4.178746116126144,0.7,0,3,256,32,229,0,1
39,0.8828402615698396,-0.3,-5.0,0.08597460539193877,4,1,158,184,256,22,1
18,0.8808427426985427,-0.8497950525718672,-1.5308757195566258,0.4358301729349312,3,2,45,249,90,145,1
19,0.7738756071406042,-0.9623406613663463,-4.106602726875102,0.6379517481127719,1,2,247,226,218,148,0
16,0.5,-1.3878593734665898,-3.137825345267227,0.03987223561906568,0,2,169,207,135,36,0
7,0.5,-0.3,-3.9089630433460703,0.5350117118667342,4,2,13,31,77,96,0
