trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.8911036817426775,-0.3,-3.903958924813778,0.7,0,3,256,0,0,21,1
40,0.8903046741941588,-0.7681727732631125,-1.9856986613468153,0.0,1,0,219,49,0,57,0
11,0.8898420908765954,-1.0473250899710513,-4.579635538861885,0.5711622807498735,0,2,142,66,50,0,1
48,0.8873714754305179,-1.4572037193116456,-1.0,0.7,2,3,133,256,0,183,1
12,0.8862570701654787,-0.6295650669004758,-1.7972905796194243,0.5114879759086663,1,1,133,18,8,0,0
10,0.8856473012468722,-0.7066483409886062,-2.388955569239321,0.06838262669826946,3,0,83,94,154,0,1
20,0.8835761895750542,-0.5481168831169709,-1.0,0.4551888562543708,2,0,8,0,0,107,1
28,0.8819150949347127,-0.3,-5.0,0.13292407013973798,0,0,26,129,0,0,0
50,0.8808006896696734,-0.4669591103543804,-3.0688116357764947,0.7,0,0,186,256,0,93,1
38,0.8806535040686305,-0.3,-1.0,0.0,1,0,68,256,256,93,1
1,0.8806009377825438,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.8799701423495028,-2.3097899103554322,-5.0,0.7,0,3,8,0,133,129,1
3,0.8799175760634159,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.8787190647406379,-4.0,-3.7182839458830443,0.7,0,0,8,0,0,76,1
5,0.8744296557959588,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
27,0.8737094976765701,-2.496438171057723,-5.0,0.7,0,3,8,14,256,33,1
44,0.8714333774890136,-0.3,-1.0,0.0,1,3,214,134,0,205,1
45,0.8709813074286675,-4.0,-1.2804575368128734,0.0,2,0,165,55,240,67,1
33,0.8705029542252782,-0.3,-5.0,0.1748453407252551,0,3,85,53,0,9,1
4,0.8704241047961478,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.8696356105048466,-4.0,-5.0,0.0,4,0,256,0,121,25,1
31,0.8694148321032823,-4.0,-3.889794151428319,0.0,1,0,8,34,119,0,1
34,0.8686578775836329,-1.9504100326019347,-1.3907461198153133,0.0,3,0,256,0,0,19,1
25,0.8680481086650267,-4.0,-1.0,0.0,3,0,256,0,140,91,1
49,0.8669967829432914,-3.5999244211211816,-3.372491299433376,0.23060120745280216,2,0,219,107,0,232,1
26,0.8662188019092075,-3.5660258482877234,-1.1115664256403002,0.7,0,0,8,109,256,153,1
2,0.8645471940116487,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.8641266637229547,-4.0,-2.0620492186634105,0.1795014191979905,4,0,66,215,256,205,1
42,0.8621186315944407,-2.379286837272768,-4.801252209243512,0.23723349748909142,3,0,26,0,256,36,1
47,0.8596795559200151,-3.1550544017726,-2.6044542648021793,0.0,2,0,161,58,256,224,0
8,0.8587964423137577,-3.1047792298727215,-4.306290606638861,0.2228095391049993,1,1,14,149,29,140,1
19,0.85739817910385,-0.3,-1.0,0.7,2,1,33,0,0,154,1
22,0.856767383670809,-1.0536274229962292,-1.0,0.7,4,0,8,0,0,33,1
23,0.8537711053638639,-2.3547849269040633,-1.0,0.7,0,0,256,0,0,42,0
7,0.8530614605016926,-3.01124924639085,-1.0,0.6242873744708851,4,1,72,36,218,169,0
39,0.8487667949284047,-2.6224754432573594,-1.0,0.0,3,0,129,0,256,55,0
6,0.846884921886499,-0.5949004294881903,-1.003636928810756,0.21071377321898502,2,0,49,243,127,140,0
37,0.8465169578838917,-0.3,-1.0,0.32159806534305946,4,0,226,0,0,232,0
46,0.8458020563931118,-0.558799840758744,-1.0037130267179273,0.0,1,0,97,72,0,70,0
18,0.8434891398052945,-4.0,-1.0,0.13225301016455276,0,2,245,212,0,145,0
41,0.8380222460522719,-4.0,-4.591108828210076,0.7,4,3,237,131,256,256,1
15,0.8371391324460145,-4.0,-1.0,0.7,0,3,256,0,0,108,0
9,0.836645009356799,-1.4272392511632916,-5.0,0.020381099818758523,1,1,61,242,116,0,1
36,0.8253642843625812,-0.3,-2.3525212378025646,0.7,1,2,256,0,13,0,1
24,0.8221156878824197,-0.3,-5.0,0.0,3,0,256,166,84,89,1
14,0.8067715889736958,-0.3,-4.286175572426629,0.1351817051164164,4,0,231,0,256,131,0
21,0.7937719464244413,-4.0,-1.0,0.7,0,3,8,0,256,0,0
16,0.7566916882188439,-1.797296017610579,-1.0,0.7,0,3,225,140,256,93,0
35,0.6653840492861498,-0.3,-5.0,0.7,4,0,179,0,0,10,0
13,0.5,-0.4398831194738504,-2.8254496269950513,0.41678573164466753,4,0,26,256,23,255,0
