trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.7347985347985349,-3.646574772130706,-4.12650943647808,0.4836466152728057,3,0,203,86,250,229,0
42,0.7283559577677226,-3.181793138117802,-4.048011572367752,0.21518048024578154,3,2,93,221,214,26,0
8,0.7230446024563671,-0.6405265453165279,-3.848053961038989,0.5739378494350849,1,1,225,97,256,256,0
33,0.7215686274509805,-1.077329549791616,-3.7769586023096435,0.14190481661304258,0,1,256,19,236,66,0
26,0.720318896789485,-3.292808820732433,-3.9634093471603613,0.05835523163252557,3,2,79,187,184,256,0
15,0.7187890540831717,-1.1631100269005734,-3.367430970880233,0.22772473252359327,0,1,196,0,179,251,0
23,0.7180349062702003,-2.2912190245304727,-4.13791473865253,0.7,2,3,128,0,137,5,0
47,0.7175393234216764,-3.466080083373356,-4.888053648102802,0.06326812146194431,3,1,179,243,92,199,1
30,0.7173023055375997,-1.5848987507031151,-2.9411872476155416,0.1364119883788981,0,1,252,60,218,0,1
41,0.71695755225167,-1.154108173219373,-3.813583287446457,0.13193686361178622,1,1,92,230,154,227,0
48,0.7150398620986856,-4.0,-4.013688300750534,0.2483238040741357,2,2,47,114,196,185,0
10,0.714630467571644,-3.0976883655721505,-4.797414485419217,0.5103133200996538,1,0,209,33,215,222,1
43,0.7137039431157078,-1.172836578907638,-3.3690490278965353,0.5382676844638206,0,0,234,67,87,92,0
44,0.7110751993104933,-2.239983851603676,-4.003378531806121,0.023149231644906683,2,2,125,171,187,77,0
40,0.7110105580693816,-0.3,-3.8249695401242896,0.7,1,1,256,0,252,252,0
18,0.7110105580693816,-1.5278232533533251,-2.2734679114200804,0.2905721145386972,0,0,201,42,220,69,1
37,0.7045033397974575,-2.6993564532209486,-3.9819273701476283,0.3770830347237523,4,2,53,90,162,251,1
35,0.703318250377074,-2.1451418738312666,-4.754024942989473,0.43617197686007475,2,2,62,22,104,36,1
46,0.7021331609566903,-0.8066639477286639,-3.3082392511362517,0.1007198258534089,3,3,57,176,232,201,0
14,0.6986533074768368,-1.5976960613261544,-4.934457449289446,0.30615647206361196,0,2,203,7,241,11,1
16,0.696574014221073,-1.484746181141396,-4.691766298417053,0.5552601279297336,2,1,219,171,198,239,1
20,0.6962292609351433,-2.2869178663718635,-4.701265063302733,0.09651355614024719,2,2,196,53,256,245,1
3,0.692652445593622,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
19,0.6894419306184012,-1.717755427298517,-5.0,0.6519067295637404,4,1,221,256,256,256,1
45,0.6878474466709761,-0.8534099709312559,-3.8553132464428823,0.34308746771145265,1,0,250,70,137,30,1
17,0.6841844430079724,-2.5031406768575937,-5.0,0.5727630023098633,4,3,217,0,126,256,1
39,0.6818465847877613,-0.8865847403522071,-3.7778878014660733,0.6281840428588398,2,1,49,119,9,180,1
13,0.6809739280327516,-3.8273895249925114,-2.2135138827539844,0.5585878299389053,3,0,255,22,256,256,0
4,0.6793363499245852,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.6762982115923293,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
31,0.6751131221719457,-3.635691532563602,-4.462951911272565,0.5160613433639486,2,1,162,144,208,123,1
22,0.673884938590821,-2.8709688703242886,-2.6720381924284338,0.07751901659732935,2,2,176,172,220,157,1
2,0.6592329239388063,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
34,0.6423615600086189,-1.598118907814746,-1.5694439737695043,0.3031683857423646,0,2,156,74,166,204,0
36,0.6397974574445162,-2.898870552318533,-1.8654015889758058,0.5499906562921253,1,3,256,144,256,223,0
29,0.6210622710622711,-0.9800510454233011,-4.377535796800137,0.1523268991920694,2,2,206,0,168,13,0
28,0.6169036845507434,-3.5527827794271927,-1.9913963868549671,0.502089094909323,2,1,97,122,147,98,0
25,0.6103425985778927,-2.3364704369665494,-4.62839764537976,0.6048531426476695,0,1,176,20,228,41,1
49,0.6011204481792717,-3.377761374109369,-4.116736946481314,0.5053273951119269,3,1,130,76,87,239,1
5,0.6000215470803706,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.5967032967032967,-3.95681840338694,-4.764697535137363,0.32541006882767365,3,1,121,183,256,0,0
21,0.5851540616246498,-4.0,-1.1712572646610973,0.16158614578260103,0,2,256,101,104,40,0
27,0.5725274725274725,-3.729861012289387,-3.8579164990950714,0.06265826889327875,1,1,126,206,256,233,0
11,0.5386339151045033,-1.530764948445683,-3.7234141728292265,0.6228629232384592,2,3,19,81,0,187,1
38,0.5331070889894419,-1.1393429968983657,-4.583422385170257,0.2525663359534303,1,2,226,120,217,254,0
6,0.5,-0.3,-5.0,0.6179219956886888,4,0,8,13,256,256,1
12,0.5,-0.835356609137937,-1.726708977628284,0.7,0,0,229,232,73,174,1
9,0.5,-1.2477996177617658,-1.4363274710245468,0.20826582389557463,0,2,56,31,256,235,0
32,0.5,-0.3,-1.4499541309699895,0.37623399089845294,0,1,223,128,152,256,0
24,0.5,-0.3,-3.6889101704374543,0.7,0,2,169,0,171,0,1
