trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
14,0.873981715834751,-1.9711690121554302,-2.731574733457691,0.21726886256268976,3,1,135,117,89,63,1
44,0.8734284884444629,-4.0,-4.784442863000969,0.0,2,2,97,135,9,79,0
20,0.872889091738932,-2.7731746939443784,-2.3872310171033475,0.5385312983597621,2,2,130,34,84,22,1
10,0.8728614303694175,-2.0964546960486503,-1.0304533967144782,0.35405740017958576,3,1,224,55,115,256,1
3,0.8726124780437879,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
35,0.8722390495553434,-1.4377819193326964,-2.688696229060923,0.35485790934455175,1,3,193,54,72,193,1
34,0.8720039279144711,-0.900863405963408,-3.122953011903016,0.11007756294341721,1,3,206,22,15,178,1
30,0.8711602561442817,-2.9855341459447393,-4.205631153878726,0.4459310669037015,1,0,114,12,176,246,1
40,0.8709251345034091,-0.9467996361119613,-4.569290520321455,0.2996364823970226,1,1,85,101,76,169,1
37,0.8707038435472939,-1.1726884980500247,-2.5505125453438886,0.5313320386918859,4,3,213,239,235,253,0
23,0.8706761821777796,-0.3,-3.327463768769624,0.30644532900081445,4,1,160,1,204,179,0
41,0.8705102139606932,-2.435387926880593,-5.0,0.5535047468293153,3,2,209,39,239,36,1
45,0.8702750923198208,-1.8925269830171119,-2.689452679865939,0.45157934515994946,1,3,213,158,225,82,0
43,0.8689888386374008,-2.6970978198253253,-4.816687407284346,0.4574487238677005,0,0,227,23,127,236,1
1,0.8677717383787672,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.86775790769401,-1.863907216673741,-4.523664257841411,0.2912625332573668,4,2,11,19,2,249,1
25,0.8674674633141087,-2.614618725510022,-3.0213135268409568,0.29355739240260514,0,3,251,181,176,232,0
28,0.8672738337275079,-4.0,-3.674812328800427,0.06299813738135011,0,2,159,83,223,75,1
48,0.8671631882494502,-0.9697973829024162,-4.9578694876654525,0.0,4,3,33,194,52,135,0
6,0.8668450825000344,-0.38522747933149537,-2.9146636571330617,0.3438599514801554,4,3,252,168,252,172,1
17,0.8667482677067342,-2.0475986029730113,-2.0770659386041666,0.00558624876061772,2,2,124,160,33,242,0
46,0.8664854846963472,-2.6194520062291753,-5.0,0.21422439619938158,1,2,27,154,104,42,1
31,0.8664025005878041,-3.2090178279301687,-3.3313231655110918,0.020883619563921846,4,2,207,114,88,217,1
5,0.8651992310139275,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.8647151570474255,-1.5289453568996345,-4.404792140601432,0.6052024515922784,1,1,21,7,58,58,1
19,0.864203421711409,-1.6292987333958684,-1.584268169285067,0.6045910353610542,1,1,57,250,7,18,0
50,0.8641480989723801,-2.7847190921450653,-3.179264715801981,0.6641394024562557,2,3,152,0,165,246,1
47,0.8639406387010221,-2.8330338402319364,-4.529105961442784,0.5630271554920646,1,1,181,26,225,148,1
18,0.8638161625382073,-2.5218350109330654,-3.7337729643593445,0.31763846844519145,3,1,165,210,170,247,0
4,0.8638023318534501,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.8636571096634995,-0.8587968432620263,-5.0,0.10312600218616026,4,0,15,154,177,231,0
22,0.8626128929643306,-3.8174081489185476,-2.2296355123032314,0.6634385820811098,0,2,62,173,250,36,1
27,0.8624054326929727,-2.119469580660241,-3.440946882145308,0.0984419729132412,3,3,183,250,26,38,1
21,0.8619766814654993,-2.7821642497509247,-4.585276869386726,0.47944665254586943,1,1,32,185,4,207,1
24,0.8609532107934663,-2.490714955058144,-1.5713962309160858,0.39573814762185017,3,1,8,98,12,0,0
8,0.8599435708061904,-3.514628597950068,-4.858064757783745,0.32473038367886725,2,3,131,55,0,218,0
33,0.8588509467103715,-0.6587519370762598,-1.0,0.009251301872273944,0,1,47,256,83,41,1
2,0.8562092859217459,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
36,0.8335684549742057,-3.531612921741054,-1.0,0.16549165382858405,1,0,222,188,243,18,0
7,0.8207197488347648,-0.4056100217641121,-1.347951740892054,0.028537683858305456,3,0,121,58,245,1,0
49,0.8191568814572009,-2.1306910512406914,-1.0,0.0,4,2,234,184,256,0,0
9,0.8100839522564762,-1.1588147518665766,-2.8882067920411774,0.012777832504468227,4,0,14,35,180,168,1
39,0.7969862937914054,-3.482707062228014,-5.0,0.4767549127937607,4,1,230,226,211,193,0
13,0.7949116910778253,-0.6476989901586987,-1.0,0.4962851956773744,3,0,110,256,53,138,0
38,0.7891235495069362,-2.992246944028158,-1.0,0.603241033029168,3,3,65,240,180,111,0
32,0.7703691409761698,-0.3,-5.0,0.0,4,0,8,0,256,256,0
12,0.7236283418392044,-0.3,-1.6431368181232995,0.07652887616887577,4,2,226,196,18,5,1
42,0.5914069955603501,-2.731413249585879,-1.0,0.3860335029625063,4,0,49,186,122,36,0
11,0.5100687385032433,-0.6618032443756685,-2.1409099652355925,0.5821513481271545,2,2,197,168,78,153,1
29,0.5,-0.6534601998914153,-3.785935265716053,0.2517038510324937,1,2,121,138,256,50,0
