trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.6963404255319148,-2.754053434653666,-5.0,0.0,0,0,45,256,0,0,1
42,0.6952340425531915,-4.0,-4.441972419287573,0.0,3,0,82,0,226,129,1
45,0.6932765957446808,-1.9362785467076598,-4.237467220800487,0.0,2,0,103,79,256,226,1
19,0.6926241134751774,-1.2507585502132663,-4.7614100537502715,0.4102598574692784,0,0,256,256,0,256,1
39,0.6918014184397163,-3.3816790774897547,-3.6367821659095414,0.0,3,0,116,256,112,63,1
38,0.6866382978723404,-4.0,-3.127627898618152,0.0,3,0,113,256,37,202,1
49,0.6838014184397163,-2.2067599040548833,-5.0,0.0,4,0,256,256,0,252,1
21,0.6804822695035461,-1.6629837832273147,-4.968153900464067,0.5703637011335375,1,0,58,256,136,170,1
47,0.6801702127659576,-2.1999900065095446,-5.0,0.0,3,2,8,135,256,239,1
24,0.6792340425531915,-1.4315257330795559,-5.0,0.05820164768667895,3,2,130,224,21,256,1
35,0.6781843971631205,-4.0,-5.0,0.0,3,0,161,256,13,230,1
44,0.676,-2.709130372724345,-5.0,0.0,4,3,65,140,256,238,1
43,0.674581560283688,-1.6974819595877322,-5.0,0.3298774750099516,0,0,210,89,256,240,1
26,0.6735602836879432,-1.3306541940655068,-4.700819916961669,0.0,0,0,256,256,256,0,1
33,0.6720283687943264,-3.645744628831688,-1.0,0.0,2,0,62,256,218,39,1
17,0.6718014184397163,-1.481090250257755,-3.714306445358618,0.5149204049342037,1,0,185,189,253,164,1
28,0.6701843971631206,-2.4313411222787202,-2.517238151545905,0.0,1,0,191,256,251,27,1
34,0.6652765957446809,-3.0667408181151234,-1.0,0.0,2,0,90,86,57,14,1
25,0.6632907801418441,-2.085512626349804,-2.1509928602432673,0.0,1,0,106,0,234,198,1
40,0.6621843971631205,-3.352959355551019,-2.385891071178996,0.0,4,0,126,256,10,49,1
46,0.6582127659574468,-4.0,-3.9229273535970552,0.0,3,1,83,0,256,155,1
8,0.6580141843971632,-0.3,-5.0,0.0,0,0,197,256,256,0,1
4,0.6547943262411348,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
29,0.6544964539007092,-2.66246581870029,-1.1294550421050888,0.23449919788364418,4,0,81,256,97,256,1
50,0.6525531914893616,-1.8513647574412615,-4.935769405856882,0.4592561132092905,4,0,8,231,233,107,1
36,0.6505248226950354,-1.7138836072718875,-4.844461700276084,0.17344650562166947,4,0,57,173,16,256,1
41,0.650354609929078,-4.0,-4.028251556660678,0.28524189660990296,2,0,178,256,237,199,1
37,0.6495602836879434,-4.0,-5.0,0.0,0,3,149,256,117,32,1
31,0.6464113475177304,-2.694477734440194,-1.8634403693151635,0.09903030491136029,3,3,71,0,39,0,1
11,0.6411347517730497,-2.1889394680063132,-4.7777939744467,0.5553440043906033,2,1,35,212,217,164,1
13,0.6407092198581561,-1.8004665230359023,-3.9090835159347916,0.36148011137414443,3,2,35,183,7,213,1
16,0.6384397163120568,-1.7121665636415848,-1.8793795931335238,0.22771715798876813,2,0,9,154,75,37,1
15,0.6309503546099291,-1.7650179007181217,-4.269750528842854,0.4452850675788503,3,3,35,174,124,0,1
1,0.6199148936170212,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.6166808510638299,-0.9322002137674756,-3.9413002767012184,0.6829107184761569,4,3,17,256,50,59,1
30,0.6156028368794326,-2.595744868976519,-2.1098013496078005,0.6662819030384991,0,0,206,256,170,256,0
3,0.5942411347517731,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
14,0.591886524822695,-0.8326477964233332,-5.0,0.608352632170623,2,2,256,110,2,154,1
10,0.5895035460992908,-3.6237422602969396,-2.596281590511156,0.49553791868612607,1,1,79,0,76,76,1
20,0.5842553191489361,-3.4928786926333095,-4.854824242747876,0.5963935750274427,3,0,8,256,81,226,0
32,0.5840851063829787,-2.1994611132716986,-2.0523004441891786,0.3825564284615536,2,3,16,256,30,256,1
2,0.582921985815603,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.5644822695035461,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
27,0.5514468085106382,-1.6637601111736688,-1.0,0.6405648689038442,4,0,140,0,131,0,1
18,0.5329929078014184,-4.0,-1.2048670131096886,0.3074723031610296,3,3,134,58,69,81,0
9,0.5,-0.3121846761503724,-2.2983337696396355,0.18211136364556818,3,2,93,73,190,151,1
12,0.5,-0.988674935638802,-4.4164225864048925,0.24243096861148064,3,2,217,256,54,67,0
6,0.5,-1.1253663617892649,-4.977460960554283,0.698220830187719,0,2,238,17,254,15,0
7,0.5,-0.7848237676710634,-2.065074867486735,0.6805143450751006,4,0,71,75,241,236,0
23,0.5,-1.290386518996609,-1.0,0.4933749434453148,0,0,107,256,201,55,1
