trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.7136737588652482,-3.308292121592813,-2.7638402615909428,0.18699855959656253,4,0,256,213,89,242,0
37,0.7027801418439716,-2.665094645882924,-5.0,0.16110054085779424,0,2,256,256,109,184,1
28,0.6961702127659575,-3.111623784974149,-5.0,0.06269628645978914,0,2,256,256,157,144,1
34,0.6950070921985816,-3.21611271472129,-5.0,0.0,4,2,249,30,256,192,0
32,0.6899007092198581,-3.8757814745657724,-3.978417625399649,0.043022355908359636,1,0,244,75,244,224,0
44,0.6852482269503546,-2.616374853314592,-4.824329459766454,0.0,3,2,256,42,46,23,0
39,0.6840283687943263,-3.0163171927116617,-5.0,0.18056547394644418,4,2,77,222,127,95,1
23,0.6822411347517731,-2.747487554980948,-1.121777026465494,0.10627005447415704,3,0,212,223,89,163,1
43,0.6818439716312057,-3.4889545157657063,-5.0,0.0,2,0,256,0,240,120,0
45,0.6810780141843972,-4.0,-4.417808977736118,0.0,3,0,256,80,208,245,0
24,0.6800283687943263,-2.666190827708089,-4.16128625399067,0.0,0,2,167,152,251,153,1
12,0.6799432624113475,-2.261002291923986,-4.222060220817298,0.07460462750677484,2,2,177,251,256,197,1
7,0.6738439716312058,-1.9680428384184347,-1.7440427946014503,0.0,2,0,234,16,235,199,1
41,0.6652198581560285,-2.699484708612163,-5.0,0.1470476301851189,0,3,186,256,149,152,1
36,0.6635177304964539,-3.7895210388653724,-5.0,0.08084391924207071,2,2,210,74,203,11,1
15,0.662581560283688,-4.0,-4.680806444496058,0.029321769427924034,0,3,119,132,256,164,1
30,0.6581560283687943,-2.6024363216440864,-1.0,0.14683175367218831,2,0,256,0,181,167,1
31,0.6565106382978723,-2.3176219635074538,-5.0,0.0,0,0,256,256,82,174,1
47,0.6546382978723404,-3.9617398721012287,-4.29910816418794,0.1079558109417183,1,2,199,74,2,256,1
18,0.6531631205673759,-1.5232895664512207,-3.6647049014268296,0.2860206153013433,3,2,256,141,256,244,1
22,0.6514326241134751,-2.819696979106652,-1.738500334386612,0.0,2,0,8,252,256,111,1
33,0.6481702127659574,-3.1669871696481042,-1.23793223506659,0.04306061672933081,1,1,256,128,256,188,1
14,0.6476312056737589,-2.307409806188661,-1.6228300595061573,0.0,2,1,20,238,133,0,1
27,0.6462127659574468,-2.7586408089126575,-2.9410808067044223,0.17735428756239985,4,3,130,86,36,160,1
11,0.646127659574468,-2.837674759425262,-1.978029203516039,0.0,2,0,227,5,141,256,1
21,0.6396595744680851,-3.676656682750335,-4.7490848798019325,0.0,3,3,195,209,256,242,1
4,0.6393475177304965,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
29,0.6333900709219857,-4.0,-1.9074826359147607,0.0,1,1,256,256,70,127,1
50,0.6196595744680851,-3.120051182555776,-2.735121028398352,0.489438020672346,2,0,32,243,98,171,0
16,0.612709219858156,-4.0,-5.0,0.0,2,3,8,256,256,256,1
25,0.6082553191489362,-4.0,-3.5023620192549023,0.0,2,0,8,32,241,0,1
10,0.5921702127659574,-0.6117291989799538,-3.562567605178404,0.0,2,2,74,56,31,240,1
3,0.5813333333333333,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
8,0.5788510638297872,-0.3,-5.0,0.0,4,0,8,256,0,256,1
1,0.5788085106382979,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.5711063829787235,-3.0588751365388953,-1.2535324978578135,0.016481406738852067,0,2,123,244,96,131,0
42,0.5687375886524823,-2.987045537065317,-5.0,0.10377664926656295,3,1,256,209,256,256,0
35,0.5679716312056738,-0.3,-5.0,0.0,0,2,256,184,236,200,1
17,0.5670070921985815,-1.4698864926160256,-1.0,0.03188725930090414,3,0,256,256,256,0,1
9,0.5664113475177305,-0.709901726225799,-1.515622464656524,0.18905983508523086,2,0,226,0,251,5,1
20,0.5629787234042554,-0.44679383922103666,-3.8575078697692993,0.7,1,3,8,197,256,256,1
40,0.5627517730496454,-4.0,-3.540474841274702,0.0,2,3,107,49,256,170,0
46,0.5588936170212766,-3.220595127011755,-5.0,0.0,3,1,256,42,170,210,0
6,0.5585531914893618,-2.8227076184150137,-4.885054707357774,0.29362960631481283,4,1,78,0,229,37,0
38,0.558468085106383,-3.3952469788319277,-5.0,0.0,0,1,256,166,107,251,0
26,0.5563687943262412,-4.0,-2.0360388112532264,0.6645593446572196,0,3,256,209,78,256,1
2,0.5528510638297872,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.5511205673758865,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.5,-0.3,-4.814129613624902,0.7,4,2,234,241,58,22,0
19,0.5,-1.5531213746283887,-1.4240360822056544,0.7,3,2,8,43,256,256,0
