trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.6952057746175393,-2.791257661390663,-5.0,0.0,4,3,250,174,27,252,1
16,0.6781404869640164,-3.0022344958617877,-1.0,0.06783103298318834,0,3,168,141,0,254,1
15,0.6769338504632622,-1.2290244575773213,-5.0,0.2474539880309498,1,0,225,68,0,43,1
31,0.6740896358543417,-1.3641315027780871,-5.0,0.0,1,1,180,189,0,223,1
22,0.6671299288946347,-1.9307342903997973,-5.0,0.05864018614470589,3,0,22,233,0,160,1
18,0.6658801982331395,-2.9561331374501707,-1.6872886902174886,0.0,2,0,224,212,0,148,1
17,0.6647166558931266,-3.1189602998146597,-5.0,0.07103870791157832,3,3,18,132,0,82,1
30,0.6613337642749407,-3.1843151882605407,-1.0,0.05845045876955511,3,1,256,220,75,256,1
1,0.6602564102564104,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.6594807153630683,-3.500682118332179,-5.0,0.0,1,1,172,3,192,143,1
21,0.658338720103426,-1.192404457548832,-4.654429048040829,0.0,0,2,73,103,256,217,1
7,0.6579724197371255,-1.4549720563537418,-3.1468078805542876,0.26841830691407503,1,0,214,166,68,249,1
38,0.6549127343244991,-1.3426544906853444,-5.0,0.0,2,1,256,240,215,45,0
33,0.6532320620555915,-4.0,-3.6082291919975553,0.5028556161972275,3,2,168,0,234,127,1
45,0.6526718379659556,-3.0228566058746975,-1.3127781878593257,0.47722915550469985,1,3,124,205,0,216,1
8,0.6518099547511312,-3.424750737665779,-2.2276827746959227,0.082462839994284,3,0,181,256,106,78,1
47,0.6488364576599871,-1.4784950245196207,-4.700832355529992,0.5419315293903205,3,1,256,77,0,50,1
41,0.648620986856281,-2.793498167952638,-5.0,0.0,3,2,256,6,173,157,1
29,0.6456259426847663,-4.0,-1.0,0.25718159342376834,4,3,53,148,256,115,1
11,0.6440314587373411,-2.5770887207354134,-2.713371020784824,0.04903123264295282,3,2,183,256,52,235,1
32,0.6429971988795518,-3.1714265000058646,-2.78544774575486,0.08640561248573643,0,3,8,250,16,256,1
40,0.6413165266106443,-2.4037721449553544,-5.0,0.4317067767667755,0,1,256,0,0,0,1
28,0.640777849601379,-4.0,-1.0,0.0,2,3,42,95,0,129,1
4,0.6397004955828485,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.6381491057961647,-2.8841207837540668,-1.0,0.0,2,3,72,76,256,31,1
34,0.6368347338935574,-3.168372278877935,-5.0,0.40525056498143874,4,3,210,25,179,255,1
25,0.6351432880844645,-1.3147246145397182,-5.0,0.41324558804418327,3,0,8,256,0,108,1
27,0.6325037707390648,-1.179269930257218,-2.1142743949771834,0.0,0,3,235,0,67,94,1
13,0.6251131221719457,-3.9713442660921694,-4.615715002341812,0.4633797018356097,0,0,256,256,73,256,1
48,0.6242943331178625,-1.6983666445137908,-5.0,0.0,3,0,205,0,0,66,1
12,0.6212561947856066,-1.4032215863272373,-2.0788628608050117,0.6079931209142391,4,3,250,54,100,100,1
2,0.6183257918552036,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
26,0.6178948502477914,-1.9225412378217714,-3.0736495799403123,0.1675544772689246,0,0,256,120,180,256,1
49,0.6113876319758673,-2.1754593970821134,-5.0,0.5674163902430733,0,3,36,239,68,210,1
6,0.6109566903684551,-0.609860320376661,-4.739814428216943,0.0,4,0,8,190,0,185,0
35,0.608974358974359,-4.0,-5.0,0.4850874975843918,4,3,8,155,256,2,1
5,0.605052790346908,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
3,0.6045141133376428,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.6030704589528119,-2.054204597873559,-5.0,0.0,3,0,44,147,206,20,1
19,0.5915427709545357,-4.0,-2.6618657112191246,0.7,1,3,65,133,256,130,0
9,0.5,-0.5795518266396753,-1.095585545636601,0.5887840864084166,2,0,28,64,0,9,1
14,0.5,-0.3,-4.993867268557099,0.6672644665602896,1,0,256,246,64,189,1
44,0.5,-1.2106797623109653,-4.01134545584042,0.29596433605332245,1,2,256,225,65,173,1
23,0.5,-1.1455078884994827,-1.0,0.6715557168658478,0,3,18,131,256,237,0
24,0.5,-0.3,-1.0,0.41691680857866636,4,3,168,252,256,111,0
39,0.5,-0.3,-5.0,0.0,4,0,232,64,95,66,1
42,0.5,-1.1623606703837854,-1.0,0.0,1,1,256,222,0,110,0
43,0.496218487394958,-4.0,-5.0,0.5714497774507444,1,1,256,177,256,40,0
10,0.4795625942684766,-2.841048493627144,-5.0,0.2874929470447696,0,1,134,115,81,256,0
36,0.43444300797241975,-4.0,-1.0,0.0,3,1,38,41,56,88,0
