trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.6531773049645391,-0.9293498931911044,-5.0,0.10219510427130575,4,3,139,0,80,43,1
7,0.645304964539007,-0.9496968284563616,-4.371207348620978,0.42434622817080286,4,3,154,35,100,20,1
50,0.6353333333333333,-0.9390414031089755,-5.0,0.3795540164254401,4,3,117,0,53,0,1
39,0.6330070921985816,-1.3151438605824457,-4.741216517157733,0.2654696572792417,4,3,102,134,94,42,1
27,0.6321560283687943,-1.3034190998141644,-4.848866874935972,0.08336903141739221,4,3,155,0,69,0,0
20,0.6267943262411347,-0.9031412794911415,-5.0,0.02895081823075356,4,3,117,245,111,0,0
32,0.6253758865248228,-4.0,-3.92227741055034,0.06097048132588132,4,0,14,128,148,256,1
49,0.6251489361702127,-1.037975339286012,-5.0,0.0,4,3,256,0,79,9,0
43,0.6240992907801418,-1.4919221564824752,-4.1904104687479915,0.11479491484937807,4,3,184,76,10,0,0
45,0.6205815602836878,-1.3219294790954446,-3.8477009554731265,0.6861722203800669,4,3,256,123,93,8,1
26,0.6178297872340426,-1.4321551387112068,-2.1353968234272322,0.523425386362331,4,3,172,0,134,0,1
23,0.6134609929078014,-1.5463848781639662,-2.022353337844265,0.44038928039106784,4,3,85,8,37,21,1
19,0.6118439716312056,-0.572398379115719,-4.111555427851661,0.15873277621822776,4,3,198,115,57,23,0
47,0.6111347517730497,-1.2688651559641162,-4.070494373117313,0.4266884976733498,4,3,102,245,65,0,0
4,0.5997304964539006,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.5985390070921985,-4.0,-4.672901690656484,0.35977619893570933,4,0,8,12,38,256,1
12,0.5969787234042553,-2.8794591729907157,-2.188787694563825,0.34847045931177306,4,3,203,244,244,0,1
37,0.5960709219858156,-0.9670768920078796,-3.3797070602965156,0.44160803470708565,4,3,139,64,0,64,0
6,0.5896028368794326,-1.3618266748868466,-3.9103143772294384,0.6406590738020334,2,1,242,0,168,256,1
38,0.5850354609929078,-4.0,-3.8747193187998628,0.14003414078628962,4,0,8,198,227,256,1
33,0.5827375886524823,-4.0,-4.132176650490286,0.37840719185787247,3,0,211,256,170,256,1
9,0.5799290780141844,-3.0863120818890595,-2.7296597679141428,0.09235823399567088,4,3,193,162,211,256,0
3,0.5769078014184397,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.5739148936170213,-4.0,-3.899682088333213,0.5507068214957697,4,3,152,256,84,0,0
29,0.57377304964539,-2.6081405177920525,-2.748441137082376,0.17813647893925463,2,0,46,10,256,256,1
11,0.5711631205673758,-2.6178783385730666,-3.186864102773974,0.2263659894879408,3,3,54,0,163,255,0
24,0.5680141843971631,-2.7566605596544678,-3.963887418643391,0.10908927668118129,4,3,90,26,146,27,1
5,0.5654042553191488,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.5652624113475176,-1.178863313734058,-2.1144794177263146,0.4287482332750849,3,3,134,139,89,28,1
8,0.5652056737588652,-0.7932253749955533,-2.2488591280125343,0.10413072980931844,1,1,53,256,228,255,0
30,0.565049645390071,-2.4986501253006246,-1.517261077661316,0.5361656097885165,0,0,97,27,113,256,0
42,0.5646524822695035,-2.292731960497246,-1.2749948522763317,0.43395759209870177,4,2,75,155,100,0,1
41,0.5642695035460993,-0.8600725486819227,-1.9033125197188197,0.301341048389209,4,3,116,0,93,5,1
35,0.5639574468085107,-0.3,-3.4774346760148536,0.4489145210559251,4,3,231,72,133,12,1
36,0.5631063829787234,-3.3541173639157056,-1.5646243393258432,0.560453390731241,4,0,160,122,112,256,0
10,0.5629078014184398,-2.712779108786167,-4.54992418695149,0.6955601399691521,4,1,182,53,77,90,1
1,0.5606382978723404,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.5506382978723404,-1.326483201908832,-5.0,0.46475061954117364,4,3,128,5,20,256,0
44,0.5489503546099291,-1.2623514436303425,-5.0,0.7,4,3,9,252,240,0,1
2,0.548241134751773,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.5475602836879434,-1.5648701830459868,-1.0518837824815597,0.5400635667320651,2,3,151,187,170,100,1
31,0.5392056737588653,-0.7353226571477269,-2.404033528662818,0.6726509302601632,0,0,43,82,133,21,1
40,0.5320141843971631,-4.0,-1.1264564682462987,0.34368514118623106,4,0,255,16,173,143,0
18,0.5234609929078013,-0.36869091788894703,-4.44319419684938,0.26545765968932394,3,2,152,7,225,77,1
15,0.5097872340425532,-1.074582755349914,-2.8017771428308986,0.5297547943852666,4,2,221,9,64,228,1
34,0.5059432624113476,-4.0,-4.337553568223602,0.3002881513273157,4,1,37,0,70,221,1
13,0.5,-0.3,-1.4169067849710397,0.4652197851724955,4,3,254,97,251,116,1
14,0.5,-0.511720380875134,-5.0,0.5921545323462054,4,0,160,7,42,183,0
16,0.4843829787234043,-1.222658263657813,-1.2064007515468322,0.24861230101567236,4,0,86,75,131,0,1
21,0.48299290780141835,-3.3836902072989603,-4.946081428423479,0.19635120310658716,1,3,11,1,136,31,0
