trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.9217813663029079,-2.2710988505207883,-4.991033165057737,0.0,0,0,127,236,52,92,1
9,0.917991337076053,-4.0,-3.7279282637893,0.0,4,0,256,0,241,0,0
46,0.9126190626379864,-1.4515859022940028,-5.0,0.663318742447274,2,0,256,13,109,182,1
1,0.911541453773208,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
27,0.9081351584347863,-3.5774573997261285,-3.9759533553432913,0.0,3,0,169,213,207,189,0
19,0.907036523055573,-1.6415665811232087,-4.862386468294361,0.6828412298601527,3,3,36,112,145,237,0
12,0.9020111861056793,-0.3,-5.0,0.0,0,0,8,256,256,256,1
30,0.8989097752265607,-2.3902862306300916,-4.941414201415107,0.0,3,0,65,230,59,4,1
31,0.8986364305389095,-2.986188995925529,-1.8623935878550966,0.0,3,0,215,138,218,206,1
33,0.8953983473159655,-4.0,-2.1774894334324375,0.0,2,1,205,127,240,30,0
24,0.89339557181606,-3.452814082238532,-3.4035026258735295,0.0,4,0,117,225,256,170,1
15,0.8923915557518031,-3.158074844610594,-3.806925365656852,0.5407672311194345,0,2,198,141,37,68,1
11,0.8919815387203263,-0.3,-1.5189644960124293,0.7,0,3,256,0,0,256,0
17,0.8909932925418952,-0.3271197746073331,-2.083536186974699,0.5750020146810386,4,1,21,135,22,128,0
7,0.8885226770958179,-0.3,-5.0,0.7,0,3,8,0,256,256,1
23,0.8874608381168654,-0.5298423134603532,-3.0626369154451805,0.6948367563358916,1,1,165,115,160,70,1
18,0.8852110010723522,-0.6278278199153533,-3.108737955981934,0.06677931276910103,2,1,109,256,178,201,0
10,0.8846327719253978,-0.3098184129065107,-2.262737566450474,0.6999988846017061,4,3,141,0,0,92,1
6,0.8825196072247103,-0.9266466023585944,-2.949153986125166,0.00554738267334437,3,3,87,17,113,167,1
35,0.8773996509598604,-0.3,-5.0,0.11992539827660455,3,1,178,235,164,211,0
20,0.8697092033053682,-0.5709753694771549,-3.5735613677486624,0.472788736614791,1,1,180,109,71,0,0
47,0.8685369751256333,-3.3666950497921304,-5.0,0.04480084125988139,3,0,113,256,0,184,0
3,0.8680954183225048,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
22,0.8659559704787738,-0.6005931842552297,-1.0,0.23540893816065556,4,3,55,225,256,226,0
4,0.8649309279000821,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.8570197018440253,-1.1999079040474938,-1.7599032959551124,0.7,0,1,202,138,125,220,0
42,0.8547540949136861,-1.2735603011937346,-3.7365030113268265,0.6809978130160604,3,3,162,124,90,206,1
5,0.8535976366197775,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8521888601526524,-2.4374526841723054,-5.0,0.1339007026816029,3,0,27,234,0,192,1
21,0.8504016064257028,-3.2454696105638523,-3.7527897551221576,0.32763310481703617,0,2,256,0,65,256,0
45,0.8432736180323388,-2.6957330533761734,-5.0,0.05786971789688331,2,0,256,134,58,87,1
41,0.8427479551714712,-2.4849448311235145,-3.3384764806339913,0.038745089479824725,2,0,91,130,95,227,0
48,0.840824029100696,-3.0961748331809202,-3.344025856651707,0.4325914121453236,2,2,251,0,62,61,1
38,0.8408135158434786,-2.4723600642130124,-4.33976490740903,0.06916705997420707,2,2,249,121,180,131,1
2,0.8337380937362013,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
29,0.831688008578818,-2.943069873723925,-2.1421955963134,0.0,4,1,85,217,243,228,0
16,0.8179787211673921,-0.9217812250913435,-2.828696367925087,0.5133973505080754,1,1,253,123,227,36,1
25,0.7917639142959272,-4.0,-1.0,0.0,4,0,235,7,203,0,0
36,0.7892354759351542,-3.395701256324821,-1.0968222926237114,0.5643614087011503,2,2,209,131,72,62,1
50,0.7411846338232512,-3.2414323504840437,-5.0,0.2276819236195284,3,0,11,97,101,237,1
26,0.7190279442376838,-1.4079088076431883,-2.0932402478555416,0.20437456775482893,1,3,256,21,0,206,0
13,0.6684013541075297,-0.3,-5.0,0.0,0,0,8,149,256,256,1
44,0.5620597573540235,-0.3,-1.819259237406043,0.34770078904533985,3,3,51,0,154,196,1
43,0.5091623036649214,-0.8867953736661942,-1.0,0.27594988222074956,3,2,218,128,256,0,0
37,0.5,-0.3,-5.0,0.6908562187453073,4,0,8,125,0,28,0
8,0.5,-0.30428358442816705,-1.0433925598863065,0.5069053869599023,0,3,8,253,0,212,0
49,0.5,-0.7407365383067441,-5.0,0.7,3,2,8,171,86,82,0
34,0.5,-0.3,-1.0,0.1750141267556631,1,2,156,239,105,227,0
14,0.4093599529006077,-3.8930314609569336,-3.7017693406938523,0.5608564362188391,2,3,30,64,194,187,1
28,0.10222039992430454,-4.0,-1.104264019974873,0.3276097726724111,1,1,166,206,84,22,0
