trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.8903779926144143,-2.831610296872525,-3.386985873506457,0.43520157203995363,0,0,180,4,207,28,1
30,0.889465167420439,-1.5078409173544216,-5.0,0.0,1,0,256,43,66,26,1
35,0.8864915701976405,-2.2751310847580397,-5.0,0.1761012892174346,0,0,196,10,256,210,0
28,0.8861250570515746,-2.4266804417961687,-3.816220594604654,0.38670655034735374,3,0,256,0,17,20,1
21,0.8857862052750232,-2.677348011006136,-3.108617674851046,0.45064029540654005,0,0,156,234,162,60,1
33,0.8839743855718298,-2.786434531641324,-3.2694903558723487,0.7,1,0,256,236,110,229,1
49,0.880986957664274,-4.0,-3.7663930837209634,0.0,0,0,256,0,247,0,1
34,0.8809454656100023,-1.5682364930131043,-3.867300042306627,0.0,1,0,256,140,129,130,1
25,0.880779497392916,-3.1656204854341574,-3.91889452598431,0.45263337910161533,4,0,180,163,152,67,1
50,0.8780133604414755,-4.0,-2.457550827556973,0.0,3,0,222,150,50,0,1
3,0.8748737950015906,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
26,0.8744727051436317,-2.961576489992008,-3.0695246406068346,0.0,1,0,256,95,224,150,1
18,0.8742237528180021,-1.0814964363058874,-3.3272031668943534,0.31538714519645217,2,0,194,251,78,57,0
32,0.8727023774947097,-1.8906990291363162,-5.0,0.0,2,0,8,0,98,90,1
48,0.8725087479081088,-4.0,-3.6333287446102425,0.0,4,0,256,256,27,33,1
31,0.8723704410605368,-0.9997514555229601,-5.0,0.0,0,2,256,219,132,127,1
12,0.8721768114739361,-4.0,-4.571151313303554,0.036586084567187316,2,0,255,92,248,159,0
6,0.8721768114739361,-3.034449896821288,-5.0,0.21752890592010143,0,0,33,0,256,235,0
47,0.8720938273653929,-4.0,-2.0100661667494517,0.0,4,0,238,58,0,0,1
15,0.8717134835345698,-0.3,-4.141939759515705,0.07794036220200554,2,0,152,0,256,0,1
4,0.8710288646390882,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
41,0.8698255950652117,-2.785067276120066,-3.8940819753903533,0.34837044427670144,3,2,214,256,196,0,0
9,0.8695489813700676,-0.5287271352588023,-4.893945630612598,0.4180504373869963,3,3,29,115,21,83,1
19,0.869507489315796,-1.2050722988697884,-3.5366251243810316,0.4353312809052393,0,1,219,248,256,246,1
23,0.8693622671258453,-2.8774001182855504,-2.6512400294322505,0.7,0,2,256,28,249,164,1
14,0.8691340608273516,-2.09094993221209,-2.6079462726882605,0.69766935288164,0,0,99,0,228,251,1
17,0.8658423578551373,-0.4765187876735686,-4.618173658164233,0.37459480564695763,0,0,12,32,187,0,1
1,0.860960126135845,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
45,0.8588232853408571,-1.4162214212977773,-5.0,0.6977654227885215,4,0,256,245,9,0,0
8,0.8577168305602809,-0.3,-1.6824830004304654,0.7,2,0,256,249,189,27,1
11,0.8575992697398449,-0.3,-2.858031611625743,0.5818765095083847,4,1,16,196,232,16,0
42,0.856382169481211,-0.4401486965829222,-4.87269804483503,0.7,3,1,84,256,41,0,0
46,0.8556768045585937,-0.3,-4.459154897450558,0.0,4,0,171,256,159,179,1
43,0.8536851859535565,-4.0,-4.21824914240481,0.0,4,3,256,173,256,90,0
36,0.8528138528138528,-3.104265749585986,-1.0,0.7,0,0,256,54,256,0,1
27,0.8524680856949227,-2.7106116811496515,-5.0,0.49889626024424394,1,3,256,59,126,256,1
7,0.852343609532108,-3.428246485379872,-3.777704871663545,0.09253847751127718,4,3,58,60,256,13,0
29,0.8519978424131778,-3.978979329029742,-1.3521908540672833,0.0907191315400346,1,2,9,233,15,108,1
5,0.8517627207723054,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.8516797366637625,-2.6651600690318875,-4.144108161720885,0.28437560672805773,1,3,140,9,236,82,0
16,0.8509467103716305,-4.0,-4.911102699983647,0.7,1,0,159,0,71,0,0
20,0.8505041284594,-3.965654339058231,-3.244357964001014,0.19004242816495895,2,0,12,0,0,216,1
44,0.8447021562037536,-4.0,-1.256561878600111,0.0,3,3,256,19,216,120,0
10,0.8433121723856549,-0.3,-1.0,0.3040125727004783,1,1,25,234,208,244,1
2,0.8351382376941481,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.8305049583004855,-4.0,-3.2349063035278114,0.6522803598120935,2,0,8,134,230,198,0
39,0.5,-0.3,-1.0093938929590762,0.2524031815840491,0,0,256,256,256,232,0
40,0.5,-0.5474926129527216,-3.3951341750436055,0.4124252156151828,0,0,123,173,38,118,0
37,0.5,-0.3,-5.0,0.7,0,0,256,253,206,32,0
38,0.5,-0.3,-4.995034935552384,0.35031208850840245,4,0,77,77,141,0,0
