trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
10,0.8430008944543829,-3.1121402933935114,-5.0,0.0,4,1,143,202,256,90,1
3,0.8415399522957664,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.8386478831246271,-2.432819290689288,-4.200667361628499,0.6690266284122968,4,0,256,0,256,153,1
43,0.8349806201550387,-2.5145872821547415,-5.0,0.2971202218758784,0,2,256,255,256,161,1
50,0.8343694096601073,-2.774261204997042,-5.0,0.0,4,2,162,131,134,201,1
27,0.8342948717948719,-0.779301946239924,-5.0,0.4145769743534823,3,1,256,178,79,149,1
22,0.8301207513416817,-2.4928120120575477,-4.458800768219905,0.6700471677584003,1,2,256,144,256,117,0
19,0.8290175909361956,-1.9422018208430556,-5.0,0.5934019068482022,4,3,256,256,0,0,1
42,0.8274672033392962,-2.0317914269160777,-5.0,0.08076790382709177,4,3,256,112,256,0,1
7,0.8268112701252236,-0.8711624841862111,-5.0,0.0,3,0,43,135,10,219,1
16,0.824232259988074,-2.528138343248619,-5.0,0.46096905447385816,4,3,256,251,256,0,0
47,0.8233974358974357,-2.2140923320902814,-5.0,0.0,4,3,8,22,0,0,1
45,0.8227713178294573,-1.3343338865006018,-5.0,0.5130105610847495,3,1,256,219,256,101,1
49,0.8225178890876564,-2.716534375437841,-5.0,0.7,3,2,93,26,125,250,1
34,0.8186866428145498,-1.611693665459256,-5.0,0.43886323405987704,3,1,137,244,152,117,0
40,0.8144230769230769,-3.9406891758583926,-5.0,0.2064901015646898,1,2,256,254,201,85,0
25,0.814087656529517,-1.244336997521284,-5.0,0.5059453660503342,4,3,256,8,65,0,0
31,0.8138342277877161,-1.8963815285530008,-5.0,0.7,4,2,256,47,173,256,1
21,0.813752236135957,-0.3,-5.0,0.40665783703892583,4,3,74,98,139,0,1
24,0.8089669051878354,-0.3,-3.225026635175629,0.415760108339534,1,1,231,243,256,107,1
1,0.807520870602266,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
35,0.8071481812760882,-3.5118693255320954,-2.0961234453977493,0.7,3,0,196,169,88,89,1
15,0.8038983303518188,-0.3,-5.0,0.541749515983561,4,3,205,256,256,0,1
46,0.803093321407275,-3.8742821815079225,-5.0,0.35438279249889404,1,2,256,256,256,0,0
13,0.79966457960644,-2.6540829222693274,-5.0,0.6809438406826059,4,3,238,163,75,0,1
30,0.7986657722122839,-3.1034643082558477,-5.0,0.7,0,0,78,22,256,256,1
37,0.7961165772212284,-2.2639878876117843,-5.0,0.7,2,3,30,137,141,98,1
29,0.7934481216457959,-0.3,-4.228132389397421,0.20720132619152298,3,0,256,58,78,135,1
23,0.7902280858676206,-4.0,-5.0,0.6378108126765382,1,2,227,137,0,71,1
14,0.7860390578413835,-2.5930203420555333,-4.883225051248609,0.5068838910834507,4,3,8,44,93,0,1
18,0.7784958258795468,-4.0,-5.0,0.15306571654768836,4,0,8,108,256,169,1
6,0.7749627310673823,-0.3,-5.0,0.0,4,3,8,256,0,0,0
8,0.7728980322003578,-0.3,-5.0,0.0,0,0,8,256,0,256,0
28,0.7692456768038163,-1.592911577189764,-2.4568694666369097,0.37456561286003676,1,0,131,256,256,16,1
36,0.7689997018485389,-1.5630964641726717,-1.3582024733062532,0.7,2,0,63,74,56,121,0
11,0.7581097197376268,-0.44247052187086533,-1.0,0.28801888868048026,3,1,63,65,255,205,1
17,0.7562686344663089,-4.0,-5.0,0.0,4,0,256,256,256,0,0
9,0.7503205128205129,-3.6760436932468794,-3.5110217157173444,0.10707045123237334,0,3,203,7,256,31,0
5,0.7494633273703042,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.7364713774597496,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.7363372093023255,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.7125968992248062,-2.5279471027173797,-1.0598053805709058,0.22289162617418154,2,0,8,0,256,145,1
39,0.6123956469886702,-1.5824501236232367,-1.0,0.0,3,2,8,74,104,212,0
38,0.5080128205128205,-0.3,-4.888443668746328,0.6639090463830145,2,0,13,230,10,186,1
33,0.5,-0.3,-4.7014108337227265,0.6338058288216717,1,2,256,46,138,189,0
20,0.5,-0.3,-1.0,0.4861350439066529,4,2,119,199,0,178,1
41,0.5,-0.8345501464331999,-5.0,0.7,1,0,64,230,8,47,0
32,0.5,-0.3,-3.671503375784756,0.7,4,0,256,256,246,237,1
48,0.5,-1.298749611884587,-4.067506652345114,0.31988629246621,3,2,256,25,256,35,0
12,0.4836165772212284,-3.2452141219553035,-1.0041391514454991,0.5894384043273031,1,3,224,31,255,157,0
