trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.8414355992844365,-2.341455131032169,-3.6276760235062033,0.2422630182020372,2,0,59,59,127,23,0
14,0.8407945736434109,-2.3821022511950147,-3.6406415716087537,0.2360293858748805,0,2,152,163,229,0,1
3,0.8405411449016101,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.8402429934406679,-1.8617212163439438,-4.995496006366113,0.3302960908274619,3,0,162,45,225,24,1
46,0.8390354800238522,-2.1630122690733096,-3.808762648491666,0.281864320625066,2,3,191,17,43,0,1
24,0.8375,-2.323394274020308,-3.881140656070116,0.30153489598563493,2,0,160,105,173,183,1
45,0.8341308884913535,-2.670382679870218,-4.711626579412379,0.0,1,0,244,169,256,0,1
20,0.8336612999403696,-2.5979264602130634,-4.976678362434835,0.7,1,0,96,5,9,94,1
50,0.8332960644007156,-1.607768299861564,-3.364595235335142,0.0,2,0,249,106,0,53,1
21,0.8295542635658915,-2.274432510168657,-3.572088185277284,0.16542272347464693,1,2,252,190,81,61,1
25,0.8291368515205724,-1.7256041388139427,-5.0,0.3840827105175359,3,1,196,18,90,104,1
30,0.8287418008348242,-1.2217258042898198,-3.680490677911095,0.6949062274235821,1,1,237,140,44,240,1
47,0.8281007751937983,-2.633328007320907,-4.856750153752093,0.7,3,0,150,36,26,0,0
6,0.8242024448419798,-2.04548361849874,-5.0,0.0,4,3,8,0,256,116,0
40,0.822875670840787,-0.4498020310297255,-2.6747016491175257,0.0,4,3,70,69,125,256,0
28,0.8216085271317829,-1.3028931573107019,-4.4118298968580305,0.44736111002484963,3,0,29,190,53,44,1
32,0.820237030411449,-1.8062533314627358,-5.0,0.7,0,1,243,0,133,253,1
27,0.8128130590339893,-2.3264271942069468,-2.725500511530497,0.0,3,3,226,235,33,17,0
38,0.810427847346452,-1.0083155506928057,-3.6476588316306433,0.0,2,3,24,13,228,256,0
1,0.8075208706022659,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
9,0.8071929039952297,-2.3993160512560254,-1.5596157144701017,0.666595088509913,3,3,180,63,193,256,1
39,0.8066860465116279,-1.505179799615997,-4.079571319623796,0.0,2,1,11,255,29,0,0
48,0.8064177101967799,-1.9636945757655662,-2.4686578424527115,0.24312718423179752,1,0,250,0,209,0,0
15,0.8063655336911151,-2.5015880272414477,-4.67314982491081,0.0980392127806906,0,2,8,140,246,0,1
31,0.801870900417412,-1.056916525359529,-3.134252570250256,0.0,4,0,136,151,81,184,0
43,0.8010807990459152,-1.1525670447995724,-5.0,0.4541370491453212,4,3,8,29,0,0,0
34,0.7959973166368516,-1.586315088477372,-2.588034062853363,0.7,0,0,130,0,84,0,0
37,0.7954755515802027,-1.769867588614889,-2.9527951884316392,0.7,1,2,224,6,55,0,0
33,0.7930158020274298,-0.7283851343188585,-3.4503663626626957,0.525898035017755,3,3,151,141,13,56,0
35,0.792598389982111,-2.650818744909424,-1.212941386362365,0.06388851610545368,2,1,45,90,111,72,1
29,0.7920393559928445,-1.4597502673189564,-5.0,0.7,1,2,156,152,54,94,1
44,0.7889907573047108,-1.557342551107448,-3.5089226621283727,0.5915946579972242,4,3,8,106,0,0,0
4,0.7853533094812166,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
49,0.777974060822898,-2.502074922998001,-2.149799657173478,0.20809062343016077,2,3,218,217,215,0,0
23,0.7759764460345855,-2.628623036746799,-4.753968523135633,0.7,0,3,28,256,182,242,0
10,0.7738819320214669,-3.708127097436617,-2.823859094310351,0.27247463978425973,4,1,8,228,256,188,0
18,0.760010435301133,-2.198913800204034,-5.0,0.5496879747505766,0,1,93,164,181,73,1
11,0.7575954084675015,-0.48014937551291403,-4.14564851992486,0.608210153778192,3,3,8,186,0,46,1
13,0.7538908765652952,-2.399382400506362,-4.882518582454781,0.23592068428718113,4,1,239,187,256,256,0
22,0.7534809183064997,-1.927915102052303,-4.646464492202982,0.0,3,1,171,206,183,202,0
2,0.7528249850924269,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.7505888491353607,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
19,0.7013640429338104,-2.5836554543289023,-3.6517727307669006,0.7,1,1,86,10,242,204,1
17,0.6928369111508647,-2.0112388102733085,-1.0,0.7,1,2,8,63,256,0,1
12,0.6461762075134169,-4.0,-4.959290078616862,0.5219688936810329,1,1,202,0,134,15,1
42,0.5765280262373286,-0.42203754006230243,-3.1798685637527484,0.0,1,2,56,146,193,256,0
7,0.5360539654144304,-0.3,-5.0,0.0,4,0,256,0,256,256,0
8,0.5105396541443052,-0.3,-5.0,0.7,0,0,8,256,256,67,1
41,0.5,-0.3961155935932381,-1.7175729750889186,0.6709386562993447,1,2,242,124,117,15,0
36,0.5,-1.268385216484765,-2.307481168036622,0.7,0,2,219,237,25,210,0
