trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.6442584434654919,-1.5106782905155192,-3.3123096813896646,0.020208597830097527,4,1,67,148,253,256,1
28,0.6380323054331865,-3.4491128316102424,-3.891086551763109,0.24499176835604305,1,0,8,242,256,242,1
48,0.6259911894273128,-0.8080567773587934,-3.619312259152436,0.33896060123025695,3,3,84,143,252,256,1
47,0.6070778267254038,-2.5522541888808363,-4.506047419135477,0.25819132465279565,3,2,51,215,256,248,1
31,0.6070190895741557,-2.239485281304476,-3.704120127695232,0.27227556207607845,0,3,112,238,254,256,1
32,0.6007929515418502,-2.974195574892826,-1.0719661800961902,0.5726331580567261,2,0,69,151,253,256,1
6,0.5969750367107195,-3.974741001425001,-4.415070991304814,0.0789425198451355,1,2,129,26,252,204,1
36,0.5953010279001469,-2.5165893003810287,-3.91545240992114,0.2225995002278465,1,2,62,215,256,229,1
20,0.590337738619677,-4.0,-1.230803268342381,0.4468530875049208,0,0,96,184,29,177,1
24,0.5898972099853157,-3.2637630426706443,-3.456288114055776,0.531900415311591,2,0,224,54,173,105,1
46,0.5895447870778266,-1.9433758174843647,-4.651032725295297,0.5483362192433817,0,1,40,46,180,4,1
13,0.5887812041116006,-3.2839153296103953,-2.1414911053846866,0.0,3,2,247,116,11,49,1
50,0.5873421439060207,-2.8892166348362958,-5.0,0.0,0,3,74,146,248,256,1
16,0.5869603524229076,-2.6844080912962465,-4.4206146189122055,0.0017339820195017232,3,1,243,95,191,104,1
40,0.5782966226138032,-3.500179085710143,-3.174907387636189,0.0,1,1,14,91,254,256,1
3,0.5755947136563876,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.5750220264317181,-1.224077046426785,-2.750615128756209,0.4635468781070352,4,2,84,230,252,256,0
44,0.5740675477239353,-3.5305555718827013,-1.015517303677631,0.2494393059525213,0,1,78,225,255,230,1
2,0.5728928046989721,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.5726872246696035,-2.783665659625067,-2.199274888602143,0.43419508163329346,0,1,95,0,256,104,0
49,0.5720117474302497,-1.1850395589912992,-4.757166749308882,0.0,1,1,87,119,256,36,1
14,0.571791483113069,-4.0,-4.764338164852406,0.0,2,2,84,242,143,113,1
35,0.5713362701908957,-1.2779435594179618,-3.191080859125318,0.6556653228700549,3,1,31,226,256,178,1
25,0.5707195301027901,-2.67673329547057,-1.59096951319294,0.185361493901003,3,3,32,159,145,0,0
5,0.5703964757709251,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
23,0.5701027900146842,-3.9906760293151624,-1.3292987995346799,0.12171300958408073,1,0,37,187,0,102,0
27,0.5698825256975036,-3.6901202768891808,-1.8730901375486093,0.6199229132035681,2,3,58,63,236,115,1
38,0.569265785609398,-1.2283388046484043,-3.742332479854359,0.6617462783777391,4,0,86,56,256,256,0
8,0.5690161527165932,-4.0,-3.646407653065488,0.0,0,2,180,198,160,57,0
11,0.5689574155653451,-3.423078724912147,-2.9163790713485245,0.0,4,1,63,141,256,89,0
15,0.5671953010279002,-4.0,-1.0,0.0,0,2,256,0,0,0,1
39,0.5669750367107196,-4.0,-2.8021467307501173,0.40111396806926464,3,3,8,24,256,25,1
33,0.5663142437591777,-1.2482773405238206,-3.7653487817440414,0.22368506185054307,4,2,45,52,253,182,1
7,0.5661674008810573,-4.0,-3.532960396092396,0.5838776893447158,0,3,166,141,216,256,1
45,0.5627312775330396,-2.3965742762225313,-1.0060800134215029,0.14420498156696568,0,1,15,189,164,92,0
17,0.5620558002936857,-1.879085331426995,-1.0,0.0,0,3,109,256,97,51,1
22,0.5602055800293685,-2.2615675460804487,-4.040752706233618,0.05930902167611017,1,3,180,70,27,236,0
4,0.5579441997063143,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.5558443465491925,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.5557415565345081,-1.5650231076847803,-3.4539619389497274,0.2475478159195791,4,1,214,91,256,1,1
9,0.5524082232011748,-4.0,-4.92381366461431,0.40558901461626157,3,1,148,103,62,200,0
37,0.5475183553597651,-1.9314028514379746,-3.195070463580069,0.0,4,1,179,122,249,256,1
19,0.5167107195301027,-4.0,-5.0,0.07247874439863523,4,3,256,139,246,192,1
18,0.514302496328928,-3.3474661230015967,-1.3974321967709757,0.0,3,1,21,0,56,256,1
30,0.5082525697503671,-4.0,-3.727176916400628,0.0648850027371453,3,1,99,146,86,226,1
12,0.5,-0.34011318353258346,-5.0,0.5342133840878405,0,0,169,0,256,222,0
29,0.5,-1.1683952707406648,-1.2170784666951562,0.5135310068964495,4,1,8,124,233,256,1
34,0.5,-0.531252075373517,-1.2077812187659003,0.0,4,2,183,219,256,256,1
42,0.4444640234948605,-3.5244933524839115,-4.764861313566441,0.5919995941816145,1,1,8,200,256,244,0
21,0.42305433186490454,-4.0,-3.4678287101599743,0.5176778412030566,4,1,75,201,67,0,0
