trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.9242099287201161,-1.2312318274308134,-4.755844164443955,0.438478803741375,3,0,59,95,57,87,1
39,0.9192003616560483,-0.8456157743944757,-4.867713901072712,0.025328412756822342,1,0,8,90,64,66,1
1,0.9101116507916482,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.9097016337601715,-1.030219552526534,-4.877342454437249,0.6476634074098501,0,0,23,98,24,58,1
17,0.908949935869131,-1.0838942478572182,-5.0,0.20870960712710812,1,0,192,194,76,97,1
12,0.9021110620492441,-1.0494006946721668,-3.703161276953904,0.4454590405627996,2,3,34,232,70,122,1
23,0.8928173426691057,-0.8660395643056269,-4.67481865705147,0.6697873807271109,3,0,88,135,28,59,1
49,0.8909880359132866,-1.6873284543175786,-2.6017098627193103,0.27499429132891107,3,2,138,191,20,71,1
7,0.8832082255724469,-0.3,-5.0,0.0,4,0,8,0,0,256,1
33,0.863958451607477,-1.0971304946205644,-3.956389433652691,0.44272975747966,2,1,151,100,62,123,1
35,0.8306892491431696,-1.070984695899495,-4.854208677684235,0.09638958301307168,2,0,139,165,52,75,1
4,0.8135000735928005,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.7972097815345149,-1.048783260622756,-4.6046423943474055,0.6189932412049619,2,0,114,124,157,86,1
38,0.7702905864294876,-1.0987604270591143,-4.735014669139787,0.6494685268453543,1,0,31,249,138,90,1
37,0.7525547215038164,-1.2841600521902587,-5.0,0.5108775808328926,4,0,203,95,22,92,1
26,0.74083243970647,-1.9646095594947521,-4.954915954088434,0.2906767274922707,4,0,93,144,0,88,1
25,0.7291259277949496,-1.0496195424730903,-4.489725963513498,0.19272399209373128,3,0,9,99,176,52,1
43,0.7231859374671461,-0.9081157648034259,-5.0,0.45557935763039076,1,0,255,80,0,69,1
9,0.7091086860531131,-3.2702824362018537,-5.0,0.7,0,1,65,256,256,0,1
31,0.7036102525284385,-1.2530897887104446,-4.073645070990324,0.34763972036172464,1,1,47,114,60,28,0
45,0.700293319876364,-1.001754814260491,-4.643226785935764,0.2558983491153608,2,0,8,228,15,64,1
3,0.6958777518450766,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.6526209550242856,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
24,0.6519323366765493,-1.2022981565258353,-4.567075098381379,0.2579944235490771,0,1,179,123,122,45,1
47,0.6511123026135958,-0.7746369584476462,-4.89538085484509,0.038293857171124296,0,1,219,164,61,86,0
50,0.629886036291764,-3.106911777820768,-2.537376646418536,0.005273550760459779,1,2,176,49,16,62,1
46,0.6172701276309426,-0.9755691943462099,-3.5430622681618633,0.5530815599782969,2,3,146,233,114,124,1
32,0.580747072057865,-1.5268124401301737,-4.546888755609071,0.618492663459542,2,0,35,113,105,59,1
42,0.5595102924788158,-1.0848296414240717,-4.723969545907544,0.009899411913066501,1,0,53,117,67,90,1
28,0.507664164511449,-0.6365102432939325,-3.5885991233324095,0.29448785613857414,1,0,70,94,0,0,1
10,0.5,-0.3,-3.644720676626517,0.40494812778573847,4,0,8,0,0,256,1
6,0.5,-0.3,-1.0,0.0,4,3,8,0,0,0,1
16,0.5,-0.49457940260072286,-3.980356761141802,0.5884291263453334,3,2,34,158,41,80,1
14,0.5,-1.4849266783010702,-3.7143162984978755,0.5981000271459135,0,2,8,16,141,255,1
44,0.5,-0.4982996534492843,-4.836124059373924,0.3959305447560571,3,0,246,159,83,89,1
41,0.5,-0.760838092276134,-5.0,0.3556920823065161,1,0,153,123,182,59,1
34,0.5,-1.0087993592146276,-3.789731202227424,0.5072390948050348,3,2,32,202,79,51,1
22,0.5,-1.0592794213813632,-4.377043386882281,0.376890280153463,2,2,176,111,78,162,1
11,0.5,-0.3,-4.722903049289541,0.47283406109483217,3,1,8,220,25,199,1
21,0.5,-1.2433937779550637,-4.771181846961901,0.4110610628916802,1,2,65,202,77,196,0
19,0.5,-1.2657554126982644,-4.503622929268156,0.39631557118455724,0,2,246,255,76,63,1
20,0.49938497445278496,-1.1449002888476625,-4.316157329394938,0.5460648556716006,2,3,47,115,58,19,1
18,0.4794518387686873,-1.005814035291937,-5.0,0.0,4,0,86,102,6,254,1
30,0.47317016758131997,-0.6785041881116998,-4.826929497188218,0.45611158675619584,3,0,28,36,114,110,1
15,0.3543545911394268,-1.377447402570119,-4.9230548519676445,0.15212146079452926,2,1,52,173,249,209,1
27,0.3175634475073067,-0.887965362220204,-3.881813050052854,0.11454570713286638,1,0,245,54,134,0,0
48,0.27167307975356925,-0.9602600484554928,-4.793332069301013,0.6589146982719428,4,1,66,33,26,49,1
8,0.22617695914548244,-4.0,-5.0,0.7,0,3,256,256,81,0,1
5,0.22335414958262367,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
36,0.1808175108812212,-0.9123426616999226,-4.12025636294923,0.4305059497827324,3,1,27,109,87,67,1
