trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
25,0.8517281440604125,-0.3,-5.0,0.05257097753138583,2,3,230,256,0,0,1
17,0.8486024093052847,-1.1631453338893332,-3.352230821849254,0.12931766224475297,4,1,93,99,71,106,1
4,0.8482566421863547,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.8480146052031037,-0.3,-1.6068539653652292,0.361625044413557,3,3,180,32,28,36,1
6,0.8464586531679185,-2.8367753480504034,-4.998854102428359,0.12976802968830997,4,2,29,223,116,200,0
14,0.8463203463203463,-2.1855439147085747,-1.5740461180629155,0.1199337413322401,3,0,8,0,239,111,1
1,0.8459745792014162,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.8457463729029224,-0.3,-1.0,0.0,0,0,253,256,0,37,0
37,0.8457256268757867,-2.5204550879572976,-3.0561326914993554,0.7,1,3,8,256,256,256,0
35,0.8457048808486509,-4.0,-5.0,0.0,2,3,256,98,256,124,0
40,0.84551125126205,-3.9803076994363833,-1.2241055462231105,0.0,2,2,241,42,0,73,0
9,0.8450894153769554,-0.5792095245112718,-4.146519699699766,0.5925097638229456,4,0,226,250,46,5,1
23,0.8449649392141405,-0.3,-1.3121526598613502,0.48073360936664,4,1,9,123,210,210,1
10,0.8448197170241898,-0.34530552540807724,-1.8318136167615031,0.2519508309465485,3,3,242,234,6,12,1
24,0.8447298175732681,-4.0,-1.0,0.0,0,0,256,0,0,256,0
33,0.8446468334647247,-0.3,-1.0,0.4913410121761031,2,2,146,179,0,0,1
43,0.8446330027799678,-0.8873996818408352,-1.214896028090663,0.024973133526656657,1,1,22,218,45,232,1
3,0.8446330027799678,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.844453203878124,-3.277646737648243,-3.846307421006915,0.11452400094760198,4,1,256,12,252,250,1
15,0.844314897030552,-1.7742876591873395,-5.0,0.7,4,0,256,37,256,256,1
11,0.8441904208677372,-0.7153906509410621,-4.654145601511683,0.028855269904703076,4,3,100,241,256,60,0
20,0.84417659018298,-1.849009671296173,-1.372903826716903,0.42714035878947165,3,2,210,154,38,83,1
22,0.8439483838844861,-0.3,-1.0,0.39007832181664287,0,0,256,215,0,34,0
5,0.8439414685421075,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.8438999764878359,-1.829615034981157,-4.7392647445758564,0.004415089114222479,1,2,256,12,0,14,1
49,0.8435058019722557,-1.9827664363675828,-1.5072701090507765,0.0,1,3,256,216,0,219,0
31,0.8432499343042473,-4.0,-3.5918285604051103,0.6836351433316672,4,1,256,144,0,86,0
19,0.8428903365005601,-4.0,-5.0,0.3541983906401679,4,3,8,256,256,256,0
42,0.8425169080121158,-2.365055690954942,-1.7035112492245288,0.0,2,0,45,79,256,251,1
2,0.8424823313002228,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.8423440244526506,-4.0,-4.748393550420002,0.2791788122920772,3,2,117,239,156,118,0
46,0.8412928924111033,-2.556532974867843,-3.0634242118195205,0.7,1,0,256,185,0,255,0
41,0.8412859770687247,-4.0,-3.7032435340150167,0.0,0,3,256,130,221,124,0
21,0.8402832524238276,-4.0,-1.0,0.19037739391477376,0,0,8,67,256,0,1
8,0.8395571414740745,-3.484852477477931,-2.5649763585477356,0.4201319829520055,1,3,79,52,252,132,0
39,0.8389831680566506,-3.642791002938698,-1.0522787944006016,0.0,2,1,103,199,0,254,0
50,0.8381948190254899,-2.417449945945723,-4.971750565439177,0.507899176203985,4,1,232,65,20,46,0
13,0.8372197557501071,-0.6243665023507288,-1.7210614835151485,0.21787950662289898,3,0,164,128,27,122,0
16,0.8370122954787492,-1.6101215549186132,-4.819714882225445,0.2709808303336119,3,0,71,217,210,112,1
30,0.8365420521970044,-4.0,-5.0,0.38681156225040914,0,3,138,256,32,256,1
28,0.8337275078489137,-4.0,-5.0,0.07192832710639777,1,3,8,256,0,168,0
32,0.8312448999349957,-4.0,-2.394363376620782,0.20953723227871396,3,3,241,89,174,154,0
29,0.823541208525234,-0.3,-2.9898414897972043,0.16432925851679334,0,3,256,0,256,37,0
45,0.8156438875288716,-2.9344620253533273,-1.0070308447780825,0.7,1,3,8,10,0,122,1
36,0.7748295368103674,-3.7405747528179494,-1.1856751177158737,0.7,3,3,8,256,134,233,0
48,0.65745543061837,-0.7923290634690261,-1.9518954862038913,0.0,4,2,256,119,0,170,0
18,0.65280832053995,-4.0,-1.0,0.7,0,3,8,0,256,256,0
12,0.5,-0.7777500932424535,-2.951737178678017,0.5355443601950662,2,2,241,47,219,43,0
38,0.5,-0.3,-1.0,0.7,0,1,8,256,99,256,0
34,0.17037329018159686,-4.0,-1.0,0.32084606088345863,0,3,8,0,0,0,0
