trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
8,0.8896025849150848,-3.64163695604321,-1.4652697318223051,0.0,3,3,243,255,145,246,1
25,0.8606315559440558,-0.3,-1.823587457334487,0.0,3,3,253,167,256,256,1
34,0.859835477022977,-2.5362852651088605,-5.0,0.0,4,2,47,131,68,114,0
30,0.8569477397602399,-0.9275213313999426,-4.389330155405428,0.025467019408720495,1,3,256,0,256,166,1
42,0.8558941058941059,-3.4086255259572535,-2.88551447051185,0.5373035861382404,4,2,146,36,62,74,1
14,0.8540756118881119,-0.3,-5.0,0.07293548199381125,2,0,72,21,102,26,1
4,0.853638548951049,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.8474104020979021,-4.0,-1.0,0.0,2,3,242,245,178,0,1
13,0.843289522977023,-0.3295044088994623,-5.0,0.3403729700105901,3,1,12,20,143,187,1
21,0.8431958666333667,-4.0,-3.1918791337431234,0.0,2,0,8,0,0,0,1
17,0.8397930194805194,-1.7352239411205304,-3.6549292412077126,0.49149296632156425,2,1,99,19,183,203,1
9,0.8376233141858143,-0.3,-4.016738859578042,0.0,4,3,256,0,105,256,1
46,0.8371706418581418,-2.72890127024153,-1.0,0.4728543604163659,4,0,51,19,15,0,1
47,0.8368740634365633,-1.4600943687702315,-5.0,0.3073892044797991,4,3,61,214,208,1,1
24,0.8357501873126872,-0.3,-5.0,0.0,3,2,165,171,232,245,1
45,0.8324409965034965,-2.0567101962167085,-5.0,0.08519444721565664,4,3,15,176,254,67,1
1,0.8280859765234766,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
41,0.8235592532467533,-1.0669238710240792,-1.3914298012780795,0.0,0,0,55,149,235,217,1
16,0.8229817057942059,-1.404226045914335,-1.0,0.0,3,1,78,114,256,20,1
50,0.8221075799200799,-3.7778287048272428,-1.702591276918083,0.2856299657939296,4,0,181,139,9,167,1
32,0.821670516983017,-0.3,-1.920532433901732,0.0,3,3,256,256,0,224,1
33,0.8211866258741258,-1.6884163706517543,-4.138125415690413,0.4463267517249442,4,1,95,62,203,199,1
39,0.8149194555444556,-2.452045583807827,-1.0,0.538442065133311,2,2,12,212,62,101,1
35,0.8097917707292707,-3.6974040296195527,-5.0,0.0,0,3,215,158,31,9,1
6,0.8013783091908091,-0.3,-1.0,0.0,4,3,256,0,0,256,1
40,0.7992710414585413,-3.7316503503851486,-1.0,0.7,1,2,98,16,146,220,1
43,0.7963598901098901,-3.667468913711513,-2.625849125125431,0.07012255000894481,2,2,256,256,256,256,1
23,0.7915912212787213,-0.3,-5.0,0.510905042738345,3,3,141,0,236,218,1
2,0.7908107517482518,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.7906390484515485,-0.6632481525165086,-2.155160520135986,0.6337818539686991,3,0,115,221,0,18,1
22,0.7854723401598402,-0.3,-2.5241076343303868,0.0006708024709894413,4,3,256,256,0,256,0
11,0.7827953296703298,-3.0357388980961533,-5.0,0.18843662892464216,3,0,8,256,0,0,1
20,0.7824441183816184,-0.31242999349975564,-5.0,0.7,4,1,62,256,4,157,1
38,0.7757008616383616,-0.8095656169033925,-1.0,0.7,4,1,74,3,187,224,0
10,0.7722277722277722,-3.0025051983778837,-1.0,0.0,4,3,256,0,100,256,1
19,0.7710492632367634,-3.8529819751115357,-5.0,0.7,4,2,80,216,256,26,0
7,0.7546750124875125,-1.789074642784696,-3.3024352468972014,0.6929870965991709,1,1,152,161,256,73,0
48,0.7524662837162837,-1.2655284199614267,-2.6714655821827513,0.5077841020410143,3,3,214,84,112,29,1
18,0.7371612762237763,-2.1449801886965023,-5.0,0.0,0,1,27,9,256,152,0
37,0.7186875624375625,-0.6090692227270478,-1.0,0.7,0,3,252,102,63,133,0
28,0.7107267732267732,-2.175809315304452,-1.0,0.39492494075436646,0,3,170,251,227,0,0
44,0.7098682567432568,-1.2017864159211045,-5.0,0.13645150223629443,0,1,70,91,233,247,1
49,0.6972090409590411,-3.3611185202712717,-1.0,0.7,4,3,55,43,205,192,1
3,0.5944212037962038,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.5,-0.3,-1.0,0.39210915738169255,3,3,245,256,111,230,0
29,0.5,-0.3,-1.0,0.2833168832474933,4,0,116,18,44,189,0
26,0.5,-0.3,-1.0,0.2707697684660671,1,3,26,0,162,184,1
36,0.5,-0.4770811341509944,-5.0,0.49818277604438654,0,3,87,100,216,34,0
12,0.47380744255744256,-0.3,-5.0,0.6114165537487769,0,1,8,256,159,0,1
5,0.37652972027972026,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
