trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6499068100358423,-3.1437715469144827,-4.23338401162059,0.12879033785275654,1,3,256,0,111,177,1
1,0.6462078853046594,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.6451612903225805,-1.5984628382471957,-3.2575166824305564,0.4426281682357296,3,3,73,49,0,33,1
42,0.6403870967741935,-4.0,-4.3541827248872425,0.2602711253531923,4,0,8,9,0,206,1
17,0.6369462365591398,-1.1056166662969908,-5.0,0.7,0,1,8,46,0,0,1
45,0.6336344086021506,-0.3,-3.280877482401022,0.7,0,1,8,256,0,60,1
44,0.6316129032258064,-3.6234469836510015,-3.2257984305961775,0.02890685844966051,4,0,256,256,0,215,1
31,0.6302939068100358,-2.6140129602763995,-5.0,0.6079531327116502,1,3,247,0,256,0,1
49,0.6282867383512546,-2.817398520779638,-4.294964001161435,0.6784743723911061,3,2,93,32,124,173,1
20,0.6277419354838709,-0.8785291524393153,-5.0,0.5197405161522575,2,1,81,160,78,0,1
36,0.62,-2.054911099287086,-5.0,0.024617739478440058,1,3,256,0,0,256,1
8,0.6179641577060933,-2.15617167942479,-5.0,0.7,3,0,225,40,102,134,1
19,0.6176200716845879,-1.6021847338166562,-5.0,0.40475642812858054,3,0,8,130,0,0,1
32,0.6166451612903227,-0.7090670377230341,-4.195818096721838,0.1399816775510747,4,1,8,0,139,1,1
9,0.6148243727598566,-2.5022782781124984,-1.0,0.0,2,3,8,0,0,0,1
18,0.6143225806451613,-1.2612751651802876,-5.0,0.7,1,3,21,41,75,0,1
40,0.6132043010752688,-3.2133471779353617,-3.3301634768307107,0.6893907532931468,2,3,8,0,215,80,1
14,0.6094480286738352,-1.7135526351312653,-1.0,0.0,4,3,8,106,0,0,1
21,0.6071254480286739,-0.8430349684870837,-5.0,0.6536030094097952,2,1,256,139,0,88,1
22,0.6037706093189964,-1.7137574414294985,-4.472734478761243,0.3030707101904928,3,1,8,82,51,0,1
29,0.6034265232974911,-2.7908465164813387,-5.0,0.4668816923015279,2,3,36,256,0,256,1
4,0.6005017921146952,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.5992258064516129,-0.3,-1.0433318440251194,0.14282482525443194,0,2,73,0,0,0,1
12,0.5982078853046595,-1.6847179175051727,-5.0,0.7,0,0,256,0,46,256,1
41,0.5942939068100358,-3.0928426179671753,-3.5535511367669526,0.6436711957059035,0,0,256,256,237,187,0
2,0.586910394265233,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.5848745519713262,-2.1865762982261687,-5.0,0.4973647820619561,1,3,8,256,0,0,1
16,0.5839139784946237,-1.4351999115110385,-4.037408859441301,0.5894287049882625,2,1,238,160,173,63,1
25,0.5834982078853046,-0.9908454007846239,-3.7617240049607075,0.022656003998919996,4,0,8,125,0,181,1
28,0.5834121863799283,-0.7936492498087184,-1.7024793385918837,0.07206695993115746,3,3,8,0,137,0,1
48,0.5831397849462365,-2.8291228229598566,-4.675191107483946,0.024123476621775854,3,0,39,0,0,0,1
30,0.5818637992831541,-1.063101801706762,-2.446305370836247,0.4725150351621054,3,0,8,0,0,9,1
33,0.581405017921147,-4.0,-5.0,0.15684556310882,1,0,103,256,256,0,0
47,0.5810322580645162,-0.5682604299155467,-4.236741188266125,0.11270681223311761,0,2,103,13,43,256,1
35,0.5805017921146953,-0.3,-5.0,0.013115440248733604,1,0,256,256,256,0,0
37,0.5766594982078853,-2.9895351601206013,-4.4461637396328815,0.5600938112485857,4,2,256,0,256,63,1
15,0.5748817204301074,-0.41342326353170566,-4.466575751210442,0.5148693284513574,4,2,100,76,148,189,1
3,0.571168458781362,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.5703082437275986,-4.0,-1.0,0.7,0,3,8,256,0,0,1
10,0.5591254480286738,-0.3,-2.3186070491880497,0.007946476963100977,4,3,8,256,0,0,1
34,0.5589820788530466,-4.0,-1.0,0.0714884609949569,3,0,8,0,0,256,0
11,0.5094193548387097,-4.0,-3.099215222453452,0.6452928870968285,3,1,63,19,117,0,1
43,0.5,-1.1951406166786862,-2.8926935589107763,0.6178839773763826,1,2,123,48,51,139,0
13,0.5,-0.3,-1.0869034079208495,0.5738707957041416,0,2,148,255,116,235,1
7,0.5,-0.3,-5.0,0.7,0,0,8,256,256,0,1
24,0.5,-0.3,-2.735475405798916,0.35522145065962896,4,3,8,16,256,129,0
27,0.5,-0.3,-3.7950700169844764,0.7,1,0,8,110,92,64,1
46,0.4745949820788531,-2.9877978210864526,-1.7901079239969384,0.0,4,0,8,0,0,101,1
23,0.42000000000000004,-4.0,-4.899984711576845,0.30378363311497014,0,3,44,14,256,156,0
5,0.41068100358422943,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
