trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
19,0.6728222996515679,-3.2049494973353454,-5.0,0.0,3,1,256,40,228,96,1
44,0.6594773519163764,-3.1795553090811475,-5.0,0.047201268841171706,2,1,239,0,256,245,1
23,0.6375435540069687,-2.5527038329263103,-5.0,0.21081517401539804,1,1,8,96,141,83,1
24,0.6373170731707316,-0.4220029599094879,-5.0,0.00642138244951072,4,3,256,47,256,33,1
49,0.636341463414634,-0.9970250142818027,-3.524075553942785,0.04290966390582837,3,1,256,103,256,20,1
3,0.6294773519163763,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.6289547038327526,-3.8732350579462302,-1.0,0.0,0,3,180,256,0,62,1
36,0.6278397212543554,-2.6071166023188495,-2.4647412636432477,0.06487284717548937,2,0,196,103,218,153,1
48,0.6264808362369337,-3.84358042965694,-3.085220589392918,0.6185688579554124,2,1,8,234,256,242,0
1,0.625383275261324,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.6250871080139373,-1.807068974543614,-4.331212969655004,0.5141546011072272,3,1,179,103,32,149,1
30,0.624355400696864,-3.701317715820834,-5.0,0.43235665213100255,0,3,8,256,156,185,1
32,0.6232752613240418,-3.2162703266805566,-1.3368482467396792,0.31746844600872753,4,0,247,37,143,141,0
40,0.6218466898954703,-3.6968444191907053,-5.0,0.0,3,1,223,61,234,67,1
5,0.6205923344947735,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.6191811846689896,-3.185135761086328,-3.194468437964435,0.5694056817735624,4,3,197,151,166,242,1
42,0.6157665505226481,-3.6668375295321325,-1.1031471498374632,0.4609859635975723,0,3,8,256,256,165,0
39,0.6153310104529617,-2.6341879066788065,-3.0430301608993418,0.7,1,2,73,44,144,138,1
12,0.6141463414634147,-1.0834792801115913,-3.9697134890376162,0.6579178188191654,3,0,98,154,130,22,1
4,0.6128919860627178,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.6123170731707317,-3.1957009411573845,-1.950487015525653,0.5457862455995218,3,1,105,0,256,47,1
41,0.6116376306620209,-2.557439388336011,-1.1192759892370092,0.47538935864420706,1,2,256,84,256,219,1
28,0.6116376306620209,-3.1313957556359355,-1.0,0.5604791515489652,4,0,8,256,237,54,1
21,0.6115156794425087,-3.217566394067721,-5.0,0.050176384439560164,1,1,256,58,134,94,1
43,0.6112543554006968,-0.44332571485203776,-2.0367946792140237,0.6123512574432587,1,1,33,23,8,206,1
2,0.6057839721254356,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.6025261324041812,-3.9093288646562314,-1.0,0.12306256807738947,4,0,243,143,2,159,0
14,0.598170731707317,-2.0843091989151747,-4.648833963348308,0.3548867731719221,1,2,191,114,41,95,1
22,0.5971951219512195,-3.1024528551396746,-1.0,0.19100304656017197,3,0,256,36,232,203,1
38,0.5921602787456446,-2.508541199253485,-1.0,0.5249637060988248,4,1,161,116,166,23,0
37,0.5912891986062717,-3.610875751537963,-5.0,0.6051390875965468,2,3,236,227,180,89,0
16,0.5886585365853658,-0.8843730545193362,-1.500904206683375,0.7,2,1,118,120,193,224,1
11,0.5856445993031358,-2.016590978686842,-5.0,0.36264117342891034,3,0,243,211,248,220,1
17,0.584006968641115,-1.934723115906786,-1.0,0.5927429622463185,0,2,105,98,154,231,0
13,0.583588850174216,-2.09491796561264,-1.0,0.3221896715025303,1,3,8,33,82,114,0
18,0.5828919860627177,-2.341654056293568,-4.610892093000884,0.621633383490613,2,1,143,2,239,252,1
47,0.5806968641114982,-1.1443000989005419,-2.8146716396704923,0.0,2,1,154,246,4,160,1
34,0.5804355400696863,-3.1859090072022016,-4.244037642535915,0.0,4,1,122,229,127,6,0
9,0.5678397212543554,-3.7137676539436035,-4.499735082961498,0.14648228949063913,3,2,9,38,43,112,1
20,0.5619512195121952,-3.7445343604521546,-5.0,0.0,0,0,256,10,212,1,1
29,0.5547735191637632,-3.2383977726570574,-1.4478496829005238,9.609102304216323e-05,1,2,147,100,256,84,1
35,0.513623693379791,-3.031444910921827,-5.0,0.6709868292356725,4,1,131,98,211,0,1
31,0.5,-0.5833540335213301,-3.2475244194718296,0.6488134454607533,4,2,188,256,0,205,1
25,0.5,-0.3,-5.0,0.569658665960998,4,2,256,120,155,74,0
7,0.5,-0.3,-1.0,0.7,4,3,8,48,0,63,1
6,0.5,-0.5949004294881903,-1.003636928810756,0.21071377321898502,2,0,49,243,127,140,0
50,0.5,-0.9804608754424313,-1.713816758142746,0.08909948723956085,0,2,8,256,0,215,0
15,0.4696864111498258,-4.0,-1.8462005984680472,0.025765493699870443,1,3,155,0,34,112,0
45,0.43118466898954705,-1.6227856038764341,-2.0129802417535965,0.4755893123754511,3,1,192,49,58,120,0
8,0.4085017421602787,-1.2940122365206994,-4.5541974643938925,0.13729732102977246,3,1,238,21,144,253,0
