trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.6365853658536585,-2.597055145245304,-2.822765603390459,0.10219753711914138,0,0,8,94,217,232,1
47,0.6208362369337979,-2.7956004297825325,-4.327780416993104,0.23822587977078255,0,0,15,125,244,3,1
49,0.6205749128919861,-1.131879690026722,-5.0,0.3126826807642591,3,1,8,31,35,17,0
7,0.619965156794425,-1.7374850204071364,-1.5672866094200213,0.06515679558117693,4,1,247,193,96,28,0
27,0.619616724738676,-2.7194356084939777,-4.345510133821681,0.06938110374390469,0,0,8,256,73,208,1
35,0.6180836236933798,-0.7805750416619066,-1.0,0.0,1,1,241,238,162,13,0
10,0.6171080139372822,-1.1879862079904289,-1.2393150244747098,0.3053147249017101,4,2,117,159,0,120,0
8,0.6168641114982578,-3.951466598411383,-1.3564525658653999,0.020203684259694998,1,2,237,242,50,104,0
32,0.6168292682926829,-1.956123164332677,-4.30840157755947,0.21061664323366033,1,2,12,250,116,50,1
39,0.6156271777003484,-3.2761991348639317,-4.562393997137725,0.5483193923805613,2,3,256,233,179,162,1
24,0.6147038327526133,-3.3527733673176927,-1.1161334807325565,0.6761883079481317,1,0,219,243,124,139,1
36,0.6133449477351917,-1.905742359764941,-1.3909653616822388,0.311801868414624,2,2,139,253,86,54,1
21,0.61198606271777,-2.647338692860873,-5.0,0.05336770573320712,3,2,41,169,140,55,1
15,0.6119512195121952,-4.0,-3.03686476222459,0.7,2,0,216,256,135,130,1
5,0.6116376306620209,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
31,0.6114808362369338,-1.847028049668996,-3.8479209090243307,0.0681800921442696,2,3,8,253,75,67,0
13,0.6114111498257839,-1.9609930374617064,-1.0,0.47881958556980736,0,0,8,0,0,0,1
22,0.6112891986062718,-1.5446648152256945,-1.4627444934450513,0.039535663974495726,3,0,256,135,193,110,0
11,0.6110801393728224,-2.7862874622276914,-3.702111871482117,0.0,4,2,106,119,256,0,1
1,0.6104355400696864,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.6099303135888502,-1.9095913505598876,-1.0,0.0,0,3,227,220,178,63,0
38,0.6099128919860628,-2.1517581936949592,-4.255246378062331,0.15562186120401938,2,3,8,79,174,18,1
18,0.609581881533101,-1.7068724788793652,-1.0046321807898417,0.009601097544173891,3,3,245,218,17,255,1
26,0.609390243902439,-2.0061183295698095,-4.377278825326286,0.45583407505536394,2,3,256,128,68,193,1
42,0.6083275261324042,-2.8375350504539254,-4.728010482121634,0.02299784319240308,2,3,8,195,100,109,0
3,0.607595818815331,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6070034843205575,-0.47492497595469896,-1.5203822673315202,0.24771348233756155,3,3,122,80,41,146,0
20,0.6068815331010454,-1.235186757209196,-3.38602285242239,0.32954076955125516,3,2,44,140,73,67,1
19,0.6068466898954703,-1.5337079389816588,-1.0,0.14236416704368415,2,3,141,141,220,0,0
2,0.6066027874564459,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.6056097560975611,-2.5005857002325342,-2.6532550493070772,0.39521321615923116,3,1,8,163,79,183,1
4,0.604425087108014,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.602439024390244,-1.6915196506680594,-1.2999389741474414,0.6689958563883696,0,0,32,168,56,193,1
23,0.6018292682926829,-0.5375644699013251,-1.0,0.16843608063710522,3,0,190,195,237,18,0
50,0.6010452961672474,-3.2203275878924673,-1.0,0.45902114688009743,1,1,256,71,130,47,1
12,0.5987804878048781,-3.047736546100733,-3.3641089141239178,0.4320753999632402,0,3,187,46,184,130,1
25,0.5945470383275262,-2.5349427937846443,-4.1358775614688845,0.47408802780179515,0,3,256,0,171,11,1
37,0.5905923344947736,-3.9672910364962286,-4.911458344647172,0.22218578887112306,2,2,10,107,127,234,1
9,0.5886585365853658,-1.615574993488765,-4.523057289851531,0.5961677639273052,0,0,213,230,240,52,0
41,0.5770383275261324,-1.3426597873606947,-4.860734091760816,0.0,4,2,256,48,9,210,1
14,0.5667770034843205,-0.3,-1.8787825899532509,0.4164049639081484,4,0,22,56,178,96,1
46,0.5454878048780488,-3.3305637507424146,-2.4119787935356345,0.28108715579956234,4,3,8,15,220,171,0
29,0.5333623693379792,-3.4236736342212457,-2.0933388367722383,0.36981756262857524,4,2,165,248,134,20,0
17,0.5,-2.684171179831978,-1.0,0.4132629025813953,3,2,256,0,171,55,0
6,0.5,-2.0402517889761995,-1.566762237971807,0.01780263895335812,3,2,197,128,53,220,0
16,0.5,-0.3,-4.976426729014529,0.2643025941087355,2,0,43,256,153,14,0
34,0.5,-0.9384707559836021,-4.7705984816692615,0.18441887510571223,2,2,128,120,171,105,1
28,0.5,-1.0317032342334813,-1.0951971136691347,0.32269737219951866,1,0,110,56,210,51,0
45,0.5,-2.0104149978248715,-1.2477629783969504,0.21756664261680864,3,0,256,119,93,113,0
44,0.4031358885017422,-3.5183572564006926,-4.0744809316147395,0.39908503025578995,2,3,116,52,46,161,0
