trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.6998180566483084,-3.1500369380164432,-3.3926982230662333,0.3078197434110944,1,0,71,123,209,216,1
33,0.6950481904012588,-4.0,-4.1745664212829725,0.5146633427278217,4,2,207,94,227,94,1
15,0.6947531471282454,-0.7572198272754136,-3.953946655167406,0.4576761829843005,0,0,198,96,229,72,1
48,0.6930812352478364,-2.167437980015186,-1.9570621889726314,0.43757904418156823,4,3,216,231,155,38,1
30,0.6928845397324941,-2.0837052863994616,-2.4693090675169556,0.271950192489964,2,0,226,150,138,14,0
22,0.6892702596380802,-1.040541909047537,-5.0,0.4678456510901324,3,1,74,87,120,130,1
28,0.6886064122738003,-3.1196846510649188,-3.6067231824690733,0.46195941351592723,1,0,74,107,172,225,1
26,0.6874016522423289,-2.1206742938831264,-1.1064724264321364,0.5953535788536056,2,3,252,133,60,34,1
17,0.6872295436664044,-3.3286439014955995,-3.5837575892842564,0.4030526830622377,0,0,163,89,118,123,1
39,0.6851888276947287,-2.523889381401797,-2.765374403399067,0.5791959660873903,4,0,29,127,4,69,1
49,0.6843036978756885,-3.1408899072591665,-3.6406015926836535,0.3496915775493067,4,1,130,174,200,28,1
23,0.6838365460267505,-1.2607962100850516,-2.371721497353921,0.451027884612478,2,3,239,146,220,77,1
3,0.6819433516915814,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
29,0.6818941778127459,-0.5603408740864722,-2.6215961280492452,0.6718230898885619,3,1,76,97,202,71,1
20,0.6815745476003147,-3.5414651736365172,-2.411072557178125,0.5388934518588686,1,2,222,119,197,252,1
1,0.6798780487804877,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.6780832022029898,-2.1087012610907054,-3.0526144375854702,0.27451061939126026,3,2,176,146,68,120,1
8,0.6704612509834775,-3.0266365723518955,-4.913158876508131,0.4810197712067974,2,0,37,143,113,171,1
4,0.6701662077104641,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
34,0.6594463021243115,-1.4768646264060243,-4.183462341412837,0.5201399595709468,3,0,243,102,212,55,1
5,0.6589914437450826,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
14,0.6580202596380803,-2.042304068534262,-4.829978539887263,0.40874142032761546,1,2,15,113,38,118,1
42,0.657036782061369,-3.2315992256077735,-3.033220144389775,0.11421998799400508,3,0,181,32,75,207,1
47,0.6545535011801731,-2.426338348881334,-3.3284781439643347,0.39246018643488007,0,0,168,128,189,33,1
6,0.6524881982690794,-0.3,-5.0,0.0,4,3,256,0,256,0,1
44,0.651861231313926,-3.388473037498335,-3.2970650290774035,0.17045584261720712,2,2,228,156,25,239,1
9,0.6514801337529506,-3.865282315988467,-4.47980513969367,0.12800651301174465,0,2,85,255,216,57,1
18,0.6494640047206924,-2.9454876181681673,-2.3024949427680306,0.3105609396237939,3,1,42,79,242,77,1
12,0.64882474429583,-2.160015032145685,-2.1177033220353536,0.6758245997929333,2,1,185,103,256,141,0
21,0.6461939417781275,-2.847773233470335,-2.6140926536157623,0.5480829212971032,1,2,218,92,71,112,1
36,0.644669551534225,-2.081329779545987,-1.0,0.2230432233241534,0,3,196,170,248,90,1
2,0.6396784028324154,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.6308516915814321,-3.4901216847663132,-4.669935120829728,0.09085990724860796,0,2,223,115,238,138,1
31,0.6306795830055075,-0.8918049377051775,-2.449981036696454,0.33328172530718236,2,0,251,123,63,97,0
45,0.6275078678206137,-2.2961585087920175,-3.3370661448167804,0.15989680989853838,0,0,190,36,105,112,1
46,0.626008064516129,-2.579462551725218,-1.5954218827044087,0.38641055998775453,3,0,128,184,115,180,0
38,0.6211644374508262,-3.0801952004098903,-3.921086006457383,0.6300225190468015,0,1,142,78,191,141,1
16,0.6059697088906373,-0.3131468349252815,-4.136844006273522,0.44598555149721897,2,0,44,218,196,100,1
7,0.6052075137686861,-0.41434975347050296,-2.148618992144568,0.0706917209022666,4,0,150,87,60,54,1
40,0.6037814712824547,-3.851581516810043,-3.6125134387474445,0.4792334238698888,3,0,13,93,203,175,1
25,0.5867427222659324,-3.6750267301905684,-3.9966347201930184,0.38056524314426265,2,3,66,99,83,207,1
35,0.5814073564122739,-3.596964728121549,-2.0304371244944592,0.6210396671319377,4,2,89,106,178,169,1
13,0.5708349724626278,-2.8768150611572745,-2.747077634236943,0.7,2,3,94,22,255,196,1
11,0.5645653029110936,-2.303427177699102,-4.186941438062244,0.6695331936880377,2,1,16,150,41,22,1
27,0.5594389260424862,-1.781305676231546,-2.4992712691903614,0.20945115630156808,3,2,18,63,161,242,0
50,0.5554681353265145,-3.0977365189671984,-3.7280975421551252,0.24496629369522477,0,1,8,171,12,207,1
10,0.5534028324154209,-3.7106361838955286,-4.30879132733083,0.5836256608443577,0,0,228,30,205,201,1
32,0.5,-1.8196884978891572,-1.0,0.6330002405803316,1,2,214,145,3,197,1
19,0.5,-0.3,-2.633158665113994,0.03279811191411086,2,2,246,118,74,72,1
24,0.5,-1.8371672579894192,-1.1451621034446444,0.5674303546418664,0,2,56,169,209,126,1
