trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
21,0.8989274342215519,-1.7209340940507598,-4.676849544007781,0.5137216217213132,4,0,169,256,0,256,1
36,0.896078431372549,-2.0862140002035297,-3.806753269801943,0.6282279523235442,4,0,50,142,75,41,1
47,0.8942349589408414,-1.858007291916357,-3.339087902236032,0.36837934354777685,4,0,75,37,0,125,0
43,0.8932545667839785,-1.0657608127162472,-4.301055486087972,0.5439945695071693,4,0,256,63,67,208,1
17,0.8918719624601978,-1.9525542215262313,-5.0,0.0,4,2,8,0,0,0,1
38,0.891218367688956,-1.7452781907254726,-4.631023730797256,0.5045801301645201,1,3,256,256,29,1,1
45,0.89069884364002,-2.6828188316223756,-5.0,0.33933779530142494,4,2,30,46,0,116,0
48,0.8905480140774259,-1.1312802142699252,-2.519724948667889,0.09834586587823159,1,3,26,132,0,16,1
19,0.8896933132227249,-0.7092694171233345,-5.0,0.0,4,3,256,0,0,5,1
37,0.8881850175967824,-2.307235766536291,-2.7758210133932053,0.5347461355623189,3,2,256,53,4,222,0
22,0.8850678733031674,-3.449775721176774,-4.5885585800582245,0.03831272603409045,0,0,8,0,256,256,1
4,0.8847326964974023,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
32,0.8842131724484666,-0.8964369153181315,-3.9060441831658146,0.6559148370556958,1,0,150,118,48,46,1
1,0.8842131724484665,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
23,0.8834422657952069,-2.8286462904895373,-1.0,0.0,4,1,8,256,0,256,1
3,0.8833249539131893,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
18,0.8833081950729011,-3.17478161860958,-3.330244709327429,0.603766570460123,2,2,201,98,0,180,1
41,0.8830400536282889,-1.9749590972537012,-5.0,0.0,4,3,237,0,0,256,0
7,0.8820847997318586,-2.773323913618791,-2.8492673474690333,0.265323459532946,2,2,188,89,55,44,0
30,0.8813474107591754,-3.096887529602823,-5.0,0.7,0,0,106,0,256,0,1
49,0.880777610189375,-1.3460347516800706,-4.847652721868537,0.0,1,2,205,0,0,256,1
34,0.8803251215015921,-2.345529028446027,-4.522707728826531,0.019492298816932645,4,2,65,9,56,249,0
44,0.8803083626613039,-3.2242115417687414,-5.0,0.02027750077878386,0,0,240,20,0,117,0
20,0.8796212502094856,-3.349297113329232,-3.307470858809248,0.08329179021840846,0,0,203,36,239,254,0
40,0.8787330316742081,-2.8240018102646665,-3.876683114106559,0.5777276781190884,0,3,256,217,133,93,1
35,0.8775096363331658,-2.068335840424125,-3.1171366816025308,0.594678088492473,1,1,133,0,30,216,0
13,0.8760180995475113,-2.359481080065226,-4.786630156998012,0.09959308876439309,3,1,191,79,3,146,0
27,0.8710239651416122,-1.766141861489702,-5.0,0.0,0,1,8,0,256,0,1
14,0.86423663482487,-0.3,-1.0295775950767343,0.012578645814586007,0,3,148,218,227,0,1
12,0.864102564102564,-1.3783381142096625,-1.3192368468264686,0.6712999883435582,1,0,17,169,156,130,1
24,0.8627115803586392,-3.07987788826674,-4.42731835773774,0.7,4,3,245,248,0,0,0
46,0.862694821518351,-3.295682822921832,-3.4515531434890194,0.3895798782450683,3,3,27,243,256,72,1
16,0.8600804424333837,-1.1990095296980878,-2.442415767090141,0.5704746977770816,1,2,230,106,245,168,1
5,0.8577677224736047,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.8538796715267303,-1.9336509208003965,-1.8731976736705511,0.569705570210318,1,2,143,103,70,122,0
42,0.8496899614546674,-2.7853265178914204,-1.6383047399777833,0.6034365245364106,2,3,256,106,101,0,0
2,0.8461203284732697,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
29,0.8412351265292441,-2.096949565846762,-1.0,0.0,4,0,256,179,50,0,0
26,0.8397854868443104,-2.225221726451361,-1.0,0.0,4,2,165,256,0,256,1
39,0.8385788503435562,-3.2701838752153587,-3.1976555474645956,0.5957192080162536,0,1,256,61,210,110,0
50,0.8381933970169265,-2.810224216128169,-4.416459281600881,0.0,1,1,147,0,0,0,0
10,0.8315401374224903,-4.0,-5.0,0.4867714469899782,2,3,256,0,30,0,0
25,0.8159627953745601,-3.6319344253731205,-1.0,0.7,4,0,8,256,211,256,0
9,0.7865426512485336,-4.0,-5.0,0.7,1,1,8,81,256,0,1
28,0.6138679403385287,-2.564699558108854,-1.0,0.0,0,0,8,214,256,205,0
31,0.5081699346405228,-0.3,-5.0,0.7,4,0,8,81,0,206,1
11,0.5,-1.2307457778890045,-1.3104607137921112,0.6275882905470331,1,2,256,75,69,127,0
8,0.5,-0.3,-1.0,0.7,0,0,8,256,0,74,0
6,0.5,-0.3,-5.0,0.0,4,0,8,256,256,256,0
33,0.5,-0.362832352938284,-3.876024903785904,0.6912802062274868,3,0,176,245,172,253,1
