trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.885034355622591,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.8828724652254064,-1.1137375517187431,-4.737543964040465,0.5572874662804495,2,3,256,142,5,111,1
27,0.8808614043908162,-3.162111532611897,-1.0,0.7,0,0,215,0,256,189,1
8,0.8793531087648735,-1.1332862012507765,-2.6073966456092137,0.2517627285306332,3,0,70,0,256,94,1
29,0.8766549354784648,-0.3,-5.0,0.0,0,1,8,256,0,0,0
4,0.8763867940338528,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.8752304340539635,-2.1099689164440925,-1.405260805429354,0.49697474403628134,3,0,139,26,245,105,1
40,0.8746103569632983,-0.3,-4.396714251647423,0.09552249369264253,4,1,256,191,67,251,1
28,0.8731690966985085,-0.3,-5.0,0.7,0,3,135,0,123,256,1
13,0.8723479135243841,-1.6638939054263604,-4.218246548336533,0.0,3,0,256,163,0,0,0
46,0.8716608010725657,-3.613330067592022,-1.0,0.7,1,0,256,0,197,42,1
15,0.8715099715099716,-0.5246541495361896,-3.3753536726439655,0.0,4,0,8,0,112,0,1
1,0.8712418300653595,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
26,0.8694318753142282,-1.7457122269380743,-1.0,0.7,4,0,242,256,0,0,1
21,0.8692475280710574,-0.3,-2.1115784185569195,0.0,0,0,256,256,0,0,0
7,0.8690799396681751,-1.9559297863869491,-1.9829663528842363,0.06212268685334809,2,0,25,227,234,181,1
25,0.8683593095357801,-4.0,-1.0,0.7,0,0,256,256,256,0,1
32,0.8682419976537623,-0.3,-5.0,0.0,2,3,8,0,0,0,0
44,0.8675213675213674,-2.988343410933494,-3.3413171772781904,0.7,0,0,8,256,256,241,1
16,0.8672616054968997,-0.3,-1.0,0.0,1,3,8,0,256,0,1
39,0.8663650075414782,-3.7842575197897497,-2.4582135494376205,0.5619258925027281,0,0,256,38,102,98,0
47,0.8657449304508128,-2.085740355490459,-5.0,0.0,1,3,8,31,0,192,1
33,0.8636668342550696,-0.3,-5.0,0.7,0,1,33,154,256,256,1
5,0.8636500754147813,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.861706049941344,-3.2062320151269335,-5.0,0.31058461950767324,4,3,20,83,228,201,1
30,0.8611278699513993,-0.3,-5.0,0.0,4,3,256,256,0,220,0
11,0.8592592592592592,-2.996467140895972,-4.298870317055694,0.6099312878817199,4,2,8,251,121,148,0
22,0.8590078766549355,-2.4720066693958644,-5.0,0.0,4,0,256,0,256,177,1
45,0.8576504105915872,-4.0,-1.6201427162154078,0.09033482771330749,1,0,8,191,139,71,0
9,0.857248198424669,-2.355422926157188,-4.0784085082922035,0.03549418615575377,3,0,256,61,73,256,1
14,0.8551868610692139,-1.30815452323538,-3.63888751612334,0.7,0,2,8,113,256,0,1
18,0.8493547846489022,-2.88085021548296,-1.0,0.0,0,0,256,0,0,30,0
2,0.8482487011898777,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
24,0.8462376403552874,-0.3,-1.0,0.0,4,1,8,0,0,0,1
43,0.8459024635495224,-2.9014190701662494,-1.0,0.03355377474893246,2,0,256,0,67,0,0
20,0.8453326629797218,-4.0,-1.0,0.0,4,0,256,0,0,0,0
49,0.8400536282889225,-0.4709278099820198,-1.0,0.40574819554444974,1,0,153,255,253,48,1
41,0.8386123680241327,-3.8492688424106856,-2.6699784306886536,0.39537591777675746,0,0,8,254,256,226,0
38,0.8288754818166583,-0.3,-1.0,0.0,4,0,256,0,211,0,1
42,0.8235964471258588,-4.0,-3.1697632461708602,0.44524572102866217,1,1,8,196,103,69,1
34,0.8180660298307356,-0.3,-2.744934656095332,0.0,0,2,162,0,47,0,0
36,0.8156359979889392,-4.0,-1.0,0.7,4,1,256,0,202,256,0
17,0.8117479470420648,-2.158561504224087,-1.0,0.7,3,3,8,256,256,256,0
23,0.801994301994302,-4.0,-4.589591783487625,0.01861976563697913,4,3,8,256,44,0,0
19,0.7692642869113456,-4.0,-5.0,0.6622471368104942,4,3,8,256,0,256,0
37,0.6389140271493212,-0.3,-4.055575881537113,0.49728723206502917,4,2,256,0,88,0,0
12,0.5081699346405228,-0.3,-5.0,0.5342228909390669,0,0,159,5,256,222,0
35,0.5067454332160215,-0.3,-3.461747934097626,0.0,0,2,209,94,256,47,0
31,0.5016339869281046,-0.3,-3.8705481012748058,0.0,0,0,17,256,107,0,0
48,0.4626529244176303,-4.0,-1.652570153530712,0.7,2,3,112,13,127,20,0
