trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
22,0.9047095534021488,-0.3,-2.646335113222317,0.0,0,1,135,52,91,230,1
44,0.8960461870655152,-0.7623960336519731,-4.103879229751647,0.0,1,3,256,146,226,108,0
48,0.8947032336212345,-1.65875846939455,-3.362092917475087,0.0,0,1,256,256,212,133,0
32,0.8944399094164736,-1.7922324155914438,-4.18010695816238,0.0,4,2,98,239,193,201,0
6,0.8927809669264799,-2.3297916193957944,-4.1163471888136005,0.4664934370358123,2,1,134,152,199,255,0
21,0.8920699915736254,-2.7058991713126703,-4.532058978664802,0.7,4,3,55,249,164,136,0
33,0.8915235938487465,-2.020919252474382,-3.0619192480235853,0.24139033786956537,4,2,256,208,86,220,0
14,0.8910166947545818,-1.5226147798948566,-3.537950353191633,0.04468818655175412,4,1,244,87,177,245,0
16,0.8908060353907732,-1.5291904107819043,-4.617844463584145,0.33419348657311254,3,1,242,82,126,232,1
50,0.8900423951969665,-4.0,-3.5695966178429326,0.43767245068086535,0,2,8,255,154,34,1
13,0.8899633979355382,-4.0,-1.4993793712365564,0.3788788575323081,3,0,245,218,217,218,1
27,0.8891339266905415,-4.0,-3.6445037083815137,0.0,0,1,147,3,230,79,1
5,0.8880674636612598,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.8876461449336424,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.8873301558879292,-2.652666952169672,-2.9241070142984382,0.20271683608262756,3,2,94,245,206,156,0
25,0.8871194965241205,-0.3,-4.230823637595558,0.7,0,1,42,104,45,193,1
8,0.8855527175057931,-2.960762464452201,-1.9730459797683824,0.438384604014936,2,1,220,256,253,256,0
19,0.8854342216136508,-2.0969158700416246,-4.306393154527388,0.0,4,2,195,151,256,256,0
35,0.8853881398778175,-2.604673961071949,-5.0,0.4471318847482335,4,1,117,256,256,85,0
39,0.8844072572150832,-0.8817489725329084,-5.0,0.0,4,2,256,0,94,256,0
40,0.8837621129134191,-4.0,-2.0825876721853307,0.0,4,3,226,6,52,70,1
2,0.8836567832315145,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.8833671266062777,-1.701244153132571,-2.8113286912487094,0.7,0,3,237,236,236,18,1
3,0.8824454918896145,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
38,0.8823796608384243,-1.0256258019536681,-2.141608496807149,0.41260819901457196,2,1,23,172,57,160,1
28,0.8823533284179481,-2.0213979187894475,-1.771024191467379,0.7,4,0,178,121,133,101,1
26,0.8816291868548557,-2.085816531560499,-4.855573099882099,0.10005564870647324,0,0,94,232,36,234,1
43,0.8798912471034337,-0.3332767855866434,-3.365599935666764,0.11318400837429586,3,0,256,0,178,64,1
24,0.8791276069096272,-0.9158701447269557,-4.275113324659699,0.0,0,0,140,254,27,63,1
47,0.8789959448072466,-1.3660712924866862,-2.0643798754403395,0.7,0,2,255,0,187,256,1
36,0.8787721192331999,-0.3,-4.443901620338584,0.25545977675734716,0,0,8,138,183,148,1
23,0.8769815146408257,-0.3,-1.9962711654357892,0.3230944475746136,4,3,200,229,130,216,1
4,0.8728604908363177,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.871807194017274,-2.481384368017341,-4.753240717486835,0.44580744335231326,2,3,8,171,238,256,0
12,0.8717940278070357,-2.039421365454034,-5.0,0.5404086076110542,3,3,8,126,256,241,0
17,0.8710040551927535,-2.8990774921078994,-2.8529407524792956,0.0,1,3,204,26,108,256,1
29,0.8699902570044239,-3.3311052443030915,-1.5284285552524985,0.7,0,3,223,18,230,21,0
7,0.8692134506003792,-3.7364553626280337,-4.80428138870773,0.38819230511722147,2,3,10,253,52,98,0
15,0.8632162418369498,-3.2106705815991567,-2.353197307347974,0.3127148225071373,1,0,46,240,85,81,1
37,0.8610833157783863,-4.0,-1.0,0.0,4,2,256,256,256,256,0
46,0.8606290815251738,-4.0,-5.0,0.5307051841032777,0,0,8,0,256,228,1
49,0.8517945544554455,-0.3,-3.1302600636609137,0.22871088575990658,0,3,256,180,245,256,0
31,0.8508268380029493,-3.5353950065294217,-4.10129702500044,0.6836922033191158,2,1,127,176,230,119,0
11,0.836738993048241,-4.0,-1.930203505726686,0.16834092901614264,0,3,19,213,38,151,0
41,0.8296753212555298,-2.483831160891719,-3.3929573142230574,0.043179389226260516,2,0,23,50,105,225,1
34,0.7576890667790183,-2.5490991244774794,-1.6889651017812626,0.6979209334047298,0,2,256,139,190,238,0
30,0.591426163892985,-2.796040779380575,-1.2687979453712463,0.0,1,3,25,36,156,150,0
9,0.5801558879292185,-0.5024541764301147,-4.059467571470204,0.6864784953061664,0,2,153,178,92,106,0
18,0.5,-0.48869955169756985,-3.857017541710266,0.7,3,0,134,153,112,227,0
10,0.5,-1.092474678347756,-2.568568035744001,0.5631726820501173,1,2,73,39,20,65,0
