trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
15,0.8873303167420814,-2.6777601497875896,-1.9248869762356398,0.3260175814139278,0,3,148,220,0,24,1
12,0.8849840791017262,-2.6551682009824047,-1.2662438188379963,0.02646775216407056,4,0,17,256,194,149,1
20,0.8846321434556729,-0.9810422021306966,-3.759374383495906,0.12900203906476929,2,1,46,213,127,197,1
43,0.8828054298642535,-3.2348280356844143,-5.0,0.0,0,2,223,256,0,256,1
41,0.8801407742584213,-0.4222188172494068,-4.921578776513562,0.0,2,3,256,211,0,25,1
23,0.8788000670353611,-3.24085734827148,-4.471460043531747,0.20321257900445674,4,3,239,182,256,126,1
3,0.8778112954583543,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.8774426009720129,-0.7142224373382415,-5.0,0.12011637534769616,4,3,256,28,231,1,1
36,0.8757667169431874,-1.7790815078202145,-1.2048909554622695,0.14373362797929826,0,3,45,256,0,126,1
49,0.8754315401374226,-2.3593903325474557,-5.0,0.0,4,2,204,208,256,200,1
29,0.8751131221719457,-2.6486539433721408,-1.7457111937935226,0.6090634133054765,1,2,224,118,66,222,1
18,0.8737053795877325,-2.095257496266579,-1.7578536557309494,0.5567851887962669,1,0,45,124,92,67,1
50,0.8725992961287078,-2.9281535735248587,-5.0,0.0,4,2,132,256,256,230,1
21,0.8724317077258253,-1.062360762421057,-4.9781137249083285,0.0,4,3,207,49,220,256,1
33,0.8719121836768896,-2.83858292259689,-2.059970345123714,0.6504084506915263,3,3,229,256,256,159,1
34,0.8718451483157366,-0.8376151577112081,-4.274440090727692,0.7,1,3,246,256,182,0,1
4,0.8692140103904811,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
25,0.8687950393832747,-3.219177139344949,-2.376694058931684,0.47888410217808997,3,2,228,9,0,36,1
46,0.8684431037372213,-2.426367405859404,-5.0,0.0,0,3,8,256,168,0,1
26,0.868091168091168,-3.9444478154846796,-5.0,0.7,0,0,256,0,0,256,1
28,0.8677392324451147,-2.353655643936321,-2.5951626602386355,0.6852931464330696,2,3,142,139,0,69,1
1,0.8672532260767555,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.8651751298810122,-1.9693562140025556,-3.532157635883948,0.09810501915544526,3,3,55,256,0,0,0
37,0.8636165577342048,-2.3158718819499646,-1.1042252574814242,0.5183575544961362,0,2,234,61,0,187,1
8,0.8634824870118988,-1.014531711978372,-5.0,0.01674326798873526,4,1,178,0,80,256,1
38,0.8605999664823194,-2.87025985706643,-2.2311616296533177,0.7,3,3,189,99,0,53,1
31,0.859577677224736,-2.6315565569764123,-1.2279099036425234,0.13387640769942347,3,0,110,11,0,102,1
44,0.8574912016088487,-2.5185601931902077,-5.0,0.5108276040518095,0,0,8,0,39,0,0
24,0.8572649572649573,-1.2450498549044906,-3.2333412732843074,0.7,1,0,119,134,20,217,1
27,0.8570303335009217,-3.0106176425343296,-2.598626416962381,0.4101689011505153,0,1,256,222,154,71,1
47,0.851265292441763,-2.8730447848086174,-2.672652518317226,0.7,0,0,8,256,0,190,0
39,0.8495558907323614,-3.0500229251950066,-2.2151008863800343,0.35335315650990534,2,3,207,178,123,256,0
48,0.8494469582704878,-0.8709699789438488,-5.0,0.0,0,0,8,13,256,0,1
22,0.8472096530920061,-0.3,-1.0,0.0,0,3,55,256,0,163,1
2,0.8459359812300989,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
45,0.8410256410256409,-2.6772766066878084,-1.8419468447186986,0.7,0,0,83,94,256,152,0
14,0.838838612368024,-1.8702130896817195,-1.5948438676373788,0.1719212228099343,1,2,254,30,195,221,1
42,0.8374560080442434,-0.6987636098901389,-1.049271551997498,0.0,3,2,146,256,0,200,1
7,0.8355455002513826,-3.8546190011400623,-3.5031497346478337,0.5099626657143063,3,3,249,109,256,231,0
5,0.8340204457851517,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.8225741578682755,-2.385635117706033,-3.6805145967053434,0.08663628690097386,1,1,199,76,0,139,0
35,0.8221551868610691,-2.292178431953257,-1.0,0.0,2,3,183,256,0,236,0
30,0.815418133065192,-0.3,-1.0,0.7,4,0,34,0,0,0,1
11,0.7946706887883359,-4.0,-1.0,0.2586843709682135,2,1,256,64,69,228,0
9,0.7835009217362158,-3.5804758927189186,-3.3958934614238285,0.6800543305367595,3,1,26,256,159,238,0
13,0.6161555220378749,-4.0,-3.365109801175523,0.5468331343707282,1,1,20,170,256,66,1
17,0.5,-0.6343049122527789,-2.410705946140759,0.20900617239794408,3,0,173,116,0,12,0
10,0.5,-1.5041509265938222,-3.7989807217864078,0.44758901398128936,2,2,115,0,241,256,0
19,0.5,-0.3,-1.0,0.7,0,0,8,256,256,0,1
40,0.5,-0.3,-5.0,0.7,4,3,8,142,140,0,0
