trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.692553924948291,-3.295966025658727,-5.0,0.0,2,2,246,123,3,57,1
34,0.6809974063495189,-1.5760559891959223,-5.0,0.0,2,0,105,238,0,33,1
49,0.6809645753307725,-1.6824706569082344,-4.424364792290429,0.0,3,1,55,170,26,64,1
10,0.6783709248497982,-2.853112753100861,-5.0,0.0,4,0,8,0,68,256,1
38,0.6771397616468039,-0.8465581654075014,-5.0,0.13441799658910283,2,0,194,243,0,208,1
50,0.6769920220624447,-4.0,-5.0,0.0,2,0,190,208,49,53,1
16,0.6698020289569585,-3.509748463277677,-4.975103398485411,0.07587796619744525,0,0,8,0,154,178,1
26,0.6694080567320004,-2.2887334430295643,-5.0,0.0,2,0,256,146,256,0,1
47,0.6693095636757608,-1.5846444781570548,-5.0,0.0,0,1,11,11,256,118,1
37,0.668291802094619,-4.0,-5.0,0.0,3,3,125,210,191,193,1
48,0.6680291539446469,-3.18765377439993,-5.0,0.04163793692787776,2,3,227,136,0,56,1
24,0.6679306608884075,-3.511711064873898,-5.0,0.0,3,0,101,107,256,256,1
6,0.6675366886634492,-1.8831230738865057,-4.60308840682357,0.08503083620093034,0,0,108,88,241,124,1
25,0.6614301191765981,-0.3,-3.75792208026021,0.0,0,0,256,43,0,0,1
22,0.6542729570898584,-2.713419915559596,-5.0,0.3023030839388102,2,2,34,115,132,256,1
3,0.6501690797465445,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
32,0.6492169802028958,-4.0,-1.954193925115177,0.0,0,0,63,173,141,0,1
17,0.6489215010341771,-3.0991300147222787,-4.664134573996672,0.0,3,0,8,0,132,73,1
30,0.64550707508454,-0.3,-4.058442494965038,0.0,0,3,54,31,25,164,1
42,0.6421254801536491,-1.056210305365871,-5.0,0.5404567261690811,2,0,84,256,0,209,1
23,0.6380216028103353,-2.565405638895995,-5.0,0.43865728890118794,4,2,78,0,101,256,1
4,0.6363800518730096,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
31,0.6346071768606979,-2.69733568078741,-5.0,0.14248107975463997,1,1,193,184,256,253,1
29,0.6298795101612003,-4.0,-5.0,0.3768708312044195,4,0,256,256,256,0,1
12,0.6269575494927607,-2.4627034895093356,-3.5332384134452477,0.0,0,0,8,0,256,153,1
11,0.626268098099084,-2.181850757113806,-5.0,0.0,0,0,8,0,66,179,0
19,0.625939787911619,-4.0,-4.50192219807253,0.05602767366624744,1,1,119,45,0,256,1
45,0.6234774615056305,-3.0902961665282165,-5.0,0.24802254607744123,3,1,185,163,0,224,1
9,0.6219344036245443,-2.092366462678034,-5.0,0.0,4,3,256,256,0,108,0
21,0.6210807971371353,-1.116889784611406,-5.0,0.20157516223099403,0,2,212,0,119,256,1
1,0.6186348862405201,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.617666371187498,-1.6973279418908978,-5.0,0.21343770157330413,2,1,250,154,161,156,1
44,0.6165501165501165,-4.0,-4.6310653535379895,0.0,3,1,249,110,209,0,1
13,0.6155980170064678,-0.3,-1.653905570470779,0.31164844971799655,4,0,165,0,0,49,0
40,0.6142519452378608,-1.2166318573602615,-4.577473050454666,0.05352044536159207,4,2,153,256,97,8,1
5,0.612856626941134,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
33,0.6112971535506746,-4.0,-3.0675056191610106,0.42743939600005637,2,0,156,37,208,0,1
35,0.6061590991168455,-1.7678437448870516,-1.0,0.0,2,0,18,15,0,1,1
7,0.5912045700778095,-0.3,-5.0,0.0,0,0,8,0,256,249,1
18,0.5878722216750386,-4.0,-3.157058333825235,0.7,2,2,179,10,77,124,0
14,0.581864145244427,-4.0,-5.0,0.6893009580434274,2,0,8,32,0,256,0
2,0.5650054171180932,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
36,0.5430414655766769,-4.0,-1.0,0.22574232905312847,1,1,11,87,0,1,1
15,0.5250008207754686,-1.9439093115432202,-1.249986802214008,0.5800087448312936,2,1,192,235,232,0,0
8,0.5,-0.3,-1.0,0.5069134838815819,0,3,10,253,16,212,0
20,0.5,-0.3,-2.3058031097685405,0.0,4,0,25,98,212,22,0
28,0.5,-0.3,-3.543091529029133,0.7,4,3,140,210,0,24,1
27,0.5,-0.3,-3.606246595051184,0.7,1,0,226,46,3,94,0
39,0.5,-0.3,-5.0,0.0,0,0,189,18,0,93,1
43,0.5,-0.3104587590141965,-4.938998967417163,0.7,0,0,224,56,256,252,1
