trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
24,0.9215820518222035,-3.3553255801197204,-1.0,0.0,0,2,98,0,0,213,1
4,0.9177375184326944,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
28,0.9100879502843899,-2.620941675376007,-5.0,0.7,2,3,8,3,0,250,0
42,0.9086396671582051,-0.3,-1.0,0.6143712808072317,2,1,8,24,15,218,1
36,0.8926888034548136,-1.264625829196659,-3.1711586326150485,0.0,4,1,256,193,240,165,1
30,0.8839003581209185,-2.3613703381069895,-5.0,0.4440389293345943,2,0,15,54,143,243,0
10,0.8811881188118813,-0.4254894848803521,-3.274095081380345,0.00014256018006205686,0,1,67,18,153,4,1
6,0.8789366968611756,-4.0,-1.0,0.0,0,3,256,0,256,256,1
31,0.8743285232778597,-0.6688188517365479,-4.386169669650268,0.03451673780968259,3,3,172,7,53,118,0
13,0.8699310090583527,-3.0480672572895977,-3.3374328475931736,0.0038835332632076174,2,3,247,252,214,61,1
22,0.8699310090583527,-0.6492342470340438,-3.600301067842385,0.24716524526700392,4,0,12,124,1,183,1
45,0.8684037286707394,-4.0,-1.0,0.16984870895396303,0,2,8,0,256,256,1
39,0.8658889825152727,-1.2863954884121873,-4.929978735187851,0.7,4,0,8,92,241,16,1
14,0.8630450811038551,-0.5155072997414774,-2.894520403449074,0.6937690195779086,4,1,30,245,115,222,1
50,0.85802875500316,-2.005945747407763,-5.0,0.7,2,0,49,0,128,183,0
8,0.8577917632188751,-0.3,-5.0,0.0,4,0,8,256,0,256,1
16,0.8563829787234043,-3.9727927710143267,-4.978313910906118,0.011817767655084212,3,0,243,10,95,3,1
2,0.8548425321255531,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.8547767010743628,-3.0389846637254885,-4.14431509107757,0.30754456859498247,3,0,16,114,33,255,0
44,0.8526701074362756,-1.8086089963903609,-3.6067848192671064,0.1275157404925052,0,1,138,19,0,207,1
19,0.8522751211291343,-4.0,-3.2479997946029755,0.0,4,3,256,0,0,0,1
46,0.8512876553612808,-0.3,-1.6229187231657765,0.7,0,1,8,0,0,182,1
12,0.8478117758584369,-0.5867670703679178,-2.79492683538824,0.011358077973478188,1,1,136,0,155,246,1
15,0.8474299557615336,-1.5470196225058768,-1.2046130194731428,0.6849334347914695,4,1,116,218,254,9,1
21,0.8449152096060671,-1.1945415224810176,-3.6240862275547507,0.5177339478147717,1,3,246,129,118,54,0
27,0.8433484305877397,-2.7486080208563655,-1.0,0.0,4,3,105,45,256,84,1
29,0.8427296187065515,-3.6455885477726055,-1.9063622364876012,0.0,2,0,71,13,196,110,1
33,0.8400766273435856,-3.651003903754685,-4.282415900724686,0.551186757181461,1,3,21,196,31,253,0
26,0.8400437118179904,-0.6212512787636406,-5.0,0.0,4,2,256,0,256,0,1
9,0.839345902675374,-4.0,-1.0,0.0,4,3,256,0,0,0,1
25,0.8355013692858648,-2.4636048080112776,-3.3221496932870105,0.023749640373197003,3,2,14,67,139,76,0
38,0.8345007373077733,-4.0,-1.0518533019347625,0.0,1,1,51,140,0,153,1
3,0.834448072466821,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
1,0.833223614914683,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.8332104487044449,-4.0,-1.0,0.7,0,3,256,0,0,256,1
18,0.8299978934063619,-2.675386355342347,-5.0,0.5358930383468478,2,3,186,50,256,106,0
32,0.8261401938066146,-1.839188220688642,-5.0,0.07303251306176939,1,0,162,240,42,165,0
47,0.825613545397093,-0.3,-3.5309589758923625,0.0,4,2,8,75,10,221,1
11,0.8195044238466399,-0.9644145695783424,-4.441799243646344,0.0033880019835681677,2,2,41,255,248,240,1
41,0.8155282283547504,-4.0,-2.528237701988338,0.6116267955514636,2,1,256,167,231,185,1
40,0.8147645881609439,-4.0,-3.738780287155709,0.3388150193934547,4,2,256,25,84,163,1
49,0.8136322940804719,-1.0193569983030897,-4.016025728555013,0.1504323753232819,3,0,80,219,14,48,1
17,0.8087739625026332,-2.7772645806951477,-5.0,0.0,2,3,163,130,0,103,1
23,0.798175163261007,-0.51737832839442,-3.267695954015136,0.37533456743415317,4,3,8,7,0,112,1
37,0.7900647777543711,-3.924476362294332,-1.98734894472303,0.0,4,1,8,110,133,84,1
35,0.7544699283758163,-3.193217087237147,-3.1238809619326604,0.0,0,1,149,41,81,73,0
43,0.6486267642721719,-2.140809554531886,-1.0,0.0,0,1,188,251,71,249,1
48,0.5256016958078786,-1.0013085962991846,-4.604064074115002,0.7,3,0,45,0,10,256,0
34,0.5,-0.478617898803662,-1.8260978899332176,0.022613065555541326,0,0,117,242,250,80,1
5,0.47782810195913206,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
