trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
33,0.6565204563335957,-0.3,-2.9780767969390824,0.5252230123716868,0,3,256,126,256,240,1
22,0.6494885916601102,-2.223269657413402,-3.0128483695258472,0.08065233433970075,3,3,8,137,51,0,1
24,0.6477183320220299,-0.8828822194167545,-3.609375516923917,0.4129992413269727,3,2,188,153,2,0,1
40,0.6475339299763965,-1.504140887180684,-1.151441222294368,0.0,4,3,64,149,0,25,1
1,0.6464152242328874,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
12,0.6460464201416207,-3.430765175489965,-3.1139681295252872,0.5678603838557433,1,0,130,62,100,0,1
8,0.6442884539732494,-2.8542719587798624,-5.0,0.7,0,0,8,44,256,0,1
44,0.6414855428796223,-1.2491228000791268,-4.824825940227932,0.6374844179746302,4,3,8,256,0,12,1
30,0.6367279701022817,-2.0594010427847658,-1.8510165950278994,0.19449478312991172,2,1,8,111,141,36,1
17,0.6239427616050355,-1.8687003569518685,-2.254002201993687,0.3314256050802032,3,3,252,248,54,32,1
3,0.6237706530291109,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
31,0.6216561762391817,-1.2874411162556152,-3.5667746175860655,0.44152079256672494,2,2,174,139,195,59,1
28,0.6161978756884343,-1.4065749761219584,-3.8020439594696853,0.37618623485471336,3,2,8,142,77,12,1
14,0.6154110936270653,-3.617565180728277,-4.50721874507089,0.5601557324031573,1,0,193,25,242,121,1
23,0.611968922108576,-4.0,-3.297776314641946,0.6978312549942436,2,2,8,100,19,0,1
37,0.6118336939417781,-2.1355406392382426,-2.415017118367523,0.605319470790305,3,0,149,59,167,64,1
29,0.6116492918961448,-3.1748726465684163,-3.960463089344861,0.43751645944266376,0,1,50,84,7,5,1
38,0.6110100314712825,-2.3435495857210062,-4.666539420935024,0.6633932473414428,2,2,77,105,45,0,1
25,0.6101003147128246,-4.0,-3.6883390429807035,0.05349649500791102,0,2,145,70,83,0,1
13,0.6100019669551535,-0.9993025883733946,-4.522565887025133,0.6062303153600618,1,0,8,121,0,0,1
42,0.6061295239968529,-2.810606242661824,-2.300111508148749,0.6568677183908572,0,3,256,85,256,217,1
20,0.6054042092840284,-1.8502337386017165,-4.206710577753797,0.5493476617677597,1,2,91,146,177,185,1
34,0.6035847757671126,-0.3,-3.5313643872653677,0.16436432913430432,3,3,256,155,232,256,1
16,0.6034618410700237,-3.347151303927138,-1.9275072537090936,0.7,1,1,95,5,256,0,1
15,0.6017653422501967,-3.921381556015207,-3.682420860300395,0.36261206967402854,3,0,63,0,178,43,1
6,0.6003638867033833,-0.9320813092496039,-4.676402010360046,0.3769620050259872,4,3,207,126,43,105,0
2,0.5983723446105429,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.595102281667978,-3.7971848429316983,-3.3094655891528095,0.2578603889101745,0,0,15,56,126,135,1
43,0.5935533044846577,-3.7802129993758555,-4.29274245528128,0.21705788654594255,4,2,256,256,0,17,1
26,0.591832218725413,-1.8469234700999975,-2.644504972518328,0.22139166773223523,4,3,178,191,52,0,1
48,0.590824154209284,-1.037413994965123,-4.586643071640106,0.6957356747561338,1,1,38,207,0,38,1
7,0.5903447088906373,-0.3,-4.4461865479905445,0.6836127116265862,2,2,81,85,233,226,1
4,0.5865214398111723,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.5850585169158142,-1.3258492321483133,-3.0365811509314815,0.4892808302507449,0,0,189,187,256,0,1
11,0.5837922895357986,-3.711153500628056,-5.0,0.5845349202927543,1,3,145,185,250,0,1
36,0.5822678992918962,-1.3731007069892085,-2.028404938897695,0.03416157942257587,3,3,8,122,117,75,1
35,0.5757523603461842,-0.5285376607003576,-4.935443222145401,0.1997598669620587,2,3,166,120,169,0,1
10,0.5755556648308419,-3.222140187597815,-1.2668155967735748,0.16004579732328572,2,0,60,249,133,65,1
49,0.5673436270653028,-2.2955282400979957,-4.8622422762382,0.3982529608861019,4,3,8,170,0,15,1
47,0.5667166601101494,-2.6986072428749894,-3.2044842434778262,0.5460392269968274,0,1,8,182,256,0,1
18,0.5637662273800157,-2.6308962567721457,-2.283732089132084,0.4276791268346564,3,0,223,70,111,87,0
32,0.5519030291109364,-0.3,-3.282917286388022,0.11060615333784928,3,1,256,190,58,16,1
41,0.5514358772619984,-1.6023033561079467,-2.442410093251761,0.7,0,1,256,128,256,167,1
5,0.5490632376081825,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
27,0.5300083595594021,-3.4033854758338866,-2.8600931792811193,0.42765775314124466,3,1,234,128,11,4,1
45,0.5177763571990559,-3.550631928777219,-5.0,0.5322686201279344,0,1,107,16,69,53,1
9,0.5,-0.380608873479908,-5.0,0.7,3,3,8,79,142,75,0
19,0.5,-0.4457675478020908,-5.0,0.7,0,0,107,228,161,183,1
21,0.5,-0.4654459946036429,-4.2569281298069575,0.5401077143825395,3,2,48,67,189,111,0
39,0.5,-0.3,-2.770794064408901,0.5318253450661594,1,2,256,123,17,256,1
