trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.9027987263281382,-3.099876635895934,-2.386298981575295,0.7,0,2,256,145,137,0,1
3,0.8970672029495559,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
24,0.8959611194905311,-1.6899715444311467,-4.5340679953721565,0.0,4,0,78,230,0,80,1
37,0.895542148483325,-4.0,-5.0,0.0,3,0,256,256,0,0,1
8,0.8945701357466063,-0.8700882479240706,-2.53541235916236,0.3947846684656115,4,1,99,226,138,256,1
38,0.8932964638846991,-1.821910555240092,-5.0,0.0,1,0,8,146,256,256,0
34,0.8928942517177811,-1.6849195387863594,-5.0,0.35024091675369523,0,0,256,0,226,256,1
15,0.8916540975364505,-0.3,-5.0,0.4687290570092811,4,0,207,0,256,256,1
4,0.8912016088486676,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8901625607507959,-0.3,-5.0,0.0,1,1,256,21,54,0,1
35,0.889089994972348,-4.0,-2.4337216380515905,0.0,2,0,256,256,256,0,1
48,0.8889894419306185,-4.0,-1.0,0.0,0,0,136,256,248,0,1
16,0.8888218535277359,-0.3,-5.0,0.6186184177092422,4,0,123,0,174,256,1
9,0.8869281045751634,-0.3,-5.0,0.14060094946301932,4,0,256,0,256,256,1
13,0.8862493715434892,-4.0,-1.0,0.47411443375058976,0,0,256,256,256,16,1
23,0.8851013909837439,-0.3,-5.0,0.4518194589554547,4,3,256,256,256,256,1
29,0.8844310373722137,-0.5405356284907139,-4.558161698861203,0.0,4,0,29,70,0,255,1
1,0.8842634489693313,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.88350930115636,-4.0,-4.1465688179557,0.5598081772709039,4,0,256,256,256,256,1
33,0.8826546003016592,-0.7473574165669508,-5.0,0.7,2,0,256,163,26,62,1
49,0.8826378414613709,-1.538765928056078,-1.0010933391663746,0.0,0,3,256,120,132,16,1
12,0.8814479638009051,-0.3,-5.0,0.7,4,0,73,0,256,256,1
21,0.8794033852857382,-0.3,-5.0,0.41180744742291614,4,0,8,0,0,256,1
39,0.8791687615217025,-4.0,-5.0,0.7,3,0,168,256,256,111,1
27,0.8783643371878667,-0.3,-4.786706254825503,0.608322372200862,0,0,8,0,256,120,1
14,0.877593430534607,-0.3,-5.0,0.0,4,0,256,0,256,256,1
45,0.8761521702698174,-3.3612788033955567,-1.0,0.7,0,2,8,24,227,0,1
20,0.8759175465057817,-3.6699072365696774,-1.0,0.06634141139621891,4,0,8,256,0,0,1
42,0.875867269984917,-2.198248453352526,-4.161090237571715,0.0,4,1,256,25,0,0,0
25,0.8683928272163566,-1.058790350215943,-1.0,0.44523928616969666,4,0,52,0,0,256,1
26,0.8661639014580191,-0.3,-1.3567445473924673,0.29654947276583943,4,0,8,0,256,0,1
18,0.8636500754147813,-0.3,-1.0,0.07409794283233988,4,3,256,0,256,256,1
5,0.8598793363499246,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.8589994972347914,-0.4195627675829443,-3.38000876652956,0.7,0,3,8,0,139,223,1
2,0.8509468744762863,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.8505614211496564,-0.3,-1.0,0.0,4,0,256,0,0,256,0
28,0.8437070554717614,-4.0,-1.0,0.0,4,2,256,256,0,0,0
47,0.8383107088989443,-3.219414372595274,-5.0,0.0,3,3,176,0,0,9,0
19,0.8361823361823362,-0.3,-1.0,0.0,2,0,256,0,0,256,0
10,0.8308195072900955,-4.0,-1.0,0.0,0,3,8,256,0,0,0
46,0.8022121669180493,-4.0,-5.0,0.0,0,3,8,137,256,26,0
11,0.7807608513490866,-4.0,-3.4473327071531754,0.26906121047290105,0,3,8,256,0,0,1
32,0.6590832914362326,-0.3,-1.0,0.17144095708275522,4,1,256,13,93,256,0
36,0.586835930953578,-2.3938326161745938,-1.0,0.0,4,0,146,191,35,149,0
41,0.5153846153846153,-0.3,-1.0,0.0,1,0,229,51,256,256,0
6,0.5,-0.3,-5.0,0.307321032062232,4,0,256,0,256,256,0
31,0.5,-0.3,-2.424044073002757,0.0,4,0,8,0,75,256,0
30,0.5,-0.4203243514850885,-4.807123961511564,0.06401818855821431,4,0,256,0,256,74,0
40,0.5,-0.3,-5.0,0.0,2,0,8,15,0,168,0
7,0.19415116473940008,-4.0,-1.0,0.7,0,3,8,256,0,0,0
