trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.8957960290709922,-0.3,-3.1798830880496745,0.5936225028804379,2,3,214,256,256,86,1
32,0.895440541394565,-2.9625383495665254,-5.0,0.7,0,3,159,58,0,0,0
35,0.8938605961659996,-1.8954781550661877,-2.829935173353441,0.13564897383715566,1,2,172,81,65,46,0
23,0.8935314409100484,-1.02892534263156,-5.0,0.7,0,1,173,256,256,75,0
37,0.8934261112281441,-2.7335825566496093,-3.2765576828986855,0.2734286248158175,1,3,256,0,0,0,0
39,0.893070623551717,-2.840269223872431,-2.8605736100759422,0.46187892898955124,1,3,49,249,187,128,0
46,0.8928731303981462,-1.2494633101330161,-4.643627858441256,0.48684194819469256,1,0,87,246,228,42,1
25,0.892833631767432,-4.0,-2.84794179133687,0.15562792487229127,2,2,171,256,175,21,0
36,0.8928204655571941,-3.918085294089255,-5.0,0.38994111345577503,0,3,256,256,53,230,0
9,0.8916486728460079,-2.069172240284715,-2.547398428405217,0.042996692443165375,1,2,226,216,180,147,0
43,0.8904242152938697,-2.976459288717476,-4.788558817989399,0.03755416473630829,4,2,142,159,69,119,0
5,0.8903978828733937,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.8903320518222035,-3.32546783725305,-3.186154561759883,0.6433999460983286,3,0,217,256,31,0,0
42,0.8896737413103013,-2.348895180552189,-4.333116899388563,0.1675611528822229,0,2,251,151,194,206,0
31,0.8895684116283968,-0.3160485261367527,-3.8750327555767967,0.7,0,0,256,234,189,0,1
17,0.8895289129976829,-0.3,-5.0,0.7,4,0,127,256,256,116,1
29,0.8894762481567304,-4.0,-5.0,0.4613000111530953,1,0,256,256,256,140,0
11,0.8892524225826838,-2.4343297064693408,-3.0530103788209466,0.0,2,1,162,256,46,78,0
44,0.887290657257215,-1.8703058583325842,-3.107049314704895,0.35784007612429836,0,1,223,237,210,94,0
10,0.8867245102169792,-2.0997733120444804,-4.513658528828438,0.19159749412532312,1,2,256,100,25,0,0
41,0.8857962923951969,-2.0904561216989244,-2.4343497886637535,0.3342530351289421,0,1,102,237,256,52,0
14,0.8857765430798399,-0.8612539705179962,-4.518743775138813,0.7,4,1,256,0,162,17,1
27,0.8846310827891299,-2.324087436682963,-5.0,0.4244883104930621,1,2,256,256,136,67,0
3,0.8844862544765115,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.8835251211291342,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.8833144617653255,-4.0,-5.0,0.5922304660928295,1,3,211,256,0,127,0
1,0.8824849905203287,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.8806548872972404,-3.0389408723783204,-4.256568567688161,0.040396267776440634,4,0,66,193,0,87,0
21,0.8805758900358122,-3.491642404556503,-1.0885389702317245,0.13492780112519517,0,2,120,0,201,142,0
30,0.8791934379608173,-2.267971342754785,-5.0,0.16177488943616192,3,0,8,256,188,90,0
13,0.8781138087212976,-3.327203799037034,-3.623062173245309,0.0,1,1,256,256,120,25,1
22,0.876428533810828,-0.7979503819402329,-2.0608643111136424,0.7,1,2,174,256,0,118,1
20,0.8752040762586897,-3.3221775897008428,-2.739343542372829,0.4601399458845688,3,2,94,0,256,5,1
15,0.8648817674320624,-1.970373779033825,-2.249185071328853,0.0,0,3,256,117,20,122,1
49,0.8637297240362334,-3.257016967969963,-2.270235450061534,0.1938627244424537,3,1,204,222,229,112,0
24,0.8586936486201812,-4.0,-1.4133190270033062,0.1048068061678,3,1,96,202,155,0,0
12,0.855744417526859,-2.65533510232242,-1.2661467806741662,0.0,4,0,8,256,194,149,1
4,0.8532691700021066,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.8515707288813988,-0.44462096203662815,-2.2680038155177664,0.7,4,3,8,256,0,134,0
40,0.8313737623762376,-1.8987863444997828,-1.261626785874911,0.09404463255353789,4,2,126,23,0,192,0
19,0.7856606804297451,-0.3,-1.0,0.7,3,0,256,0,0,256,0
34,0.6929705603539077,-0.82775497978376,-2.2180474005869697,0.7,0,0,158,176,57,123,0
8,0.518998841373499,-0.3,-5.0,0.0,4,0,8,0,256,0,0
6,0.5,-1.405658781664945,-1.458802680347966,0.7,4,2,8,21,138,255,0
18,0.5,-0.3,-2.03747242977539,0.1377655726750668,4,0,207,162,194,0,0
28,0.5,-0.3,-2.569460921860223,0.36680842277362485,0,3,41,256,0,244,0
33,0.5,-1.2968916271391735,-5.0,0.4044014454323036,1,2,148,157,171,106,0
38,0.5,-0.3,-5.0,0.7,4,3,8,256,196,0,0
45,0.5,-0.5045619380981159,-1.5000547803811974,0.7,1,3,256,1,114,256,0
47,0.5,-3.2101040546288737,-1.1888733273950596,0.26605891900088674,0,2,219,114,89,208,0
