trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6649537765538946,-1.0396473893812983,-1.7873216415148656,0.20231166824750585,2,1,33,233,126,14,1
1,0.6578727380015735,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
11,0.6543936860739575,-0.43324838820452216,-4.219378450470734,0.09528807155168573,2,0,175,118,256,165,1
23,0.6463906372934697,-0.6819938188647932,-3.8625837736737476,0.47170899569650876,3,1,27,252,149,34,1
37,0.6460218332022031,-1.0674656597165098,-3.30641618313574,0.38079977177916063,2,2,194,154,230,72,1
3,0.6459480723839497,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
32,0.6417928796223447,-0.7786611407495254,-3.295562243770104,0.5563103260823107,2,1,18,31,54,34,1
41,0.6391374901652243,-0.32692749977346525,-4.723109454374629,0.4836528379012928,3,1,177,63,123,23,1
33,0.6365066876475216,-0.8324809270984712,-1.2618645418027459,0.5553478056317452,4,3,66,0,118,241,1
46,0.633875885129819,-1.1887104026769921,-2.669187813954677,0.20521992058838207,0,2,19,237,62,173,1
24,0.6255409126671911,-0.7710858551407429,-4.168055858715974,0.7,2,3,45,24,0,0,1
10,0.6249754130605822,-0.7687048655507618,-5.0,0.7,2,1,156,29,186,0,1
38,0.6248033044846577,-1.052490679856065,-5.0,0.6988341157000385,2,2,102,5,144,0,1
19,0.6213611329661684,-0.5413765828717128,-1.9265664278710406,0.018960197308120645,4,3,111,226,27,252,1
17,0.6199350904799372,-3.4512094170820626,-1.3594624912614104,0.0022733751510021554,0,3,238,11,227,242,1
50,0.618140243902439,-0.911477944648456,-3.1685888863046987,0.5161553130271246,3,3,32,132,99,191,1
36,0.617476396538159,-0.7729175890192983,-3.511729336280635,0.2818223868418049,3,2,78,0,55,8,1
27,0.6155954956726988,-0.7870183739987668,-3.9161910571893417,0.5040995094815105,2,2,158,255,227,78,1
5,0.6148210070810386,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.6146488985051143,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
9,0.6140096380802518,-2.1741474881260734,-5.0,0.11334737975473265,0,1,149,214,1,172,1
25,0.6109608575924469,-0.9160003448383085,-1.4831377978525495,0.08265664004295514,1,1,8,160,173,157,1
30,0.6061664044059796,-0.3,-5.0,0.0,0,0,158,28,187,230,1
18,0.6028840479937058,-0.6746015957006919,-2.94827416551621,0.015721510504255156,3,2,99,0,8,236,1
2,0.602748819826908,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.5959505310778914,-0.4962912783677442,-4.031549843392915,0.0540711489351371,2,1,101,143,128,101,1
7,0.5898406766325728,-1.474618205789079,-1.0,0.14612577229031065,4,1,9,253,100,15,1
42,0.5840627458693941,-2.0836810326207695,-3.6795800661370346,0.35181649222346134,1,0,212,142,17,118,1
20,0.5822678992918962,-0.9388045917404297,-1.0,0.06025726557406191,4,1,183,176,117,47,1
28,0.5821080841856806,-0.9342094253549287,-4.419162440287074,0.6843290447065126,1,0,12,205,256,75,1
45,0.581505704169945,-0.8333710107832801,-4.5650589517863285,0.19828713230866474,3,3,228,178,60,35,1
26,0.5796370967741935,-1.009755214795692,-5.0,0.033977031759385816,3,1,23,165,90,184,1
15,0.5782848151062157,-3.8953399150951658,-1.0817451740796895,0.6784501410905748,2,0,154,164,230,239,1
49,0.5736501770259638,-2.3063728952953992,-2.0455356482808837,0.695711932812687,0,2,148,87,253,24,0
48,0.5724822974036192,-0.7737000270230951,-1.7990674303951328,0.015207179924089499,4,3,138,188,254,81,1
16,0.5696793863099922,-3.731495538069254,-4.998865290601985,0.6448256885145018,2,1,210,136,239,151,1
34,0.5470102281667978,-1.066613636830466,-1.6879002672042924,0.5929127695791067,3,2,48,0,130,32,1
22,0.5343233674272225,-1.807439122591548,-3.763028729963358,0.6024566314110115,2,1,45,43,87,2,1
31,0.5333644767899293,-0.3,-5.0,0.36861264302475016,3,0,180,112,103,153,1
6,0.5320244885916601,-3.4897887130660665,-3.92786813619243,0.43985099384933624,4,1,245,248,131,53,0
14,0.517198564122738,-0.8165466869926865,-3.410498699255182,0.5253791620654521,0,2,122,174,48,64,1
44,0.5156372934697089,-0.3,-3.685214577398865,0.5493169424713389,3,0,72,256,148,114,1
12,0.5105355035405194,-3.2475392456121,-1.0,0.7,1,3,224,31,256,157,0
8,0.5,-1.539959083634804,-5.0,0.1599841124210779,2,2,74,138,20,239,0
47,0.5,-0.5246240362339858,-2.3431184732171304,0.4775177167199706,3,2,88,189,74,30,1
29,0.5,-0.3,-1.0,0.4135961028238928,2,0,85,97,60,252,1
40,0.5,-1.035883205783286,-4.056686549265089,0.5886428352359997,2,2,138,256,66,204,1
21,0.48581333595594023,-2.9392838382450455,-4.783129816451848,0.5577129208322011,3,1,8,21,75,24,1
43,0.44615460267505896,-1.0147025253471682,-1.8167174027861575,0.0,2,3,191,114,93,32,0
13,0.4279356805664831,-3.574891807926966,-2.3781834952356524,0.18187753850840715,3,1,204,256,27,129,0
