trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
12,0.657036782061369,-3.5661389362709413,-1.85660400876922,0.4893983269095031,1,1,160,0,213,0,1
6,0.6535700236034618,-0.9588704365605629,-1.4430943248795534,0.4481910672234945,3,1,66,151,159,17,1
26,0.6511113296616836,-3.4551182492330907,-4.266126486116306,0.45358548390153536,1,3,256,112,256,173,1
37,0.6491197875688435,-0.9629490100846416,-3.279901172627889,0.520626447230213,3,3,32,223,161,168,1
38,0.6480133752950433,-3.966423972473613,-3.917556661756671,0.6308022158931491,0,2,150,223,0,200,1
1,0.6477675059008655,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.6463906372934697,-3.5633091816314426,-1.0,0.4917378301669195,1,3,227,199,76,130,1
42,0.6453579858379229,-3.6035811179658053,-4.953676790748803,0.5842483638820732,1,2,111,243,200,197,0
17,0.6421002163650669,-2.0252571094996368,-1.0,0.10818797359812748,4,0,182,86,153,93,1
32,0.6414732494099135,-3.4810764143515316,-1.8090153569544558,0.5066203826679041,1,3,30,8,182,125,1
13,0.6383998819826908,-0.7149916152473037,-2.5053937431417412,0.0,0,3,210,207,167,0,0
40,0.6378589693154996,-3.8172211207431372,-4.5321181610228445,0.4780778477432456,1,2,90,114,241,227,1
39,0.6373672305271441,-0.9207602337584588,-2.3981870880071314,0.4743465064510373,3,0,130,181,120,43,1
36,0.6352527537372148,-0.8208463187083868,-1.4591572547269829,0.4430330441193664,3,1,74,189,22,114,1
2,0.6330399291896145,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.63264653815893,-3.362836545435668,-2.081554100841301,0.5142993052116245,1,2,98,25,239,58,1
5,0.632302321007081,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.626573564122738,-3.154969277869906,-1.5718173711987244,0.5929571309246959,4,0,33,45,175,37,1
21,0.6234510228166799,-3.5868675450064433,-1.9390074880435244,0.49873334688663096,1,2,74,176,25,67,1
41,0.621287372147915,-3.5212647455389283,-1.3431833931115205,0.5545341584829627,1,2,247,80,256,140,1
31,0.6182140047206924,-3.5129824538048595,-4.6641364775258305,0.4731108004952307,0,2,28,57,233,13,1
3,0.6172797010228167,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6151406372934698,-4.0,-3.5674707380690847,0.34029979487611844,1,2,154,176,148,240,1
14,0.6138621164437451,-0.5377750522824836,-4.869288530814077,0.12679634070087203,3,3,54,62,104,209,0
27,0.6123623131392604,-3.2742242613027432,-4.8862228039270725,0.3392994881782851,1,2,207,133,159,147,0
19,0.6117230527143981,-1.6455030589867263,-2.863645892377316,0.2970533419919154,0,1,191,96,256,127,1
23,0.6088955546813533,-1.3977237756918517,-1.0,0.011901715077836056,4,1,147,190,219,139,1
7,0.6065352084972463,-0.3,-3.524159951347083,0.0,4,1,256,256,198,0,1
33,0.6001426042486231,-3.6878900556131016,-3.030564951129567,0.45042030049316084,1,1,256,27,168,94,1
47,0.5964545633359559,-3.27013652243921,-5.0,0.4706347344025319,1,1,175,224,228,23,1
34,0.5950285208497246,-3.855928750311229,-4.906523797502957,0.30045582690942674,1,2,250,97,241,7,1
50,0.5945613690007867,-0.7390700111842223,-4.219643385006769,0.5177079025577397,2,1,135,226,40,146,1
49,0.5937254130605821,-0.5938066607208219,-2.1258141315750265,0.07810634751074035,3,3,216,49,173,4,1
4,0.5916109362706531,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
8,0.5914388276947286,-2.7385726613874892,-2.9850159993475494,0.4068952694365375,2,2,102,256,3,177,1
46,0.5883408733280882,-3.5513746200530827,-1.7148699503793718,0.6110607158375806,1,1,97,16,206,27,1
45,0.5878491345397325,-3.535243181043355,-1.5656400264607067,0.4255827698842705,1,2,233,185,256,239,1
28,0.5774980330448466,-3.5457430555182796,-1.7699793138437245,0.4801611260739824,4,1,77,85,117,140,1
9,0.5698514948859166,-1.012894669561832,-3.6497569738732585,0.5718440638185555,1,0,84,44,170,132,0
29,0.565979051927616,-0.934970376841346,-1.4008642515524459,0.5258868813221809,2,2,69,181,162,195,0
15,0.5590086546026751,-3.421207497735829,-1.0,0.0,0,0,89,237,210,211,0
24,0.5531569630212431,-3.6245857102999413,-2.5504104645678476,0.6529950935469703,0,1,156,95,100,0,1
44,0.5508580841856805,-1.1783501203854523,-2.695607601644918,0.4664847062648319,3,3,8,176,256,200,1
25,0.5441335562549174,-1.264831457567798,-1.532715694582675,0.37311820996290096,1,1,44,191,145,73,1
22,0.5393636900078678,-1.4205308215856873,-3.6818229136378,0.4117663684450642,1,2,240,21,145,54,1
16,0.5359092250196695,-3.4087846830095163,-5.0,0.69365575677949,0,1,117,111,255,78,1
11,0.5331309008654602,-0.46785109412148396,-1.0,0.511828816092091,2,1,42,236,161,98,0
20,0.5,-0.7264013976169093,-1.0,0.06508531912257721,4,0,155,54,10,79,1
48,0.5,-0.7333114222285291,-1.0,0.48717803542906196,4,1,81,47,157,94,1
43,0.44608084185680563,-4.0,-4.904004678455309,0.5069051918552264,0,1,109,33,0,4,0
