trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
20,0.8832076420311715,-3.052873057363918,-3.708025100635111,0.2005070541884979,3,1,256,174,243,114,1
18,0.8807943690296631,-4.0,-5.0,0.0,4,0,256,155,0,112,1
23,0.8804927099044746,-1.1044318734804337,-4.710114559649016,0.6198050335172783,4,0,256,25,54,256,1
38,0.8800904977375565,-0.3,-4.342253384937374,0.7,1,3,256,0,68,121,1
16,0.8793614881850176,-3.2394981856259237,-5.0,0.7,0,0,256,28,256,132,1
3,0.8762024467906822,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
1,0.8754315401374224,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
6,0.8748784984079102,-2.1700687667031895,-5.0,0.44091869155800484,2,1,217,256,37,211,1
7,0.874476286240992,-1.2065206422143926,-5.0,0.7,4,1,182,100,10,242,1
39,0.8744260097201273,-2.8716328463254115,-5.0,0.7,2,0,256,0,175,256,1
37,0.8743589743589743,-2.389315365080579,-2.5425145747311744,0.6111305171016337,3,0,256,77,103,23,0
26,0.8720965309200605,-2.2454948142212796,-5.0,0.1362988329009133,3,2,256,134,237,92,1
43,0.8720630132394839,-1.5223105230163254,-5.0,0.06273712350758488,4,0,68,51,256,13,0
31,0.8718283894754483,-0.814897423951678,-5.0,0.15690003084169382,4,2,256,173,90,256,1
8,0.8699346405228758,-2.779758465425235,-1.0,0.21142260303988966,3,2,35,238,220,256,1
33,0.8698173286408579,-1.9640756286292866,-1.0,0.4598254281921886,4,3,256,0,27,248,1
49,0.8694989106753812,-2.9885793881403813,-3.542218131131553,0.0,3,2,43,171,256,32,0
29,0.8691972515501927,-0.3,-5.0,0.0,4,3,95,227,180,0,1
14,0.8691804927099045,-0.8621828162215284,-5.0,0.7,0,3,256,256,250,75,1
45,0.8670856376738729,-0.3,-5.0,0.0,4,3,256,110,0,34,0
48,0.8670688788335846,-0.4831830543126525,-2.331573741047948,0.5803436286220128,2,1,81,187,227,168,1
36,0.8669012904307023,-1.8915825095176881,-5.0,0.0,0,3,249,224,246,32,1
2,0.8652254064018771,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.8648231942349589,-1.0758993361159703,-5.0,0.7,2,3,8,194,256,0,1
50,0.8640941846824199,-1.9867386678443033,-4.867065021900198,0.1732964659807677,4,0,176,2,177,127,1
41,0.8637254901960785,-0.8013146371782374,-5.0,0.7,0,0,8,53,100,219,1
30,0.857851516675046,-1.8868473845819764,-5.0,0.0,4,2,82,221,208,38,0
11,0.8561588738059326,-3.9870067807556486,-1.4305295463564272,0.676706737930396,0,0,236,150,45,0,1
9,0.8556896262778615,-2.300712556915651,-5.0,0.2048152657023956,2,1,45,92,195,14,0
28,0.8545500251382603,-0.3,-4.517661206504997,0.7,0,2,223,2,31,184,1
4,0.8544494720965309,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.852388134741076,-1.2155615763392933,-1.0,0.0,0,0,256,256,256,241,1
25,0.8521199932964638,-4.0,-3.6731558966717848,0.7,0,0,252,256,127,71,1
47,0.8428355957767723,-3.951543661488106,-2.249342692144278,0.7,4,2,254,122,0,26,0
12,0.8426512485336015,-3.829891461501907,-2.700905106745283,0.4646914076613201,4,3,256,95,228,81,0
34,0.839567621920563,-0.3,-2.4667268613340885,0.6280670867683144,3,3,256,48,256,26,1
40,0.8290263113792524,-4.0,-5.0,0.6670119027324836,4,3,195,0,256,61,0
5,0.8242332830568124,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.8215937657114127,-0.3,-1.276772666383411,0.0,0,2,8,256,256,102,1
24,0.8188872130048601,-2.4774949290227406,-2.6546530535999975,0.1661866513534986,4,1,185,193,256,0,0
42,0.8064353946706888,-3.2767081549230275,-1.0,0.0,3,3,256,252,156,21,0
22,0.803988603988604,-0.8619623669760283,-5.0,0.17203873550479556,1,0,8,86,102,0,0
13,0.8026814144461203,-3.3658664535653195,-5.0,0.7,4,3,8,59,0,156,1
32,0.7959946371711077,-3.6985778931563105,-5.0,0.7,4,3,8,249,46,138,0
27,0.7820261437908498,-0.3,-1.0,0.0,3,0,256,127,0,94,0
44,0.7786073403720463,-4.0,-2.208375941375516,0.536820965475602,4,0,8,256,256,34,0
21,0.7693983576336518,-4.0,-5.0,0.7,4,3,8,0,256,0,0
19,0.5717781129545836,-1.418324309284177,-1.0,0.0,0,0,256,256,121,79,0
10,0.5,-1.449108542296778,-3.6660554014800724,0.2619475075394951,2,2,92,45,19,254,0
46,0.5,-0.3,-5.0,0.0,3,0,256,0,256,18,0
