trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.6478380774155422,-3.2838600375768014,-3.7170305679244624,0.31565606016793235,0,0,104,200,103,83,1
22,0.6448832857283561,-1.1610637406066022,-1.0660065089617152,0.19538239658668313,0,1,189,63,37,190,1
13,0.6429790866410584,-4.0,-5.0,0.23479874781458396,1,2,208,0,144,256,1
23,0.6412062116287468,-3.411520128190391,-3.638538030664603,0.33526162578548585,4,0,194,100,4,148,1
8,0.6400242949538724,-1.6535135211114693,-5.0,0.1359263222429769,3,1,141,0,256,256,1
29,0.6343773597294724,-4.0,-4.558632959579788,0.0,4,0,256,0,185,256,1
19,0.6316523851735119,-1.1433257987569228,-4.29674065757019,0.0,3,0,140,204,112,163,1
39,0.6308316097048491,-1.4442815371111841,-1.0957497253223623,0.2867304965528115,3,0,93,4,45,85,1
18,0.63063462359237,-1.8085399146230734,-1.0378804670641926,0.21789804040449973,0,0,217,32,26,107,1
28,0.6298795101612004,-4.0,-5.0,0.2330551287766135,0,0,204,0,0,211,1
25,0.6290587346925375,-4.0,-5.0,0.0,4,0,256,0,256,203,1
11,0.6241669128993073,-2.858121909628367,-3.9828722299988555,0.25031529310057454,0,3,255,0,159,256,1
9,0.6237401096556026,-3.9177672562952535,-5.0,0.03276503906138236,2,3,250,256,146,256,1
42,0.6217702485308119,-2.0456176329799796,-4.80108586933295,0.11401177491952955,1,1,211,66,145,74,1
17,0.6213434452871073,-3.7872440398501594,-5.0,0.3842793734312788,3,0,245,0,256,255,1
43,0.6167799336813421,-2.885868995659422,-3.556956611619487,0.30143833662425007,1,0,55,102,62,66,1
50,0.6138579730129026,-0.8676793992768959,-3.62099430773655,0.010699313531156674,4,0,200,112,24,108,1
26,0.613825141994156,-3.0015047071627485,-2.524177220632729,0.10881807111237324,2,2,153,65,225,182,1
3,0.6127417183755212,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
48,0.6126432253192817,-1.3150915264250216,-5.0,0.24950283275350754,0,1,117,246,0,0,1
37,0.6117896188318723,-1.4672065618617856,-1.073979486080444,0.06793450596862632,3,1,221,149,204,68,1
40,0.6115269706819002,-1.4808410551047135,-4.9759528776980995,0.26289327445553007,4,2,241,89,137,146,1
33,0.6096227715946025,-1.1077589082925487,-2.5839930548304055,0.0,3,0,206,8,167,256,1
32,0.6083423618634886,-3.6846177352980525,-5.0,0.40513717593374504,1,0,256,0,3,74,1
6,0.6035162021077514,-0.7142419715602268,-5.0,0.12012336946175738,4,3,256,28,231,1,1
24,0.6032535539577792,-2.730838079258938,-2.200780758300123,0.23816215161330684,3,0,256,197,61,226,1
4,0.59816474605207,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.5901539774779211,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
38,0.5892347089530189,-2.893380753701458,-4.562632279380486,0.7,1,0,256,28,55,86,0
27,0.5883154404281163,-2.9024902110399733,-1.0,0.24468300135650192,0,3,151,84,153,96,1
31,0.5863127482845792,-4.0,-1.0,0.0,1,3,256,83,132,12,1
16,0.5819462227912933,-3.2660156898427206,-5.0,0.34611369745574333,1,3,190,94,174,256,1
47,0.5792212482353328,-3.7842913903192077,-3.5966897534075803,0.2958569640609344,1,1,136,153,203,114,1
44,0.5760694704356676,-3.2006786025113785,-3.8458763385831416,0.4470192064360679,2,0,31,211,115,16,1
45,0.5706031058143735,-2.488838962179834,-1.0264128887937267,0.6992529493790626,4,3,50,38,11,226,0
35,0.5705866903050002,-4.0,-4.237706758321004,0.16954404213617752,4,1,210,50,97,168,1
34,0.5681900259365049,-1.1206968629438583,-5.0,0.0,1,0,8,81,243,256,1
30,0.562937062937063,-0.8641449178020673,-1.429057337458877,0.40141220721864646,3,0,167,0,109,135,1
2,0.560573229587314,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.553251912406842,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.5410059424143931,-1.0527188882835299,-1.5925451540679068,0.0,2,0,57,256,133,82,1
7,0.5330936668964837,-3.841195289908522,-4.0206046809844995,0.3791659975217306,0,1,228,108,256,97,0
14,0.5058275058275059,-1.1067486528478327,-1.0123513942538467,0.4696120814269275,4,2,97,246,83,8,0
12,0.5046291736432582,-2.642195475931077,-4.990971858248491,0.07009831926582194,0,1,216,52,152,252,0
15,0.5,-0.694777430946675,-3.0231824803327956,0.6863622792782943,0,0,23,252,222,256,1
10,0.5,-0.35854588345631333,-1.0,0.7,4,0,110,256,256,256,1
21,0.5,-0.31012935934199914,-1.0,0.7,0,0,155,29,59,256,1
46,0.5,-0.35796922616820126,-4.935089513042704,0.1728863702601226,4,2,10,54,173,69,1
49,0.5,-1.481055353856434,-1.0,0.0,4,0,256,93,80,218,1
36,0.493072655044486,-3.2617283633368586,-5.0,0.7,1,1,256,127,94,0,1
