trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.9045383926690542,-4.0,-2.409133506404746,0.6515271461610528,2,3,8,256,119,52,1
29,0.8988045081103855,-3.5165735910987914,-4.211907934262422,0.14628894255571914,2,1,139,207,66,249,0
45,0.8975537181377712,-2.219022800984396,-1.746694968992435,0.018738030387164914,0,3,256,0,0,163,0
26,0.8968822414156309,-4.0,-3.771237723604929,0.36079853304048304,0,3,256,83,179,63,0
48,0.8918000842637455,-1.6366729408291452,-4.105436351804161,0.0,1,3,256,0,0,1,0
11,0.8910232778597008,-2.274963378336052,-1.2940758951937732,0.27322194582976617,4,2,8,171,0,65,1
17,0.8892721718980409,-1.9246776839075581,-3.723220041376722,0.5383737625875156,3,3,256,186,67,185,0
24,0.8881530440278071,-0.7674079067894488,-2.3500548147135474,0.0,0,3,256,0,0,32,0
30,0.8865862650094798,-3.160096176700044,-5.0,0.3151539108106633,1,3,215,227,102,181,0
35,0.8864546029070992,-2.5653610553316346,-4.469328804037684,0.6249894962672554,4,3,178,218,0,148,0
46,0.886441436696861,-3.016702588060406,-3.197819944009092,0.4867998697402714,2,2,256,127,121,247,0
47,0.8851248156730567,-1.568409173536832,-4.734560534494619,0.0,3,3,256,0,79,0,0
40,0.8841900147461554,-1.8089883007119187,-5.0,0.7,2,3,256,0,0,256,0
50,0.8838476932799664,-4.0,-5.0,0.0,0,3,256,0,176,92,0
10,0.8833473772909207,-0.5974828877575034,-1.7893898380705053,0.46358128319579683,0,2,210,123,0,174,1
37,0.882873393722351,-4.0,-4.190277245580226,0.4753555966373122,3,0,256,35,136,119,0
42,0.8826495681483042,-2.0763150955144916,-1.9499200697813976,0.37106549807468736,1,0,157,180,0,206,1
18,0.880240151674742,-3.7472574438052355,-1.0,0.0,0,3,256,157,64,229,0
25,0.8779755635137984,-3.7087463970483596,-5.0,0.27919690376408957,0,3,256,139,14,4,1
6,0.8778965662523698,-3.4650550722354025,-3.820150335083519,0.5868780739210369,1,2,137,253,33,254,1
32,0.8771987571097535,-1.443002037140186,-1.0,0.11907425434534039,3,3,94,75,0,58,0
22,0.8764087844954708,-3.9419391017889573,-1.0,0.0,4,1,256,190,126,4,1
49,0.8748683378976195,-2.245720535564747,-1.0,0.5151422660099566,0,3,256,0,0,223,0
12,0.8732225616178639,-0.3,-1.1595400257491715,0.2809637874522138,4,2,49,156,246,169,1
39,0.8731830629871498,-0.89778280928671,-1.0,0.7,2,0,256,153,256,109,1
1,0.8728934063619128,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.872656414577628,-3.0470584853307163,-1.3414542166755394,0.47873163402797014,1,0,126,55,27,112,0
2,0.8719322730145356,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
21,0.8692200337054983,-1.5198219830291335,-5.0,0.7,4,3,8,256,256,256,1
4,0.8664419633452707,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
3,0.8643090372867074,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.8633808194649253,-0.3,-1.73305182451639,0.5745555628786329,0,3,150,163,109,83,1
31,0.8619917842848114,-3.8559312112762814,-5.0,0.06797878944444168,4,1,102,199,244,23,0
33,0.8615967979776701,-4.0,-4.940901490381748,0.6463601973785101,3,3,106,145,204,122,1
38,0.8606356646302928,-0.3,-4.870646103192882,0.03481618014480052,3,0,8,201,0,69,1
16,0.8600431851695808,-4.0,-2.6643460755956885,0.7,4,0,8,91,246,214,1
27,0.8583052454181588,-2.6504459214967113,-5.0,0.6220345377517174,3,1,8,18,167,217,0
5,0.8555666736886454,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.855158521171266,-0.3600833091070119,-5.0,0.0,0,3,256,53,0,86,0
28,0.8548556983357911,-2.4559754883716205,-2.151505093278682,0.032369231930071726,0,3,47,67,0,107,0
44,0.8524067832315146,-0.3,-5.0,0.26471858095501893,0,0,93,95,256,211,1
8,0.848680745734148,-3.6400428065584935,-1.0,0.013966342563230637,3,3,243,256,142,246,1
43,0.8479302717505793,-2.8152988392444214,-1.0,0.014938413773789343,1,1,246,197,55,5,1
36,0.8432036022751211,-4.0,-3.2187684272003123,0.14164490250719974,4,3,86,25,0,153,0
9,0.838187276174426,-4.0,-5.0,0.0,0,0,256,0,0,256,1
7,0.8380029492310932,-4.0,-2.649713379893429,0.3943015979204702,4,3,8,256,252,235,0
15,0.7065317568990941,-4.0,-1.0,0.7,4,3,8,256,256,256,0
14,0.5,-0.3,-4.3954767464008855,0.09852261191468947,1,0,8,55,148,82,0
19,0.5,-0.733743406305309,-3.6907158385301067,0.167424198285711,4,0,256,236,51,60,0
23,0.5,-1.2457310530243353,-4.742403069377633,0.568499361164296,3,2,14,167,195,251,0
