trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.6834677419354839,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
40,0.6720348151062155,-1.3592697863250471,-1.0,0.5216732071049098,1,3,51,0,0,212,1
11,0.6657405586152637,-0.3,-3.033070793703069,0.6788718336884678,1,1,89,0,66,0,1
19,0.6655192761605035,-3.1887321747889237,-1.7289636068127092,0.5004835648814494,0,2,204,0,59,23,1
31,0.6603806058221872,-2.3729933228182736,-4.416289351996034,0.5401473607525439,3,1,164,116,51,24,1
46,0.6592250196695516,-1.8252108248134618,-4.264575915647401,0.69889176685004,1,1,172,0,144,44,1
41,0.657700629425649,-2.703596346151327,-2.194900024028953,0.3976619194205646,0,3,177,0,0,92,1
34,0.6574547600314713,-0.8602950395288183,-2.3060125707890733,0.7,4,1,212,0,0,37,1
24,0.6547256097560976,-2.6845674663067918,-4.291886254521,0.5257210432974783,2,3,70,12,26,0,1
28,0.6521685680566482,-1.5986823096228844,-1.763661680890145,0.2840744618635926,1,1,169,81,35,200,1
7,0.6444236821400472,-3.489296690302348,-1.4564856130894084,0.24811737035734202,3,2,232,24,99,48,1
18,0.6443745082612117,-1.4104657361958282,-4.253125108857724,0.5722239400934144,1,1,67,97,75,0,1
23,0.6443622147915027,-1.1137495669484219,-4.792561732324644,0.5442966938805192,3,2,69,174,193,0,1
35,0.6436614870180959,-0.3,-4.50650906447982,0.13287954073623592,0,1,135,123,168,74,1
39,0.6406372934697089,-1.070908905638182,-5.0,0.20341914806836944,4,3,80,160,54,178,1
14,0.6392604248623132,-1.5123399399099418,-3.280809646801601,0.7,3,2,29,59,83,3,1
17,0.6377114476789929,-0.8505894378300805,-4.4073999416433605,0.29528662300601016,2,2,165,53,18,21,1
3,0.6335808418568056,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
10,0.6317122344610542,-2.31240066482278,-3.5682521576454977,0.41847639351925864,4,1,212,131,182,256,1
36,0.6302124311565696,-0.7763292444711212,-4.392534323670409,0.5544729410914622,2,3,87,113,191,192,1
45,0.6298928009441386,-1.2515733097846642,-2.7316866363028964,0.49411113697036746,3,3,8,0,0,229,1
12,0.6266719118804092,-3.808894640984636,-1.7130349046143203,0.4590552757521828,0,1,238,82,95,0,1
38,0.6257990755310778,-0.8149811030788805,-3.8374318514293746,0.7,1,1,8,115,218,69,1
29,0.625098347757671,-2.1577408027709777,-3.0641078089305926,0.09437092606402703,1,2,23,240,37,227,1
32,0.6240656963021244,-0.9723006194737049,-4.24990049389925,0.27320338937992755,2,2,25,119,190,68,1
42,0.6221233280881197,-3.4321888273420678,-5.0,0.5381423998842961,4,3,125,72,0,252,1
22,0.6200334382376083,-0.9219537105469868,-1.3012859950795734,0.5116935713118562,1,1,8,0,253,0,1
44,0.6192835365853658,-0.6663446476794386,-2.9152083320536204,0.5498014363506357,3,0,8,108,54,35,1
48,0.6164437450826121,-1.5812080492873664,-3.842722945994563,0.5634959740855525,2,3,33,125,156,235,1
4,0.6127802911093626,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.6125344217151848,-0.3,-2.4941552224708,0.14795304263097186,1,1,30,50,65,27,1
33,0.5955202596380802,-3.511730283349263,-3.2666323631971212,0.5193399581762186,2,3,154,29,236,26,1
2,0.5922010228166797,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.5918813926042485,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.5905045239968528,-3.9303923073158096,-2.9465473929074193,0.7,2,0,234,79,74,56,1
8,0.5832513768686074,-0.4536374266086325,-4.523240351901665,0.0004444030325258011,2,1,26,165,132,13,1
6,0.5749409913453973,-0.35568322668756336,-5.0,0.33404425840527796,0,2,8,50,203,51,0
49,0.5649341070023602,-2.3806928019222937,-3.8535066628320074,0.5921247681284358,3,1,26,140,99,39,1
15,0.5591807631785994,-0.3448920701942706,-3.1549394592424105,0.5775019779036153,2,1,69,198,232,17,1
43,0.5487313139260425,-0.6174012933719926,-1.0,0.3134465265114033,3,3,197,0,0,149,1
26,0.5275127852084973,-4.0,-5.0,0.6009104466228439,0,1,55,0,231,10,1
30,0.5147275767112509,-1.6225735999288138,-4.296615514786211,0.6433243709286653,3,1,8,185,97,27,1
13,0.5139653815892997,-0.3,-4.056066751782616,0.5967888752562209,0,0,24,152,74,210,1
9,0.5,-0.9244323361868103,-1.1686595254662975,0.6032036832128094,4,1,22,156,2,250,0
16,0.5,-0.3,-3.069138355709069,0.7,1,0,79,44,66,42,0
25,0.5,-0.8596614013707118,-1.0905754470617604,0.7,1,1,173,125,81,0,1
27,0.5,-0.9706254407612844,-4.714190848453049,0.5820502992254832,2,2,8,10,43,0,1
50,0.5,-0.7159620004562575,-4.544709183212852,0.5241859314522456,1,0,34,191,90,85,0
37,0.49466463414634154,-2.5645551702681235,-4.011120751265888,0.7,0,1,8,118,236,29,0
47,0.4629966561762392,-2.9342613360750818,-4.766659269392367,0.5471583510610741,0,1,89,116,64,22,1
